,RMSE,MAE,R2,Pearson_r,runtime_seconds,method,prioritization_mode,partner_proportion,edge_threshold_rule,edge_threshold_value,alpha,beta,model_func,max_rounds
HP0078,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7153,eigenvector,centrality,0.08,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0100,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,50.9655,eigenvector,utility,0.15,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0011,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7037,degree,centrality,0.15,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0056,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,52.4761,betweenness,utility,0.08,,,0.5,1.5,LinearRegression,1
HP0095,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,51.4912,eigenvector,utility,0.08,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0061,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,52.5094,betweenness,utility,0.15,,,1.0,1.0,LinearRegression,1
HP0080,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7757,eigenvector,centrality,0.15,,,0.5,1.5,LinearRegression,1
HP0062,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,52.8117,betweenness,utility,0.15,,,0.5,1.5,LinearRegression,1
HP0046,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7265,betweenness,centrality,0.15,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0101,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,50.8693,eigenvector,utility,0.15,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0030,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,52.653,degree,utility,0.15,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0092,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,51.8695,eigenvector,utility,0.08,,,0.5,1.5,LinearRegression,1
HP0027,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,51.5625,degree,utility,0.15,,,1.5,0.5,LinearRegression,1
HP0057,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,52.3763,betweenness,utility,0.08,,,1.5,0.5,LinearRegression,1
HP0024,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,54.8862,degree,utility,0.08,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0093,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,53.3633,eigenvector,utility,0.08,,,1.5,0.5,LinearRegression,1
HP0083,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.8568,eigenvector,centrality,0.15,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0026,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,54.3227,degree,utility,0.15,,,0.5,1.5,LinearRegression,1
HP0020,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,51.5105,degree,utility,0.08,,,0.5,1.5,LinearRegression,1
HP0023,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,54.8498,degree,utility,0.08,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0099,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,51.6317,eigenvector,utility,0.15,,,1.5,0.5,LinearRegression,1
HP0043,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.6625,betweenness,centrality,0.15,,,1.0,1.0,LinearRegression,1
HP0001,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7594,degree,centrality,0.08,,,1.0,1.0,LinearRegression,1
HP0074,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.8037,eigenvector,centrality,0.08,,,0.5,1.5,LinearRegression,1
HP0064,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,53.5534,betweenness,utility,0.15,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0029,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,54.5975,degree,utility,0.15,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0008,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.6958,degree,centrality,0.15,,,0.5,1.5,LinearRegression,1
HP0059,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,52.9102,betweenness,utility,0.08,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0007,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7183,degree,centrality,0.15,,,1.0,1.0,LinearRegression,1
HP0077,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.829,eigenvector,centrality,0.08,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0096,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,50.015,eigenvector,utility,0.08,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0045,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.6938,betweenness,centrality,0.15,,,1.5,0.5,LinearRegression,1
HP0004,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7466,degree,centrality,0.08,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0040,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7426,betweenness,centrality,0.08,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0066,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,55.9326,betweenness,utility,0.15,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0048,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7214,betweenness,centrality,0.15,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0012,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7093,degree,centrality,0.15,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0073,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,3.0872,eigenvector,centrality,0.08,,,1.0,1.0,LinearRegression,1
HP0010,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7267,degree,centrality,0.15,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0102,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,51.6198,eigenvector,utility,0.15,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0060,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,54.0472,betweenness,utility,0.08,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0022,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,50.1441,degree,utility,0.08,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0094,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,51.0949,eigenvector,utility,0.08,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0098,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,50.8762,eigenvector,utility,0.15,,,0.5,1.5,LinearRegression,1
HP0019,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,53.3689,degree,utility,0.08,,,1.0,1.0,LinearRegression,1
