,RMSE,MAE,R2,Pearson_r,runtime_seconds,method,prioritization_mode,partner_proportion,edge_threshold_rule,edge_threshold_value,alpha,beta,model_func,max_rounds
HP0078,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.6508,eigenvector,centrality,0.08,p85,0.5346578643468083,1.5,0.5,LinearRegression,1
HP0074,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5705,eigenvector,centrality,0.08,,,0.5,1.5,LinearRegression,1
HP0061,0.6752826376149613,0.670638847938276,-9.517581675802072,,11.296,betweenness,utility,0.15,,,1.0,1.0,LinearRegression,1
HP0080,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.7064,eigenvector,centrality,0.15,,,0.5,1.5,LinearRegression,1
HP0004,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5693,degree,centrality,0.08,p85,0.6470584285612526,1.0,1.0,LinearRegression,1
HP0023,0.6752826376149613,0.670638847938276,-9.517581675802072,,10.9425,degree,utility,0.08,p85,0.7657725751883976,0.5,1.5,LinearRegression,1
HP0040,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5945,betweenness,centrality,0.08,p85,0.6470584285612526,1.0,1.0,LinearRegression,1
HP0011,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.566,degree,centrality,0.15,p85,0.7657725751883976,0.5,1.5,LinearRegression,1
HP0046,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5701,betweenness,centrality,0.15,p85,0.6470584285612526,1.0,1.0,LinearRegression,1
HP0101,0.6752826376149613,0.670638847938276,-9.517581675802072,,11.3102,eigenvector,utility,0.15,p85,0.7657725751883976,0.5,1.5,LinearRegression,1
HP0030,0.6752826376149613,0.670638847938276,-9.517581675802072,,10.9398,degree,utility,0.15,p85,0.5346578643468083,1.5,0.5,LinearRegression,1
HP0092,0.6752826376149613,0.670638847938276,-9.517581675802072,,11.1883,eigenvector,utility,0.08,,,0.5,1.5,LinearRegression,1
HP0027,0.6752826376149613,0.670638847938276,-9.517581675802072,,10.8944,degree,utility,0.15,,,1.5,0.5,LinearRegression,1
HP0057,0.6752826376149613,0.670638847938276,-9.517581675802072,,10.4259,betweenness,utility,0.08,,,1.5,0.5,LinearRegression,1
HP0024,0.6752826376149613,0.670638847938276,-9.517581675802072,,10.3381,degree,utility,0.08,p85,0.5346578643468083,1.5,0.5,LinearRegression,1
HP0093,0.6752826376149613,0.670638847938276,-9.517581675802072,,10.9851,eigenvector,utility,0.08,,,1.5,0.5,LinearRegression,1
HP0062,0.6752826376149613,0.670638847938276,-9.517581675802072,,11.5013,betweenness,utility,0.15,,,0.5,1.5,LinearRegression,1
HP0012,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.6303,degree,centrality,0.15,p85,0.5346578643468083,1.5,0.5,LinearRegression,1
HP0043,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5703,betweenness,centrality,0.15,,,1.0,1.0,LinearRegression,1
