,RMSE,MAE,R2,Pearson_r,runtime_seconds,method,prioritization_mode,partner_proportion,edge_threshold_rule,edge_threshold_value,alpha,beta,model_func,max_rounds
HP0078,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.1396,eigenvector,centrality,0.08,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0024,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.3239,degree,utility,0.08,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0057,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.3381,betweenness,utility,0.08,,,1.5,0.5,LinearRegression,1
HP0041,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.1029,betweenness,centrality,0.08,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0030,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.3944,degree,utility,0.15,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0025,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.1157,degree,utility,0.15,,,1.0,1.0,LinearRegression,1
HP0029,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.8362,degree,utility,0.15,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0008,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.872,degree,centrality,0.15,,,0.5,1.5,LinearRegression,1
HP0056,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.1627,betweenness,utility,0.08,,,0.5,1.5,LinearRegression,1
HP0026,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,44.7916,degree,utility,0.15,,,0.5,1.5,LinearRegression,1
HP0064,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.2508,betweenness,utility,0.15,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0001,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.7384,degree,centrality,0.08,,,1.0,1.0,LinearRegression,1
HP0043,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.6975,betweenness,centrality,0.15,,,1.0,1.0,LinearRegression,1
HP0004,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.1389,degree,centrality,0.08,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0046,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.0529,betweenness,centrality,0.15,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0040,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.1518,betweenness,centrality,0.08,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0061,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.2516,betweenness,utility,0.15,,,1.0,1.0,LinearRegression,1
HP0011,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.1391,degree,centrality,0.15,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0100,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.7851,eigenvector,utility,0.15,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0062,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.6127,betweenness,utility,0.15,,,0.5,1.5,LinearRegression,1
HP0012,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.11,degree,centrality,0.15,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0023,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.206,degree,utility,0.08,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0101,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.3208,eigenvector,utility,0.15,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0083,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.0872,eigenvector,centrality,0.15,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0045,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.7615,betweenness,centrality,0.15,,,1.5,0.5,LinearRegression,1
HP0007,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.8521,degree,centrality,0.15,,,1.0,1.0,LinearRegression,1
HP0096,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.5512,eigenvector,utility,0.08,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0077,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.1367,eigenvector,centrality,0.08,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0059,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.0868,betweenness,utility,0.08,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0020,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.2251,degree,utility,0.08,,,0.5,1.5,LinearRegression,1
HP0066,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.8255,betweenness,utility,0.15,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0048,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.1707,betweenness,centrality,0.15,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0095,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,46.0741,eigenvector,utility,0.08,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0073,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.7521,eigenvector,centrality,0.08,,,1.0,1.0,LinearRegression,1
HP0042,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.1315,betweenness,centrality,0.08,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0005,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.3289,degree,centrality,0.08,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0037,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.7685,betweenness,centrality,0.08,,,1.0,1.0,LinearRegression,1
HP0047,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.1654,betweenness,centrality,0.15,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0019,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,44.9041,degree,utility,0.08,,,1.0,1.0,LinearRegression,1
HP0094,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.3445,eigenvector,utility,0.08,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0022,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.0734,degree,utility,0.08,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0060,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.0412,betweenness,utility,0.08,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0102,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.441,eigenvector,utility,0.15,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0010,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,2.1188,degree,centrality,0.15,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0063,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.061,betweenness,utility,0.15,,,1.5,0.5,LinearRegression,1
HP0055,0.003838976134494824,0.0020848345744841185,-0.00732968882529315,,45.239,betweenness,utility,0.08,,,1.0,1.0,LinearRegression,1
