uid,status,error,runtime_seconds,input_csv,missingness_type,method,prioritization_mode,partner_proportion,edge_threshold_rule,edge_threshold_value,alpha,beta,model_func,max_rounds,output_imputed_csv,output_runtime_txt
HP0001,ok,,0.5744,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MNAR/eeg_MNAR_0.1.csv,MAR,degree,centrality,0.08,None,,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0001_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0001_runtime.txt
HP0002,ok,,0.5713,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MNAR/eeg_MNAR_0.1.csv,MAR,degree,centrality,0.08,None,,0.5,1.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0002_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0002_runtime.txt
HP0003,ok,,0.5762,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MNAR/eeg_MNAR_0.1.csv,MAR,degree,centrality,0.08,None,,1.5,0.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0003_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0003_runtime.txt
HP0004,ok,,0.5693,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MNAR/eeg_MNAR_0.1.csv,MAR,degree,centrality,0.08,p85,0.6470584285612526,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0004_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0004_runtime.txt
HP0005,ok,,0.5739,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MNAR/eeg_MNAR_0.1.csv,MAR,degree,centrality,0.08,p85,0.7657725751883976,0.5,1.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0005_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0005_runtime.txt
HP0006,ok,,0.5661,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MNAR/eeg_MNAR_0.1.csv,MAR,degree,centrality,0.08,p85,0.5346578643468083,1.5,0.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0006_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0006_runtime.txt
HP0007,ok,,0.5691,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MNAR/eeg_MNAR_0.1.csv,MAR,degree,centrality,0.15,None,,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0007_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0007_runtime.txt
HP0008,ok,,0.5893,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MNAR/eeg_MNAR_0.1.csv,MAR,degree,centrality,0.15,None,,0.5,1.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0008_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0008_runtime.txt
HP0009,ok,,0.6218,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MNAR/eeg_MNAR_0.1.csv,MAR,degree,centrality,0.15,None,,1.5,0.5,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0009_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0009_runtime.txt
HP0010,ok,,0.5822,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/datasets/experimental_data/numerical/eeg/MNAR/eeg_MNAR_0.1.csv,MAR,degree,centrality,0.15,p85,0.6470584285612526,1.0,1.0,LinearRegression,1,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0010_imputed.csv,/Users/vivekkanpa/Documents/UCD/sudoku-imputation/SUDOKU_BENCHMARK/analysis/hyperparameter_tables/mar/HP0010_runtime.txt
