,dataset,missingness_type,missing_rate,method,rmse_mean,rank
0,arcene,mar,0.1,factorization,0.2084806735887717,3.0
1,arcene,mar,0.1,knn,0.2251229666848893,4.0
2,arcene,mar,0.1,mean,0.280204420810533,6.0
3,arcene,mar,0.1,median,0.3021465795694523,7.0
4,arcene,mar,0.1,mice,0.191722244026105,1.0
5,arcene,mar,0.1,softimpute,0.245832858624977,5.0
6,arcene,mar,0.1,sudoku,0.2046604365056758,2.0
7,arcene,mar,0.2,factorization,0.2159275822367882,2.0
8,arcene,mar,0.2,knn,0.230287524910821,4.0
9,arcene,mar,0.2,mean,0.2836635017611942,6.0
10,arcene,mar,0.2,median,0.3032279039845498,7.0
11,arcene,mar,0.2,mice,0.2095039226638243,1.0
12,arcene,mar,0.2,softimpute,0.2498294646049506,5.0
13,arcene,mar,0.2,sudoku,0.2250195069180881,3.0
14,arcene,mar,0.3,factorization,0.2339323387795838,3.0
15,arcene,mar,0.3,knn,0.2402283776725942,4.0
16,arcene,mar,0.3,mean,0.2951089033496146,6.0
17,arcene,mar,0.3,median,0.3153694305971833,7.0
18,arcene,mar,0.3,mice,0.2223836623095837,1.0
19,arcene,mar,0.3,softimpute,0.2639079050222182,5.0
20,arcene,mar,0.3,sudoku,0.2254827828127092,2.0
21,arcene,mar,0.4,factorization,0.2417071392946944,4.0
22,arcene,mar,0.4,knn,0.240781051598248,3.0
23,arcene,mar,0.4,mean,0.2929413193504263,6.0
24,arcene,mar,0.4,median,0.3143078315282563,7.0
25,arcene,mar,0.4,mice,0.2320431586265899,2.0
26,arcene,mar,0.4,softimpute,0.2652497316269392,5.0
27,arcene,mar,0.4,sudoku,0.2303438031379628,1.0
28,arcene,mar,0.5,factorization,0.2618632814029997,3.0
29,arcene,mar,0.5,knn,0.2531635463066882,1.0
30,arcene,mar,0.5,mean,0.2961256032126688,6.0
31,arcene,mar,0.5,median,0.3205145640366635,7.0
32,arcene,mar,0.5,mice,0.2584971953023841,2.0
33,arcene,mar,0.5,softimpute,0.2751604641073188,4.0
34,arcene,mar,0.5,sudoku,0.2784641676405661,5.0
35,arcene,mcar,0.1,factorization,0.1836624026125665,2.0
36,arcene,mcar,0.1,knn,0.1908596740218919,4.0
37,arcene,mcar,0.1,mean,0.2593946208563373,6.0
38,arcene,mcar,0.1,median,0.2749864836305178,7.0
39,arcene,mcar,0.1,mice,0.1739154624005959,1.0
40,arcene,mcar,0.1,softimpute,0.219798057360622,5.0
41,arcene,mcar,0.1,sudoku,0.1846057910999529,3.0
42,arcene,mcar,0.2,factorization,0.1890654647637473,2.0
43,arcene,mcar,0.2,knn,0.2037768300998824,4.0
44,arcene,mcar,0.2,mean,0.2589006991606619,6.0
45,arcene,mcar,0.2,median,0.2779942792262445,7.0
46,arcene,mcar,0.2,mice,0.1813062628691444,1.0
47,arcene,mcar,0.2,softimpute,0.2257325710979233,5.0
48,arcene,mcar,0.2,sudoku,0.1898305822417607,3.0
49,arcene,mcar,0.3,factorization,0.2000843802611095,2.0
50,arcene,mcar,0.3,knn,0.2196500823791364,4.0
51,arcene,mcar,0.3,mean,0.2640966487925548,6.0
52,arcene,mcar,0.3,median,0.2844095067991076,7.0
53,arcene,mcar,0.3,mice,0.1913157140036596,1.0
54,arcene,mcar,0.3,softimpute,0.2362377228775253,5.0
55,arcene,mcar,0.3,sudoku,0.2005991463098311,3.0
56,arcene,mcar,0.4,factorization,0.2105741525794492,2.0
57,arcene,mcar,0.4,knn,0.2196621612185789,4.0
58,arcene,mcar,0.4,mean,0.267742793992927,6.0
59,arcene,mcar,0.4,median,0.2889035568521877,7.0
60,arcene,mcar,0.4,mice,0.200592052409494,1.0
61,arcene,mcar,0.4,softimpute,0.2444889068960175,5.0
62,arcene,mcar,0.4,sudoku,0.2184704613356893,3.0
63,arcene,mcar,0.5,factorization,0.2246903294917469,1.0
64,arcene,mcar,0.5,knn,0.2320169320451167,3.0
65,arcene,mcar,0.5,mean,0.270336905048493,6.0
66,arcene,mcar,0.5,median,0.2930603486926535,7.0
67,arcene,mcar,0.5,mice,0.2284395079703056,2.0
68,arcene,mcar,0.5,softimpute,0.2533552697359272,5.0
69,arcene,mcar,0.5,sudoku,0.2334785560731292,4.0
70,arcene,mnar,0.1,factorization,1.1990558823327933,3.0
71,arcene,mnar,0.1,knn,1.2089786301093353,4.0
72,arcene,mnar,0.1,mean,1.3157049181588678,6.0
73,arcene,mnar,0.1,median,1.3966542209956367,7.0
74,arcene,mnar,0.1,mice,1.1427941108731616,2.0
75,arcene,mnar,0.1,softimpute,1.307427215089579,5.0
76,arcene,mnar,0.1,sudoku,1.124032927447062,1.0
77,arcene,mnar,0.2,factorization,1.238354665341743,4.0
78,arcene,mnar,0.2,knn,1.2249433009916766,3.0
79,arcene,mnar,0.2,mean,1.3245766234967953,5.0
80,arcene,mnar,0.2,median,1.4010623067882662,7.0
81,arcene,mnar,0.2,mice,1.1694360523752478,2.0
82,arcene,mnar,0.2,softimpute,1.3303975409185007,6.0
83,arcene,mnar,0.2,sudoku,1.15103334219119,1.0
84,arcene,mnar,0.3,factorization,1.2555478040436174,4.0
85,arcene,mnar,0.3,knn,1.2372664685988406,3.0
86,arcene,mnar,0.3,mean,1.330639723756034,5.0
87,arcene,mnar,0.3,median,1.4065112533798574,7.0
88,arcene,mnar,0.3,mice,1.1804304913767358,2.0
89,arcene,mnar,0.3,softimpute,1.3437094043711366,6.0
90,arcene,mnar,0.3,sudoku,1.1746678617177615,1.0
91,arcene,mnar,0.4,factorization,1.2698390317655868,4.0
92,arcene,mnar,0.4,knn,1.2496322626004268,3.0
93,arcene,mnar,0.4,mean,1.335396865256299,5.0
94,arcene,mnar,0.4,median,1.4110367333459224,7.0
95,arcene,mnar,0.4,mice,1.1878362959427615,1.0
96,arcene,mnar,0.4,softimpute,1.353974581883343,6.0
97,arcene,mnar,0.4,sudoku,1.1885486017123452,2.0
98,arcene,mnar,0.5,factorization,1.2840153867725297,4.0
99,arcene,mnar,0.5,knn,1.2506044616213483,3.0
100,arcene,mnar,0.5,mean,1.3404728733239637,5.0
101,arcene,mnar,0.5,median,1.41921409890642,7.0
102,arcene,mnar,0.5,mice,1.1966596221814143,2.0
103,arcene,mnar,0.5,softimpute,1.3655874323315125,6.0
104,arcene,mnar,0.5,sudoku,1.1878152372340107,1.0
105,eeg,mar,0.1,factorization,0.0829277126363323,5.0
106,eeg,mar,0.1,knn,0.0064861675439751,1.0
107,eeg,mar,0.1,mean,0.0072152133143725,3.0
108,eeg,mar,0.1,median,0.0072880641618172,4.0
109,eeg,mar,0.1,mice,0.1892703274727875,6.0
110,eeg,mar,0.1,softimpute,0.2934974577312065,7.0
111,eeg,mar,0.1,sudoku,0.0068644948611075,2.0
112,eeg,mar,0.2,factorization,0.0852837324930392,5.0
113,eeg,mar,0.2,knn,0.0075583557707743,2.0
114,eeg,mar,0.2,mean,0.0079233428340236,3.0
115,eeg,mar,0.2,median,0.0079856339533087,4.0
116,eeg,mar,0.2,mice,0.1882976689991539,6.0
117,eeg,mar,0.2,softimpute,0.2584064978619374,7.0
118,eeg,mar,0.2,sudoku,0.007549690377056,1.0
119,eeg,mar,0.3,factorization,0.1009842774359086,5.0
120,eeg,mar,0.3,knn,0.0078765934783155,1.0
121,eeg,mar,0.3,mean,0.0081850966410051,2.0
122,eeg,mar,0.3,median,0.0082215644978433,3.0
123,eeg,mar,0.3,mice,0.2165400600006803,6.0
124,eeg,mar,0.3,softimpute,0.2468525690236,7.0
125,eeg,mar,0.3,sudoku,0.0082548819760482,4.0
126,eeg,mar,0.4,factorization,0.1331852100954692,6.0
127,eeg,mar,0.4,knn,0.0110124322101767,2.0
128,eeg,mar,0.4,mean,0.0110470230407147,3.0
129,eeg,mar,0.4,median,0.0110851404274288,4.0
130,eeg,mar,0.4,mice,0.0472456060541237,5.0
131,eeg,mar,0.4,softimpute,0.3414943417043865,7.0
132,eeg,mar,0.4,sudoku,0.0108414261513531,1.0
133,eeg,mar,0.5,factorization,0.155850279224966,6.0
134,eeg,mar,0.5,knn,0.0111618171889727,4.0
135,eeg,mar,0.5,mean,0.0105637605296432,2.0
136,eeg,mar,0.5,median,0.0105674774187865,3.0
137,eeg,mar,0.5,mice,0.0415238464819225,5.0
138,eeg,mar,0.5,softimpute,0.3208352646439268,7.0
139,eeg,mar,0.5,sudoku,0.0105235885061135,1.0
140,eeg,mcar,0.1,factorization,0.0173859028736238,5.0
141,eeg,mcar,0.1,knn,0.0027619225891166,1.0
142,eeg,mcar,0.1,mean,0.003837618596335,3.0
143,eeg,mcar,0.1,median,0.0038389761344948,4.0
144,eeg,mcar,0.1,mice,0.0519477709047108,6.0
145,eeg,mcar,0.1,softimpute,0.0672471900943796,7.0
146,eeg,mcar,0.1,sudoku,0.0030940735326244,2.0
147,eeg,mcar,0.2,factorization,0.0319437668987965,5.0
148,eeg,mcar,0.2,knn,0.0041749565386792,1.0
149,eeg,mcar,0.2,mean,0.0046683117837678,4.0
150,eeg,mcar,0.2,median,0.0046673168335961,3.0
151,eeg,mcar,0.2,mice,0.0610617411904779,6.0
152,eeg,mcar,0.2,softimpute,0.0942157629659349,7.0
153,eeg,mcar,0.2,sudoku,0.0043139410764515,2.0
154,eeg,mcar,0.3,factorization,0.0522021535034849,5.0
155,eeg,mcar,0.3,knn,0.0066319842960391,2.0
156,eeg,mcar,0.3,mean,0.0069390756422924,3.0
157,eeg,mcar,0.3,median,0.0069402595266825,4.0
158,eeg,mcar,0.3,mice,0.0927326343835397,6.0
159,eeg,mcar,0.3,softimpute,0.117237238760073,7.0
160,eeg,mcar,0.3,sudoku,0.0066292496575472,1.0
161,eeg,mcar,0.4,factorization,0.0722900424024011,6.0
162,eeg,mcar,0.4,knn,0.007655956268306,1.0
163,eeg,mcar,0.4,mean,0.0079409498347998,3.0
164,eeg,mcar,0.4,median,0.0079436360555789,4.0
165,eeg,mcar,0.4,mice,0.0280117247850689,5.0
