column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
0,-0.004802126571719079,,0.26465899326501147,0.22024938271604938,270,270
1,-1.1629104875954255e-05,,0.17003358214605907,0.14020525127577385,270,270
10,-0.3678221086029394,,0.3234412897981283,0.22988973788901407,203,203
11,-0.0013120753264823648,,0.10286106608668416,0.04509396143675835,235,235
12,-0.01177386665127833,,0.20705661760429364,0.14905364677516575,270,270
13,-0.023313465181917792,,0.1258761745530103,0.05888274277163165,270,270
14,-0.21422367470541692,,0.1532627061527465,0.1277404536319265,270,270
15,-0.04238382026639553,,0.1713643307478218,0.13958538818830743,270,270
16,-0.0003663709355405942,,0.11913162974835019,0.0783874953490168,102,102
17,-0.08826467915344405,,0.01268480929661014,0.005962637292437926,206,206
18,-0.0017927661043548593,,0.2167702542049234,0.17862104644326868,270,270
19,-0.03924786985284179,,0.13012490706448532,0.060420279309168184,270,270
2,-0.00028578119612232555,,0.2697948431898687,0.23716544097256886,270,270
20,-0.02352335388880289,,0.1060518323337052,0.07735514655760053,270,270
21,-0.02987180531105671,,0.18109884545006474,0.11618290325769953,203,203
22,-0.0032861379262889567,,0.12476989791235009,0.07961242026486892,244,244
23,-0.3850164236271023,,0.1897898989799593,0.1352111214856313,270,270
24,-1.0474578175471967,,0.24133707665625595,0.20940486125671312,270,270
25,-1.9682172905341777,,0.25310755514254407,0.21066084698378865,270,270
26,-0.015862740019400468,,0.1312587615132073,0.08515488427382699,270,270
27,-1.1234540896885252,,0.31333180835460167,0.2831418560977155,259,259
28,-0.04817723850189881,,0.15585672420828858,0.10869979402832397,162,162
29,-0.0018510778782621085,,0.2256184609776662,0.1860068273751647,270,270
3,-1.1792832732891947,,0.2163035303386856,0.17597693233672068,270,270
30,-0.0012735626706390502,,0.18114425974685433,0.13189873417721518,270,270
31,-1.0683861306357771,,0.3551985551393841,0.3303486843544901,259,259
32,-3.8981996231803686,,0.17555988411716753,0.16971849266795094,131,131
33,-0.08911181536108348,,0.16824622109685694,0.1330403787473835,241,241
34,-0.005567184520109292,,0.23221464139312115,0.18825756299217022,270,270
35,-0.04353837258363824,,0.18005903375793658,0.12658325116767813,270,270
36,-7.34833946540725e-05,,0.09315869484805751,0.05070949550373416,270,270
37,-0.003499865871773533,,0.12539689441484247,0.03470588485886392,270,270
38,-0.04184766674629259,,0.09110294403746702,0.06625166365932877,85,85
39,-0.005503101309008773,,0.1774166266211184,0.12064166730833398,270,270
4,-0.0027254214047360836,,0.2079242863818495,0.16081561561421936,244,244
40,-0.0343934543436375,,0.09585804412302697,0.0752563851329283,270,270
41,-0.0031615592529619096,,0.07091852721543515,0.047750031450254395,241,241
42,-3.6487573433670626,,0.4174306220035834,0.3799053412741014,270,270
43,-12.877086157432446,,0.03602888733681467,0.035853699504493096,270,270
44,-1.1135270925454757,,0.3762376404748508,0.3183721221221221,270,270
45,-0.0912609723596709,,0.16872952655249263,0.13056545703813544,206,206
46,-0.005622212575395524,,0.19032598987580104,0.1535315829065969,187,187
47,-0.0034330598095488885,,0.09728505892007862,0.05686543987548456,235,235
48,-0.00032332569831905467,,0.15717276275397957,0.11685642120751034,231,231
49,-0.08551830475642452,,0.20491029721861653,0.1699745247893396,270,270
5,-0.004043097606083457,,0.22573245324698255,0.19940948708133743,270,270
50,-0.0076271242334113865,,0.2266144304632535,0.18394165973541643,137,137
51,-0.2793948369299539,,0.04147925877750523,0.02825051008057534,270,270
52,-0.0016730187217084413,,0.14506789904066902,0.12507032737546833,270,270
53,-1.1516411672665248,,0.23295330356066873,0.2218657557457484,131,131
54,-0.013084217612701066,,0.08680416558192587,0.05632952615803168,270,270
55,-0.013384579965857624,,0.10698240852206574,0.027445767195767187,270,270
56,-0.019689692748867893,,0.1070966556185801,0.07416931839036481,270,270
57,-0.0038423988215572358,,0.10876850107105249,0.08380686608117324,85,85
58,-0.007512685810566078,,0.09018409318902436,0.03861223245585379,270,270
59,-0.012927046768961281,,0.18630140848546858,0.1112274299350997,270,270
6,-0.00042473221891037305,,0.33899021075302493,0.3031971436365808,187,187
60,-3.164138275629295,,0.40278592504989313,0.3843348103375924,131,131
61,-0.06496973536065531,,0.1644067450079008,0.1277963734307312,270,270
62,-0.35736754898891165,,0.27856917440057805,0.2184644285098203,270,270
63,-0.0030948797615903967,,0.1982557967768484,0.15793915666931538,270,270
64,-0.001901484858999103,,0.09910474054955855,0.06783783656672542,270,270
65,-0.3324399262018516,,0.20889937983175935,0.16752978778017905,270,270
66,-0.012285471923536573,,0.07587209535829714,0.056713320556966026,204,204
67,-0.016185848826962834,,0.17618175479870096,0.14443358441716406,270,270
68,-0.12029106632685505,,0.2070850855103617,0.17443980074299223,270,270
69,-0.00010154652245120133,,0.08193965849929533,0.05853450761447928,270,270
7,-0.023562437453432228,,0.08931279460100836,0.07210537918871249,270,270
70,-0.65852395453881,,0.15000824474169627,0.12405428242512916,270,270
71,-0.1132182385663445,,0.1400932798007512,0.06906340895869692,270,270
72,-0.005255276022136046,,0.0709552078622665,0.03867327929561515,72,72
73,-1.0153794539773928,,0.3302447761913793,0.2890908765908766,270,270
74,-0.00025979707807333163,,0.10929751245441717,0.06101698971045702,270,270
75,-0.001388310929396841,,0.12543679055619528,0.09261304750995472,270,270
76,-0.019153379778368507,,0.1765738387335923,0.13585602443326017,270,270
77,-0.007816985250329145,,0.054119507307180396,0.02599725651577499,270,270
78,-0.001445888701348652,,0.13147868331646226,0.09223125920095612,270,270
79,-0.06872964922398261,,0.15811257724966557,0.08090165664239735,270,270
8,-0.5101738774902489,,0.12441027647228517,0.10527408321525969,16,16
80,-0.003227833100956312,,0.218005628265024,0.18119173595364063,270,270
81,-0.002505746302218226,,0.12369353286799609,0.10519843602736016,270,270
82,-2.443458576321276,,0.303262708135949,0.26388797664659736,270,270
83,-0.0012900063679182061,,0.10968183764688784,0.08224589722894804,270,270
84,-0.011463469603225196,,0.0978318279605639,0.03820021835894846,270,270
85,-0.07091634808658642,,0.20338188181780675,0.16846462864981382,270,270
86,-0.036122208655327004,,0.12532637535301414,0.09833548374191102,270,270
87,-4.3495934008763726e-05,,0.11783415443585094,0.08069279100529098,270,270
88,-0.9578169464650512,,0.07983877498129203,0.07342658008040143,270,270
89,-0.6741820254895772,,0.21487774454040895,0.16404935673198412,270,270
9,-0.9859351268908831,,0.22652622047303256,0.1906348681794815,204,204
90,-6.040914150129083,,0.31882850401474644,0.29613849625255956,72,72
91,-0.0025891858842566062,,0.23866621163283172,0.20362406609059824,129,129
92,-0.3174603848631534,,0.24722301067372207,0.18992005666869058,270,270
93,-0.0007464214052714802,,0.17152638881107948,0.12938847762696,270,270
94,-0.012012125195332457,,0.124022125322774,0.036902581931821665,270,270
95,-0.017396608216248888,,0.11719433001921409,0.0813507625272331,270,270
96,-0.026753816821368126,,0.10561243978485493,0.07205069573103218,270,270
97,-1.1446708637159717,,0.3274906035282861,0.24473575480348883,196,196
98,-0.000196258876497879,,12.086933504211537,7.511934156378603,270,270
