column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
0,0.854210036261551,0.9263459368953368,0.10294797576584842,0.05813095238095238,168,168
1,-0.29217693622688756,-0.015452674622879142,0.17374092288810752,0.14347742870423538,167,167
10,0.735457951278996,0.8580289520443654,0.10445252976227512,0.05757818765036086,174,174
11,0.28060454904835097,0.5628970709535511,0.08607543777581093,0.024666226040978186,178,178
12,-0.18503906449795027,0.02556121005465325,0.21571759060756895,0.16252334509234279,183,183
13,0.7131332311492731,0.8475171235542058,0.03756553371244897,0.01631493506493505,168,168
14,0.6968841438760196,0.8357095844287203,0.09637370876113961,0.06715678919729932,186,186
15,0.848660967967579,0.9214940597707604,0.07141979524214073,0.04061210350332861,178,178
16,0.5627559417933967,0.7527974526921182,0.06562476009539724,0.0310823205686769,178,178
17,-3.248403743001445,0.002357406968678465,0.027440764130466637,0.0053385917660638636,184,184
18,0.8172079357688861,0.9054707686989532,0.09769040401431921,0.07185936343449296,193,193
19,0.2539047209282538,0.5545889182787851,0.05320197869892011,0.027595796016848622,171,171
2,0.8008119062650652,0.8985956041895706,0.11865445629020215,0.07766611977030353,184,184
20,-0.17126268972801273,0.042622389407463476,0.1427365871927613,0.08348356582239432,179,179
21,0.6312607361503673,0.8001059093447251,0.09741541327219749,0.05155174495833836,182,182
22,-0.34413866322544173,-0.07810904457865053,0.12378536430260456,0.08339859531356826,173,173
23,0.7387018753202543,0.8674001623379124,0.09010757672186935,0.04901279956427015,192,192
24,0.762958025773135,0.8768628389504851,0.08619200425504592,0.057470066165718335,161,161
25,0.8722573861122862,0.9344324708248197,0.07391518012492812,0.044396266770367496,185,185
26,0.5102063596030499,0.7187442213627788,0.06880828640356541,0.02871937553133936,171,171
27,0.7787580915350192,0.8885470579869313,0.1040995856587002,0.06264661565279049,181,181
28,0.6949372878014834,0.8468580357104356,0.08828618880249235,0.06179779169983732,173,173
29,0.8218692319546986,0.907797005527899,0.09689264670928177,0.0555613696986714,187,187
3,0.7034549085524688,0.8411009642221117,0.11710944723998752,0.08779454977257174,169,169
30,-0.2531361899716249,-0.09351446462795304,0.1891461818709265,0.13819001891459332,174,174
31,0.9140627422826209,0.9567958344677461,0.08245298542135839,0.05674173019092244,181,181
32,0.7922649824559349,0.891239840911584,0.103153134216835,0.06267164798671647,165,165
33,0.58257602213891,0.7795755201725603,0.08693078316493374,0.055057857409481145,188,188
34,0.8943058712827793,0.9499668561531205,0.07831449311214825,0.04319629415170816,187,187
35,0.8136393635225726,0.9027747543521115,0.07108092996716636,0.038494094488188975,160,160
36,-0.23974122146662902,-0.07141340865173261,0.09902055373772616,0.04815353143841512,172,172
37,0.8130522545540837,0.9248295095068115,0.02745630882462784,0.009436303947473768,181,181
