column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
0,-0.002267384849101939,,0.26273346625446176,0.22160642570281128,249,249
1,-0.0034122016579141157,,0.181390815956691,0.14109505235168804,258,258
10,-0.0004537263854376139,,0.21408472357608127,0.15462445234762986,253,253
11,-0.007139868789437287,,0.1151866908074688,0.04726295376450171,273,273
12,-1.1750608195360002e-05,,0.20100291646707005,0.14900654769204555,257,257
13,-0.06302116989343065,,0.06898613579019197,0.04527329566331123,259,259
14,-0.0003759039055515334,,0.17462839034921376,0.144116641848027,265,265
15,-0.001345347937150132,,0.19383337661110847,0.1466688957818745,272,272
16,-0.0003386691091620264,,0.11059308067329855,0.07455927437858281,263,263
17,-0.005277647716848133,,0.026601048224010864,0.007131709972219379,265,265
18,-0.0014702251267388888,,0.22456986512404117,0.18915099954718428,277,277
19,-0.0009570791092972097,,0.06939103016823056,0.047309696027366066,258,258
2,-0.002826615564620605,,0.26119751989142903,0.227142254780112,267,267
20,-0.009504361160426189,,0.1225053085953537,0.08280098311735301,274,274
21,-1.5032348708698962e-05,,0.16712405179946496,0.11360383447674843,285,285
22,-0.0005264228592709586,,0.11821339194971929,0.07781349992095177,269,269
23,-0.00010369139629640145,,0.1612611658707973,0.12218214783625617,287,287
24,-0.030296668970201335,,0.18732197516652435,0.1611020787517968,253,253
25,-0.0169850311006865,,0.20541495891923872,0.16278413614453235,284,284
26,-0.02412679311511412,,0.10071073543241627,0.07567366979135917,265,265
27,-0.0010437138819405778,,0.21352520095628122,0.17812120783628138,260,260
28,-0.001302033603445052,,0.15244559612814845,0.10883202421908496,268,268
29,-8.839049018338763e-05,,0.22536117611855921,0.18635263993985002,294,294
3,-0.011521222196043235,,0.21353516338296932,0.1793205933030731,264,264
30,-0.0024838571830332334,,0.16351409929172855,0.12888522706808336,257,257
31,-0.01921399777825661,,0.273919892606878,0.22889753173689142,277,277
32,-0.0008091159842908979,,0.22331058794660402,0.1777655053495313,263,263
33,-0.014199146647919658,,0.13430245991957118,0.0913013356913595,282,282
34,-0.007407963212551882,,0.2361286863077135,0.19360430974210616,268,268
35,-0.00039119215152072506,,0.15351648885370175,0.11662866508318544,251,251
36,-0.0024943916354076556,,0.08175019668445864,0.047114704502642324,248,248
37,-0.0036962975781169582,,0.06884625314763082,0.02860240535280581,257,257
38,-0.0001228027815389776,,0.12258194530607751,0.06899541449964795,267,267
39,-0.023483529122675595,,0.19955653386303668,0.1349179037858283,264,264
4,-0.010349142653277354,,0.18477446394475053,0.14577625537790093,267,267
40,-0.0004452373386953923,,0.11503811006083753,0.07568588355613373,283,283
41,-0.0020555586355732736,,0.09090774430023711,0.051242528518034645,278,278
42,-4.717182200408843e-10,,0.2214519939578787,0.1854067932026469,296,296
43,-0.0017202973370107344,,0.08154046602582783,0.0431276690974463,245,245
44,-0.025717362756961126,,0.30816006805749063,0.2663314189189189,300,300
45,-0.000146394237632963,,0.17268215363460596,0.12642633928571426,256,256
46,-0.00012050202821178857,,0.19641666183003395,0.1537762566858974,281,281
47,-0.006562829974392281,,0.08397662730243617,0.05484080571799868,270,270
48,-6.419075889940729e-05,,0.15435811679228642,0.11353502779504164,286,286
49,-0.0044091858257973016,,0.22054923222324355,0.1939364641674238,259,259
5,-0.0004708966357733768,,0.23229526191745264,0.2041657499114529,273,273
50,-3.843016357207851e-05,,0.22170606037325208,0.17994142272992794,280,280
51,-0.00010671060247346986,,0.08321391390325202,0.034833472112288794,274,274
52,-0.000802233236784522,,0.14956727172398132,0.12716939478899894,285,285
53,-0.006726187005727136,,0.31817163152141964,0.285719757477695,261,261
