column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
0,-0.26550649198736664,,0.3033096209988667,0.18970238095238096,168,168
1,-0.0056723204357793655,,0.15327431363596217,0.12941240806059115,167,167
10,-0.34750445853075784,,0.23574186329491253,0.11971588956352389,174,174
11,-0.05806772333804999,,0.10438837323971215,0.02445472571050892,178,178
12,-0.10781438067508398,,0.20857042527568873,0.1296719005787277,183,183
13,-0.057203232190955466,,0.07211551075176406,0.01677489177489177,168,168
14,-0.03047411583557369,,0.17769401011899222,0.1367091772943236,186,186
15,-0.19546655073640307,,0.20072979419390993,0.12837003343675635,178,178
16,-0.1763458016487176,,0.10763989710540695,0.04167622105021783,178,178
17,-0.010975816660793392,,0.013386088530317747,0.0013947672181608309,184,184
18,-0.0022676576913196467,,0.22875210290828699,0.19107327905255367,193,193
19,-0.204141210378451,,0.06758796163935689,0.02782889624994887,171,171
2,-0.19777277055674847,,0.29096421797517324,0.23078342904019689,184,184
20,-0.12786135099581042,,0.14006705951186837,0.0471604345888885,179,179
21,-0.2011067105714084,,0.17581615653128607,0.07194179446926699,182,182
22,-0.3373015182702479,,0.12347013734636876,0.0620092402676777,173,173
23,-0.22312141660034723,,0.19495211413192062,0.11444716775599127,192,192
24,-0.018922431543997753,,0.17870014855100122,0.15462798071493722,161,161
25,-0.011108276871158562,,0.2079527045888635,0.1643982111608011,185,185
26,-0.18624083937862257,,0.10708301911494482,0.04242986320426616,171,171
27,-0.1092522304585255,,0.23309365841697513,0.18740213312848994,181,181
28,-0.0121641744248282,,0.16081393778338762,0.11523773262723105,173,173
29,-0.05438886217079575,,0.23573374398247635,0.18512373489209089,187,187
3,-0.0005848221676665322,,0.21511639767395688,0.1803002857947913,169,169
30,-0.4457075537953825,,0.20316021693888534,0.1128037247199185,174,174
31,-0.05603137570083372,,0.28903740556787116,0.24155535352122529,181,181
32,-0.28261024185943406,,0.25631553224410586,0.15362391033623907,165,165
33,-0.21200076443390037,,0.14812772161494095,0.09763437849944007,188,188
34,-0.4861318408109401,,0.2936603955198418,0.16795531182942197,187,187
35,-0.27232596688833777,,0.1857270685416856,0.0859251968503937,160,160
36,-0.12885026688001933,,0.09448829224828502,0.03192291128337639,172,172
37,-0.05471021563951961,,0.06521516708691953,0.014853070702217946,181,181
38,-0.0314608940924348,,0.12196398285868702,0.06387978142076503,183,183
39,-0.3347211610634697,,0.23611280061402776,0.12529985606908683,182,182
4,-0.315410719462492,,0.21529882610028567,0.10542635658914729,200,200
40,-0.13538373455885777,,0.130322625253358,0.06303175120379421,198,198
41,-0.17223432934461091,,0.0799079388326697,0.030629687772544906,195,195
42,-0.3159304707249875,,0.2565486704268087,0.17974518785512253,193,193
43,-0.08473830560507789,,0.07036410255056649,0.01966656683637815,159,159
44,-0.014160095919299343,,0.306991619868229,0.2530285967785968,198,198
45,-0.13355457099956403,,0.1919844626481661,0.1103728813559322,177,177
46,-0.31784864391534984,,0.22957203478598742,0.11274476818518268,193,193
47,-0.05607246213008654,,0.09509644765576208,0.05273542973455736,181,181
48,-0.26560745076840586,,0.18155488580716617,0.08317227024616101,197,197
49,-0.06576714540888817,,0.22681388762395022,0.18465467466133687,158,158
5,-0.022511978932132193,,0.23145360014072178,0.19703434286913338,174,174
50,-0.35586244664832045,,0.2567170508007696,0.13151884278644843,185,185
51,-0.05258565196400333,,0.09354024565972689,0.02090756302521008,175,175
52,-0.017067110071972813,,0.15278251726838968,0.12534620710878594,194,194
53,-0.29375213045040516,,0.36594286629322653,0.2933002418867164,176,176
54,-0.15841757117005373,,0.08938309790873106,0.033054037064445006,163,163
55,-0.02093367343797814,,0.10884849023831472,0.015586419753086419,162,162
56,-0.23003141453245202,,0.14485674843137483,0.06264323911382734,187,187
57,-0.2665279891797472,,0.14899800732246096,0.06835093750706804,179,179
58,-0.09288546992211755,,0.06166566378297701,0.017977528089887635,178,178
59,-0.2195657270839393,,0.19160623149461398,0.09773990939044479,192,192
6,-0.0006833044919105635,,0.32197479625279374,0.2879513721714011,155,155
60,-0.0037630163060156097,,0.26741835332147046,0.23391027416228194,184,184
61,-0.040306609988709274,,0.19024241584148713,0.14387706855791965,150,150
62,-0.1268617057404513,,0.29776438229492935,0.23283971118374727,169,169
63,-0.24586124619946226,,0.23116210856775446,0.15380429094714806,175,175
64,-0.383011350603635,,0.09975160160354274,0.052494382022471905,178,178
65,-0.4456417713181553,,0.19349463736009617,0.10934459214302206,183,183
66,-0.2736304743924649,,0.10765710569964285,0.04990030620237838,186,186
67,-0.001899212261144756,,0.1786007080121962,0.13897557578727465,191,191
68,-0.18345957663801227,,0.16901066155062136,0.11699794699514746,171,171
69,-0.2276528526296222,,0.11504218415408972,0.0495399858457183,207,207
7,-0.17199691251491034,,0.12420101266691862,0.04757975797579757,202,202
70,-0.038217214730355664,,0.20482452205121565,0.1634573224203449,176,176
71,-0.0525729890886415,,0.09728042986880439,0.02174105954388144,177,177
72,-0.14891823162966866,,0.061095340225114494,0.021995683519309354,183,183
73,-0.012799423607158245,,0.23193149053578885,0.1947535771065183,170,170
74,-0.13910309164602208,,0.15060750340558784,0.052630013975201444,169,169
75,-0.010299563224339447,,0.10543376671540215,0.07292133572389063,184,184
76,-0.4803895331416439,,0.2019458654461199,0.11503863801014247,202,202
77,-0.10482936386265984,,0.07649635422326236,0.02356321839080459,174,174
78,-0.3365446075580163,,0.15784232291183478,0.07920508288348539,173,173
79,-0.16467252659782705,,0.12399985712188528,0.046626180836707144,190,190
8,-0.2261798708200511,,0.20901745594627033,0.13842675117184922,204,204
80,-0.3537155267564287,,0.25855312068866637,0.13216398985629754,169,169
81,-0.6596793674259285,,0.1572567459688538,0.09914336104812292,168,168
82,-0.0515997513945361,,0.29995414963068606,0.2534911648653285,201,201
83,-0.30084698033331114,,0.11773257618177797,0.056618240516545584,168,168
84,-0.06254290025058284,,0.07552200559289225,0.01832269220537376,179,179
85,-0.4927400546576186,,0.21980793411329316,0.12628745318352055,178,178
86,-0.12649514994041566,,0.14177781067290654,0.09717129387113674,166,166
87,-0.3404489897490852,,0.15566642520314758,0.07845052083333331,176,176
88,-0.27925685795769306,,0.12548481041516835,0.058629232039636645,189,189
89,-0.003467097272212616,,0.16560460525076617,0.13959484346224676,210,210
9,-0.5096090161263336,,0.23465246262213268,0.13633627608346707,168,168
90,-0.04134761385316588,,0.30021444178716056,0.23790457123790454,185,185
91,-0.07388858740077575,,0.26155689297328405,0.2044679531891808,184,184
92,-0.004754807268642303,,0.20782441397485749,0.16993900114372856,172,172
93,-0.2800034471838819,,0.1782092192171541,0.08335013102197136,176,176
94,-0.03574699139246129,,0.06244027905839377,0.0115999934231079,194,194
95,-0.24126970982122464,,0.12086083460616802,0.053284870064040736,183,183
96,-0.1766586544815827,,0.11942255137717527,0.06231635872014418,175,175
97,-0.18823283334872398,,0.16917786655289832,0.0673349371825715,172,172
98,-0.15952147585225362,,10.371907760303083,3.847058823529412,170,170
