column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
0,0.6137172738142078,0.8661775942703424,0.16757400198370928,0.11544007272223664,168,168
1,-0.003700001032405531,0.062329976160548126,0.15312393947213326,0.13013565293060209,167,167
10,0.5369538402522287,0.7875672012368666,0.13819226969472628,0.08300944824461658,174,174
11,0.11764757778135482,0.3769717292241258,0.0953271123741385,0.036316070189553934,178,178
12,-0.02285797490954966,-0.08245216594982505,0.20041346430194806,0.14527539995172323,183,183
13,0.08610382018962504,0.36058598566537203,0.06704985971898456,0.036480523340647254,168,168
14,0.2854616533374388,0.6940326873408873,0.14796773131955843,0.11815141280169297,186,186
15,0.6609527927971699,0.8596307514831324,0.10689889364734025,0.06955810588132026,178,178
16,0.34213038243384186,0.5905006910291505,0.08049625679191955,0.047995341289913215,178,178
17,-0.03268117792638803,0.12103687619771328,0.013529023156820889,0.005351889249424075,184,184
18,0.5268516121341845,0.8065467498116322,0.1571708201487535,0.12675742765289022,193,193
19,0.1453092977877649,0.3875915986738226,0.056942316209614756,0.03826090300815559,171,171
2,0.5856745755880833,0.837513763458751,0.17112882084445474,0.13132149859178516,184,184
20,-0.008924719504879608,-0.059194389980699376,0.1324761003392747,0.07934886620568028,179,179
21,0.13396813632341054,0.39588250122426316,0.1492914446971689,0.09112364642700543,182,182
22,-0.012920730637699052,0.006448992676424296,0.10745706940310686,0.07449792826452807,173,173
23,0.43175985018137897,0.7452716913930924,0.13287984778610157,0.07838156522011626,192,192
24,0.6221252823497967,0.8138417668833382,0.10882489823413193,0.08334080224148363,161,161
25,0.6246509167666986,0.8787340272444196,0.12670198534016658,0.10218156477373863,185,185
26,0.463938253823692,0.6966758922674826,0.07198492885780566,0.04148344515054421,171,171
27,0.5505804757589181,0.8366508829016299,0.14836835128315448,0.1166834904502102,181,181
28,0.0024416077333905273,0.5043432252195104,0.1596494288093808,0.134751612669109,173,173
29,0.5910881327149347,0.8190923594329816,0.1468034311871364,0.10299486023409551,187,187
3,0.2360823313257141,0.6386897447673952,0.18796190531234216,0.15307635044921836,169,169
30,-0.029304309549318397,0.07314330332805909,0.1714234922601353,0.12903043776835244,174,174
31,0.6563530653451815,0.924936196855833,0.16488147982717213,0.1319471290961844,181,181
32,0.4049655436907772,0.6660873290450187,0.17458166461004115,0.12148444217094269,165,165
33,0.04865427039642922,0.4409623763940239,0.13123633170623641,0.09082327187574758,188,188
34,0.7206468343586607,0.9212259664830439,0.12731908487095533,0.08027918508089944,187,187
35,0.5135356215185105,0.7490396217326005,0.11484220721071745,0.07226287973857459,160,160
36,0.008142074341076722,0.1370051622461135,0.08856957561898593,0.04534885049593089,172,172
37,0.021273546169955693,0.15919974314253665,0.06282213598444941,0.023836609970250052,181,181
38,-0.025650282407412517,-0.03886440385822521,0.12161996291437045,0.06708947769943767,183,183
39,0.1982264846802858,0.5357330735541411,0.182999588307779,0.11621122204478201,182,182
4,0.4260002259474015,0.6715086354583786,0.1422220172388924,0.09381403786681826,200,200
40,0.06595072298723903,0.3584933337371568,0.11820432848234913,0.06892671122258394,198,198
41,-0.005051075483297529,0.008689355686285406,0.07399063882229383,0.04540174713278621,195,195
42,0.6568063855675401,0.8638820769491499,0.1310155655656033,0.10202330195081691,193,193
43,0.16781215385514148,0.4174272388967406,0.061631019074144484,0.03136444104876186,159,159
44,0.750230260457697,0.9274068044906701,0.15235025017983836,0.12013439323250456,198,198
45,0.2149008389875554,0.5161626697395236,0.15977437336320316,0.09654593738408093,177,177
46,0.687352499598731,0.882045113771698,0.1118185089888719,0.06392539369741192,193,193
47,-0.028404724140658866,-0.00019655762820142836,0.0938424778389654,0.05522146293478305,181,181
48,0.4777353744112163,0.7486749430627004,0.11662824343252723,0.06575939923914009,197,197
49,0.6079620086557955,0.8548085109405298,0.13756329069988862,0.10835385405626381,158,158
5,0.45043704521164096,0.8414718727361139,0.1696830504620215,0.13935851190052104,174,174
50,0.7324424090146069,0.9332432075906039,0.11403956112476574,0.07294223906782547,185,185
51,0.09271591198565599,0.3283349043508842,0.08684432228978275,0.03133441265186159,175,175
52,-0.013129762970231162,0.05100147274511768,0.15248649888166133,0.12512010510184518,194,194
53,0.6794222578199437,0.9284654716643576,0.1821605921472688,0.14382512366346265,176,176
54,0.14049008941338514,0.3870231351462085,0.07699247467477312,0.044626337295235234,163,163
55,-0.00553647849115535,0.020497242557694962,0.10802457357855333,0.024646510344197663,162,162
56,-0.02522767471727505,-0.06252499997567162,0.13224851108886063,0.07945069535102854,187,187
57,0.1933168267075327,0.46220034342870187,0.11891169327082707,0.07296341593695517,179,179
58,-0.009157451340687128,-0.03257782711056906,0.05925643916724743,0.03130631658956741,178,178
59,0.18087475600195668,0.4909043231553173,0.1570298366436092,0.09066170672812902,192,192
6,0.6567456211208446,0.8936448718003045,0.18857390438441726,0.15879479263832633,155,155
60,0.6853118960346627,0.9118754264989068,0.14973239734987795,0.12096417516164523,184,184
61,0.2508024219517331,0.5596234334869312,0.16144509530498213,0.11102095071717168,150,150
62,0.7558772980680296,0.933121605800537,0.13859307200085624,0.10194859560072633,169,169
63,0.4301317087269737,0.7410571632562357,0.15633962111231284,0.10375346066294372,175,175
64,-0.03244916751948712,-0.139298891133774,0.08618691672199383,0.061187485607986106,178,178
65,0.704332774077226,0.8637744671553976,0.08750647350875965,0.05705944420634959,183,183
66,-0.021999152454493354,-0.08230478017137681,0.09643756735072967,0.06007109851700435,186,186
67,0.5825337320461516,0.8298733126786506,0.11528740223048867,0.07628622107770786,191,191
68,0.23563187634825988,0.7391115534863646,0.13582780148436713,0.11014165460995634,171,171
69,-0.01575190201290666,-0.0013610572436905388,0.1046437156331014,0.05749785062342546,207,207
7,0.0024072756813655616,0.054868510185349266,0.11458784174546137,0.06939266084196155,202,202
70,0.5350813702019301,0.8416479545985185,0.13706491840753077,0.09684646993113066,176,176
71,0.08235081321781468,0.39257893295112356,0.09083175647864088,0.04141341023805552,177,177
72,-0.00690848677971978,-0.014475854927358839,0.05719506103087504,0.03408885590738803,183,183
73,0.5185939827136603,0.791707331673228,0.1599019476058542,0.1312358038393783,170,170
74,0.18469700676020018,0.5423656946024824,0.1274161893500881,0.0592834215340731,169,169
75,-0.01677702503807854,0.030755545028740935,0.10577121713984311,0.07733466110722435,184,184
76,0.4386632405243801,0.752182700626006,0.12435369799311298,0.08349583700504434,202,202
77,-0.029993243231330124,-0.03147964033576174,0.07386017309735796,0.03211771289440239,174,174
78,0.12890370366583725,0.3991705051492594,0.12742798574266387,0.06402635450222272,173,173
79,0.035911987745503415,0.21758322446138542,0.11281779586423821,0.06147777260635025,190,190
8,0.5621653899775878,0.7919501711840661,0.12489944559049725,0.08770272405739642,204,204
80,0.6937111046931475,0.8840258631653197,0.12298487516519614,0.08017229117394696,169,169
81,-0.03409944992842706,0.009076959013085445,0.12413045315401462,0.10248405637563522,168,168
82,0.5597267361626862,0.8313333316963687,0.19408447343022098,0.15563063486329975,201,201
83,0.00023772612294870044,0.03638920096527001,0.10321240857517337,0.07448014411201494,168,168
84,-0.007198832216224416,-0.05158437680314522,0.07352886880021238,0.030985319478540586,179,179
85,0.39844317675508023,0.6749010659774899,0.1395370701624326,0.09649802752232266,178,178
86,-0.2655693532719934,0.4565321304701868,0.15027494488124946,0.12341456449347955,166,166
87,-0.045122776466877346,-0.023192542639729852,0.13745275930907386,0.0839256541960406,176,176
88,0.21872260319599546,0.48922358420516143,0.0980651985290267,0.05668806133743296,189,189
89,0.6364964877127528,0.8298771606783548,0.09967245309587379,0.07582515445802815,210,210
9,0.5880649681545895,0.8304294184670001,0.12257650643762376,0.06706221572079245,168,168
90,0.7031882296900496,0.9369258716586408,0.16027813362938825,0.1395353020380532,185,185
91,0.6447960612230024,0.8676690619832547,0.1504268782007105,0.1110264598537304,184,184
92,0.5361071461440259,0.8156591681868918,0.1412132210614596,0.1011450071490846,172,172
93,0.001096688900386722,0.042799059910290496,0.15742957541584274,0.11642407384689765,176,176
94,-0.030588682488042807,-0.013159297561325506,0.0622845999824743,0.025502826573216106,194,194
95,0.0006911488865388726,0.05956739516869132,0.10844321315625237,0.06715731479223438,183,183
96,-0.03308598609937885,-0.13476767085973715,0.11189980604790782,0.0741168775914788,175,175
97,0.3404207793638423,0.6281519686695118,0.12604518272058418,0.06906137071203851,172,172
98,-0.11307523805131625,0.16273659077518393,10.162054228570984,4.133400415186179,170,170
