column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
0,0.87901812743096,0.9402596992629666,0.08691589012959366,0.05823704210413097,359,359
1,-0.19697295896142886,0.041971588680208484,0.19930755016686713,0.15622787184684783,339,339
10,0.6909708237699537,0.8320235147841337,0.1158589796112493,0.06309955386434114,346,346
11,0.2874896653719363,0.5389464474339228,0.09164318020922675,0.03506324472342795,361,361
12,-0.22196523813165592,0.0037576959537514304,0.2239404400095672,0.15921317936249493,330,330
13,0.6500002683412099,0.8460177642277859,0.04543651240754822,0.02375097368222961,341,341
14,0.7809536420460074,0.8854184599841185,0.08308127321370613,0.06104103493340689,355,355
15,0.7866971268301741,0.8905550701859026,0.08921596670752058,0.046158133897430904,363,363
16,0.6138857346009745,0.8082978773994886,0.06875010973554904,0.03433531232827355,356,356
17,-0.17440279364424716,-0.011074833568742696,0.03705256057921666,0.012374518892602358,354,354
18,0.8512063374501513,0.923849955557071,0.08660851324662645,0.05883074835467096,387,387
19,0.36836211993211876,0.6163994542707582,0.0696656760723411,0.033762421884888656,339,339
2,0.8619388141888077,0.9287684902786795,0.0982581757387973,0.0625415062187781,353,353
20,-0.3487281924133312,-0.097579832448941,0.14598066149825834,0.09528374615182703,363,363
21,0.7146382943726838,0.8462568223657607,0.08818524007731429,0.05041366730153664,385,385
22,-0.15139888710680505,0.06669946152854282,0.13668058442710193,0.08419645239457373,366,366
23,0.8103513420324804,0.9010289965318259,0.0674223039062154,0.04180424188337557,381,381
24,0.8120795124836367,0.9055882516541991,0.0822284374274613,0.054756035636498154,341,341
25,0.8625352211474007,0.929101562725983,0.07579207753656324,0.04776641954556867,377,377
26,0.393270584866955,0.6554636679849533,0.08377348469192088,0.03380848059684848,358,358
27,0.8728972034677396,0.9344215437153139,0.07442410385801959,0.047383193403561626,340,340
28,0.7569496839702615,0.8765848311190458,0.07606585412719274,0.05326853057034256,359,359
29,0.7344360043170115,0.8586841582414824,0.11529493461391273,0.06846059863088194,392,392
3,0.7771963871034588,0.8819502363822131,0.10071490290357221,0.072893001684206,330,330
30,-0.19738510001096232,-0.008317444531356105,0.1845843882705711,0.13010781812506486,368,368
31,0.9198207183486102,0.9601442042330156,0.07696239486982218,0.05162961317777761,389,389
32,0.5619687746791395,0.7759588839848344,0.14305369161899506,0.08212253192704787,359,359
33,0.5930608406266009,0.7711022191414132,0.08164924388338529,0.04945025762723117,368,368
34,0.8976631649483262,0.9477879224547588,0.07291896993854387,0.04457714575582805,371,371
35,0.8934378191070821,0.9460912321596329,0.05036238110978626,0.024962597750735546,327,327
36,-0.16414342848571972,0.06718006229697679,0.09554338154638854,0.059509866745902786,340,340
37,0.019248970354833306,0.37543680590975725,0.06495539922874825,0.025401092754033714,357,357
38,-0.16688843397055608,-0.014595478456246234,0.1245778501411207,0.08029346345215593,357,357
39,0.8173451215251635,0.9117649685161616,0.08000547192028115,0.051406471291233984,360,360
4,0.7278646863712928,0.8563385282140392,0.09823055899491306,0.05450632826110204,348,348
40,0.359452681085913,0.6147004128784066,0.09140593121231777,0.05575781957267178,370,370
41,-0.13758256807538038,0.042728372220882216,0.09094449277476961,0.054135139250398194,367,367
42,0.8409032107270514,0.9181715228430801,0.09083171098004676,0.06151525162290005,387,387
43,0.4110075387406291,0.6638059628435689,0.06654494282368123,0.024054532851583176,333,333
44,0.9493617425295727,0.9749642843415613,0.06918896627340058,0.043387555447261306,374,374
45,0.43539136772459075,0.6641802792022665,0.12558855201843344,0.07638219317995076,351,351
46,0.879022851609095,0.9375897361667523,0.06914928905276814,0.03458977328940757,376,376
47,-0.2700456690337938,0.04303645618254841,0.08807933370823258,0.061758563286713676,359,359
48,0.7935591354801749,0.892192618558158,0.06920899779359382,0.03715790138772181,361,361
49,0.8968317619725863,0.9504739191620666,0.07067284407844397,0.0480901572749098,346,346
5,0.8800458657681178,0.9381268250367851,0.0783867552094598,0.05359381459516978,356,356
50,0.9462458331829731,0.9730919521481578,0.051071527481509324,0.02591028355435308,364,364
51,-0.04307023370152918,0.32033987541330283,0.07762667229252677,0.031224479939043485,364,364
52,-0.25051227074302496,-0.012935447162902033,0.16653234298224806,0.1357231860951461,379,379
53,0.8899474422857911,0.9433820856714253,0.10510697661721453,0.06795071796327755,338,338
54,-0.2946499225557082,0.4829375701165206,0.09683984173733062,0.052045346372662275,332,332
55,-0.018301296872254236,0.13666112901701974,0.10496159285606853,0.026053096563449715,352,352
56,-0.17935258116981578,0.020075594281353134,0.1378769768362137,0.08331638774873559,378,378
57,0.7796383081806112,0.8858112017019615,0.06462789537471104,0.041365568988470235,363,363
