column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
0,-10.584266628144222,0.04127292473063092,0.47934080278304775,0.456755481538984,213,213
1,-7.261426230807851,-0.08820221153493936,0.3997454298771667,0.3711208537464828,99,99
10,-2.6739985542506766,-0.030729421951084822,0.38596040999916625,0.32889677577606663,283,283
11,-1.85680979076936,0.02110135284793946,0.3754974036193997,0.30273058896339894,70,70
12,-87.28662086312225,0.08038153919336398,0.7397508918102926,0.7333206714816466,19,19
13,-34.36758036499953,0.12710641841369888,0.6833110998123825,0.6713107273088006,8,8
14,0.23259638326572218,0.7554566102022098,0.1361125766806839,0.10014135612471314,450,450
15,-5.911503338690346,0.36015328028519017,0.3372830116324495,0.3150923450964892,173,173
16,-3.888937008695401,0.275097752918485,0.31441934030092444,0.28156844130175984,128,128
17,-9.293058075529327,-0.7073468172314705,0.673184891816291,0.638926680252195,4,4
18,-10.435152808154653,0.1328464879239268,0.1872655285106662,0.17021675082017496,18,18
19,-2.052177797682094,0.4215009488864301,0.316456555144245,0.26544356625702237,67,67
2,-9.7928534451017,-0.21141638880195585,0.5018227489910863,0.46849032910591687,369,369
20,-21.377443690909384,-0.11295490517124994,0.612381597581319,0.5962694840709861,23,23
21,-10.478706437803009,0.6219086150946962,0.37356106933637606,0.3631951105950786,17,17
22,-1.5925598136731423,0.050027036191646994,0.27365357788245326,0.21461776428634916,222,222
23,-42.61920598919708,-0.783534607598034,0.492946555301855,0.469075365688199,7,7
24,-3.09697437673018,0.3907166368750606,0.24827135328207242,0.22110745613526137,450,450
25,-2.7047211875956156,0.2689588624634113,0.25076897023858363,0.21558628747396047,450,450
26,0.0,,0.686374248236967,0.686374248236967,1,1
27,-51.966709067803116,0.04732212632821703,0.45581034848219026,0.44136646230382226,6,6
28,0.4599923824456079,0.7427458692813212,0.1034874504813263,0.07934124298005499,450,450
29,-9.95907462293084,0.005748170182702369,0.32419784411988656,0.2992681979763979,121,121
3,-23.52672959774803,0.25828677172482145,0.19799076905435134,0.18033678022599817,31,31
30,-23.074669899707967,0.028654953266379717,0.6045948919162889,0.5914595150039362,27,27
31,0.29577215290914993,0.8434950196989265,0.16679063075055792,0.13034734299283404,450,450
32,-11.313071976322544,-0.005773113516969091,0.4478088817352455,0.4238673127307324,148,148
33,0.0,,0.6989302858947837,0.6989302858947837,1,1
34,-5.475764291749605,0.31820937074862843,0.26954533683908544,0.245427723473671,60,60
35,-4.689139708855019,0.08689776670033396,0.35321925946041344,0.3209267383811957,172,172
36,-3.3503516109510993,0.0025978017892225817,0.37234985816252963,0.3266703265787636,57,57
37,-0.5918697948079685,-0.5332649380238319,0.2752488939459942,0.1662331520134649,90,90
38,-12.28786714063656,0.3816110091705883,0.6876538762404867,0.6637521151357051,8,8
39,0.0,,0.21397859409284625,0.21397859409284625,1,1
4,-14.15764621470432,-0.1444996105007792,0.3064681759407748,0.2796887180649581,17,17
40,-7.013745834130297,-0.5983570571489845,0.4257802864592412,0.37829689151111207,8,8
41,-28.858537495736318,-0.7226208025928685,0.8498246672857932,0.8312921953373552,3,3
42,-8.61678462410258,-0.1611754225442642,0.2641035091197354,0.24001642908485563,117,117
43,-4.896034399033672,-0.010093527540781366,0.37849922667123204,0.34357977100087084,37,37
44,-5.963510029712076,-0.5594079329463926,0.5176154980324048,0.4529652104708399,450,450
45,-4.1918310033863895,-0.12056833002695498,0.33444959332314333,0.29337587905857754,154,154
46,-4.650209524239555,0.06608700854924711,0.4163041187181177,0.37784833948787644,228,228
47,-2.1554681663809374,-0.004375680918480329,0.35652399413297775,0.29403541097145935,50,50
48,0.0,,0.7345529623643356,0.7345529623643356,1,1
49,-3.8443123408218156,0.3109560548284182,0.19396104008094295,0.17098040983521123,142,142
5,0.6479627109984547,0.8575662357387202,0.11624581021936786,0.08701657534144808,450,450
50,-6.302183470223939,-0.3701704596514772,0.4103198996176457,0.3739400229637986,209,209
51,-17.62607165596373,0.794836347327497,0.7051724141754291,0.6913290351296005,3,3
52,-105.04061016859248,1.0,0.7684777728551582,0.765975809726447,2,2
53,-23.912825647357312,0.04560338726017943,0.16755174793191424,0.15187301405234058,31,31
54,-3.8183133923413592,0.2066681522118106,0.3109268558909,0.2782853553806493,66,66
55,-806.3014351081447,1.0,0.8879078261412034,0.8856490332028635,2,2
56,-1.371759590093347,-0.001920056483083336,0.25923820586823343,0.19714062281189107,245,245
57,-2.6416569247967137,0.6050205438870915,0.3130082544755581,0.2730562109466354,180,180
58,-5.37862293336665,-0.10774872496144246,0.579231129211156,0.53022520434249,13,13
59,-5.524643655855227,0.27065998703684213,0.4539914049146465,0.4204995342299856,78,78
6,-32.671995599787685,-0.4244330501795311,0.6401711374500217,0.6163597484426386,419,419
60,-12.751096914347793,-0.31191526354158383,0.44368525179668633,0.4146086671529085,450,450
61,-0.3104269765399992,0.3734471866173877,0.19663037182834578,0.127983015035925,450,450
62,-51.05217340385804,-0.14696352037545735,0.211304205527903,0.17302954336248924,58,58
63,-103.07055389474637,-0.22416573251409483,0.47304265667916306,0.4658597088006114,10,10
64,-17.300773563268613,-1.0,0.7871410227894504,0.7624178175803427,2,2
65,-29.115308336170564,-0.6211415707365341,0.355469776242471,0.32461756579400547,7,7
66,-30.063865192781442,-1.0,0.8120326282312461,0.7968688611487175,2,2
67,0.0,,0.7414304488579725,0.7414304488579725,1,1
68,-11.81621834708282,0.31976989574768394,0.16453392757073007,0.15442368146097163,142,142
69,0.0,,0.9950605978344991,0.9950605978344991,1,1
7,-4.835104651865098,0.07227273866000157,0.40566839352397516,0.36935878698517693,53,53
70,-6.873428893462907,0.19763068820605081,0.2912429526180123,0.2684060390825592,75,75
71,-9.698845748880418,-0.13126014491784543,0.6262853455254823,0.580644282834769,5,5
72,-37.32660493192488,1.0,0.8453889734357671,0.83737592766001,2,2
73,-27.867918575650652,0.08415994084183345,0.28425588509236455,0.2512714804629474,40,40
74,-1.3380584752798228,0.21650060664929346,0.29257574373124906,0.22165109788909942,149,149
75,-3.4596327244596363,0.0860431093251825,0.2879726183399115,0.25351033929546446,177,177
76,-7.499180278777578,-0.008656486934304925,0.2934000694524892,0.25882008897111,69,69
77,0.0,,1.006445555423756,1.006445555423756,1,1
78,-2.2088842653125553,-0.12947416890672014,0.2101752935252634,0.17006449990603595,186,186
79,-6.362139983482249,-0.1408617212664989,0.4439497198716735,0.4080081976464916,44,44
8,-8.347856774713813,-0.05745002746791955,0.3100910566386787,0.2860229510299612,16,16
80,-5.2660551440488765,-0.312232450897977,0.46275070682306474,0.4229417423362608,275,275
