column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
0,-7.592674789957007,0.140536967483218,0.4128329130344467,0.38313615023474185,213,213
1,-7.147755550506069,-0.09643880813220856,0.39698581424689233,0.366376089663761,99,99
10,-2.6154405706857857,0.006595634737386689,0.3828722426222627,0.32515877581207525,283,283
11,-1.8584166620881626,,0.375602991885839,0.30285714285714277,70,70
12,-84.5481031794023,0.22957289893195623,0.728187538123534,0.7231179213857428,19,19
13,-37.76259819654594,-0.4448957511707021,0.7153560273512545,0.6897727272727273,8,8
14,0.3449603486820213,0.7016324210164036,0.12575351397582094,0.09015503875968993,450,450
15,-5.847959077048799,0.16365185581138508,0.33572894380179513,0.30955074462644705,173,173
16,-3.9696757583071838,0.01150560618940132,0.3170049608443324,0.28254145408163267,128,128
17,-9.121302946081153,-0.7662767204395059,0.6675447137581673,0.6323008849557522,4,4
18,-24.27955060056853,-0.06329586568359642,0.2784335271208252,0.25563492063492066,18,18
19,-2.3041462447331775,0.08041159305296895,0.32925987761365566,0.27524266777998124,67,67
2,-8.365748200437546,-0.09121416076430434,0.467469675853825,0.4383248964565118,369,369
20,-21.197388469049855,0.23567881109909555,0.6099129241351784,0.5967457988797014,23,23
21,-16.313624568217374,0.46436355926919065,0.4587849188069652,0.43018745959922433,17,17
22,-1.5953667601686505,0.00275457485286266,0.2738016792198527,0.21454034679841133,222,222
23,-56.328959311424114,-0.44004299535396285,0.5651295117968763,0.5128851540616247,7,7
24,-1.7033241374326669,0.26787315021165997,0.2016712771793153,0.15489976689976692,450,450
25,-1.4127793356685507,0.38470944507413807,0.20237405525277105,0.13539088729016793,450,450
26,0.0,,0.7638766519823789,0.7638766519823789,1,1
27,-40.6365127582017,-0.16319739466275654,0.4041288546538006,0.37816399286987523,6,6
28,0.5013077794083052,0.7150582154856693,0.09944982916224578,0.07407318695941449,450,450
29,-11.73467006971799,-0.0655071773331228,0.34947573689381434,0.3190832166314918,121,121
3,-54.9429728882847,0.21239714341326704,0.2990183852265962,0.2668334430546412,31,31
30,-24.439825523221888,0.05747704398218491,0.6215003353441025,0.6083263009845289,27,27
31,0.45708778285134566,0.7493363601985027,0.14644679153165302,0.10122925457102673,450,450
32,-13.156657763335806,0.034009075523027676,0.48016429247149717,0.4560496112550907,148,148
33,0.0,,0.9337719298245615,0.9337719298245615,1,1
34,-11.177181450738068,0.0967725849227142,0.3696236022867572,0.33403397027600856,60,60
35,-4.632329531581503,-0.0363009214211165,0.3514512597305756,0.315629005676616,172,172
36,-3.370166442419551,-0.019829612585862605,0.3731968779097856,0.32733918128654976,57,57
37,-0.5884288351725941,-0.33689778663119657,0.27495124626441125,0.1647584541062802,90,90
38,-12.894036457006973,-0.372325341411055,0.7031637504877509,0.67515,8,8
39,0.0,,0.7072765072765073,0.7072765072765073,1,1
4,-30.076844295302006,0.2515876989032583,0.4388215592703506,0.4307341541267671,17,17
40,-12.605244365572322,0.20230937861124731,0.5547801850159761,0.5346774193548387,8,8
41,-26.38737244897959,0.4104904478904627,0.8138985055273059,0.8013605442176871,3,3
42,-9.33454278902398,-0.09729568052807887,0.27378198042048646,0.2419587926834304,117,117
43,-4.999333457047745,0.07159219521498417,0.38180050021195383,0.3464607464607464,37,37
44,-0.9841453241919718,0.5692432641206296,0.2762993780836967,0.1893205705705706,450,450
45,-4.471611497189403,-0.15756873417886058,0.34334286373524947,0.3027584415584415,154,154
46,-4.206237069036986,0.09615746468610824,0.39961372985240823,0.3589143312827524,228,228
47,-2.1725693000472357,0.05765380018835193,0.3574887837943352,0.29574436090225564,50,50
48,0.0,,0.602510460251046,0.602510460251046,1,1
49,-5.817245735149764,-0.04619761328197271,0.23009273708199526,0.18943132479085042,142,142
5,0.6191195826093636,0.7925859122103692,0.12091419728876131,0.08753391931485238,450,450
50,-5.147315823953662,0.01911525461782003,0.3764774537107024,0.3357975604825124,209,209
51,-18.099907834101383,-0.9690754523753823,0.7140856664997177,0.6807843137254902,3,3
52,-99.93850000000002,-1.0,0.7497623444658192,0.7440298507462687,2,2
53,-31.939950242431962,0.06166202272462237,0.19266327479486056,0.16468063800872615,31,31
54,-3.959629765533622,-0.1624825473802743,0.315453494094781,0.27596981488032074,66,66
55,-930.7408,1.0,0.9538884237687341,0.95375,2,2
56,-1.38159010838817,-0.03204623074159742,0.25977489826357014,0.19777129899578877,245,245
57,-2.7945546989656944,0.27539940299229426,0.31951164037859714,0.2776203328834908,180,180
58,-5.390075429305089,0.2687681145170416,0.5797508861635197,0.5333333333333333,13,13
59,-6.319950430229015,-0.06929576456543533,0.48086514848761386,0.44013433024965165,78,78
6,-17.839515365581338,-0.04028068816045994,0.4788467290214862,0.4537945712962634,419,419
60,-5.026111822320835,0.24336589729678507,0.2937141804202386,0.24417324840764335,450,450
61,-0.3405210220669106,0.2997796858643691,0.19887537084905157,0.12990070921985816,450,450
62,-38.583427359398264,-0.39653320760317246,0.1842660831757981,0.14956207509034117,58,58
63,-97.6539282371295,0.059832314214301796,0.4605677914230617,0.434065934065934,10,10
64,-18.921597353497166,1.0,0.8212585463786664,0.8012,2,2
65,-50.81283553875242,0.0023627778192650273,0.4662595111224511,0.4210405288876115,7,7
66,-26.752530991735533,1.0,0.7675329552660338,0.7559602649006623,2,2
67,0.0,,0.7374384236453203,0.7374384236453203,1,1
68,-12.950767039128943,0.11846575143354385,0.1716621545996524,0.13930738687443808,142,142
69,0.0,,0.980891719745223,0.980891719745223,1,1
7,-4.810906080428744,0.06528912469354417,0.40482635256110633,0.3680293501048218,53,53
70,-9.563825975687784,0.10365133856784906,0.33735262168123703,0.31597856377277606,75,75
71,-14.501387725804523,-0.3873390681833153,0.7538571812042678,0.7061780104712042,5,5
72,-39.5157301775148,,0.8691970406736631,0.8584033613445379,2,2
73,-27.20877312809012,-0.05067689535135991,0.2809919175432214,0.2522804054054054,40,40
74,-1.3149118410266643,0.18056711413297497,0.2911239006235198,0.22008363967488445,149,149
75,-3.3803928446314426,0.0435191587637405,0.28540276665040515,0.24953986836740644,177,177
76,-8.330807082364412,-0.040034930261979684,0.30741941856542454,0.2758748674443267,69,69
77,0.0,,1.0,1.0,1,1
78,-2.741950189443835,-0.24694109055339886,0.2269622545092289,0.18708344441482277,186,186
79,-6.705452997267103,-0.016677538528206266,0.45418296241654754,0.4212412587412589,44,44
8,-10.381705842847554,-0.08535900873622472,0.3421660329767534,0.31022727272727274,16,16
80,-4.8262412778421275,-0.09016840690061208,0.44621505335482053,0.4046441558441559,275,275
81,-4.8868070270584365,0.08146617271187978,0.36461536440415615,0.33156415343915346,64,64
82,-0.7092083497113852,0.6660747146776334,0.2673892830118164,0.18554712643678165,450,450
83,-6.418510266897238,0.03756321303798595,0.33473956593130855,0.3105828854898719,82,82
84,0.0,,0.9630952380952382,0.9630952380952382,1,1
85,-3.0404675660046276,0.01919455552816849,0.3211159473315204,0.27857490949596214,399,399
86,-30.377711486856153,-0.46894473979093976,0.19559068039348473,0.17595463137996217,15,15
87,-19.00642739874062,-0.11438474953367946,0.6387807973930146,0.6200520833333334,8,8
88,-9.729685081602943,-0.4539005864478477,0.5407658880372725,0.489306358381503,8,8
89,-11.2135793193694,-0.0035366778405589716,0.3595272471985682,0.3345917740945365,18,18
9,-2.7921093160464956,-0.2270802981620821,0.2956780770261515,0.24431473644956794,231,231
90,-0.9676312028409351,0.4857877230936837,0.20732319880748923,0.13153752694493437,450,450
91,0.7241902186377316,0.8564424910828121,0.12804694686861848,0.08109566250742721,450,450
92,-6.208120386621608,-0.03414859859851789,0.3326871074479555,0.3013661202185792,117,117
93,-17.910172909991473,0.13703532015595488,0.5361221042333506,0.52114599136422,38,38
94,0.0,,1.0,1.0,1,1
95,-18.34589275244668,0.11723648586311877,0.6416304750156009,0.6250000000000001,8,8
96,-1.3293614632309292,0.07427500740017828,0.21768231880014174,0.1647064362728942,335,335
97,-2.4846858233869704,0.013017669199750944,0.3519814418212332,0.2968727470584235,169,169
98,-76.78489727180867,0.00983063418036649,80.09427778145785,79.46666666666667,6,6
