column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
0,-13.039944269972922,,0.5049954234687997,0.4866790123456791,90,90
1,-6.8165580419828355,,0.39268415463101075,0.3667061277411354,90,90
10,-1.4972793027574203,,0.2940263234080355,0.22772723751190596,90,90
11,-1.8580687673048502,,0.3755801340744876,0.3028287941682697,70,70
12,-84.43125231275671,,0.7276900494728861,0.7234185911624561,19,19
13,-45.6501922676754,,0.7847702302730286,0.776313442723196,8,8
14,-0.1660269503282743,,0.15943309024742114,0.12958254378409423,90,90
15,-8.908868331624749,,0.4001686713503468,0.37943931420249566,90,90
16,-3.7665394807513106,,0.3348326669181234,0.29764424288233815,90,90
17,-9.250591281667962,,0.6717947533515316,0.6381854456384324,4,4
18,-98.67686899862534,,0.5528840333792441,0.5501036605118238,18,18
19,-2.5405262106902233,,0.3408341390835396,0.28871611268450603,67,67
2,-3.6305576763514935,,0.3318453133744383,0.29383647798742146,90,90
20,-21.214296365868332,,0.6101451672615767,0.5962538699031258,23,23
21,-47.16286867218644,,0.7651935640158342,0.7572080840350777,17,17
22,-1.2087283849838566,,0.22794692091083163,0.1686269303951502,90,90
23,-99.76125025188156,,0.7492171879405963,0.745490133343371,7,7
24,-1.7906766600082809,,0.21993643833518428,0.17773352390636343,90,90
25,-1.1959625719583418,,0.19166681668734836,0.14144684252597928,90,90
26,0.0,,0.9479891999431576,0.9479891999431576,1,1
27,-89.95995342243823,,0.5973210234196087,0.5940285204991088,6,6
28,-0.029291231769517534,,0.1565930054790762,0.1187184478779067,90,90
29,-26.64267818863088,,0.4919047667850056,0.4829252482394885,90,90
3,-127.9829015740456,,0.4540369444066607,0.45227345327677815,31,31
30,-23.33574099684501,,0.6078642334664025,0.5952441022518017,27,27
31,-0.6116975531369615,,0.251598060622269,0.1957489017381188,90,90
32,-17.430762315744033,,0.5298527934121556,0.5152782005750043,90,90
33,0.0,,0.9066872548445641,0.9066872548445641,1,1
34,-31.59504874565078,,0.6047308493316915,0.5953821656050956,60,60
35,-4.72346029485559,,0.347300539150141,0.3155050063186546,90,90
36,-3.3567663380370965,,0.37262427769170475,0.32707667085203457,57,57
37,-0.6086958276291483,,0.2766997578552284,0.17020486670245127,90,90
38,-11.97473559374097,,0.6795032135948206,0.652792600896861,8,8
39,0.0,,0.8955526931055295,0.8955526931055295,1,1
4,-74.11081537841008,,0.6822141745857974,0.6776575730769013,17,17
40,-14.986460929506785,,0.6013730103727435,0.5822604754327596,8,8
41,-28.725832826083526,,0.8479340641814664,0.8335494733010261,3,3
42,-30.095232799732297,,0.4981937281677833,0.4901174926939823,90,90
43,-6.286985116857637,,0.4207837245522725,0.39084648296699287,37,37
44,-1.6621853561347852,,0.3307158105676915,0.265816464612761,90,90
