column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
0,-19.843038156817958,,0.6329253071606827,0.6175555555555556,180,180
1,-7.981906426957334,,0.4168120403775364,0.39292468059591346,99,99
10,-3.155803309646135,,0.3984239267016646,0.34719453672942047,180,180
11,-1.8584166620881626,,0.375602991885839,0.30285714285714277,70,70
12,-102.54368097769006,,0.801124198515416,0.797246280257606,19,19
13,-48.44398593917164,,0.8079277741377261,0.7997159090909091,8,8
14,-0.4985714816746405,,0.19370897159176625,0.14232558139534884,180,180
15,-12.775080588366126,,0.4761625991408284,0.45855351857304466,173,173
16,-4.750905141202026,,0.341012370293285,0.30994897959183665,128,128
17,-9.285269594219006,,0.6729301531316702,0.6393805309734513,4,4
18,-95.86960022346737,,0.5450428013732483,0.5422222222222222,18,18
19,-2.725267949944494,,0.34961329518717305,0.2990293288800751,67,67
2,-9.778530636070343,,0.4977613743786731,0.4741090146750524,180,180
20,-24.149719792816516,,0.6492074131441936,0.6361696452387303,23,23
21,-55.961642234786666,,0.8321591373358027,0.8248222365869424,17,17
22,-2.0532668407230847,,0.254183110174422,0.20844285145360406,180,180
23,-122.0170579029734,,0.8278346994981662,0.8244631185807656,7,7
24,-3.768406337928022,,0.26899908294684,0.23913493913493913,180,180
25,-1.2008491448467966,,0.19662943381093484,0.1452438049560352,180,180
26,0.0,,1.0,1.0,1,1
27,-75.84933171324423,,0.5490384166975144,0.5454545454545455,6,6
28,-0.00010959231585250251,,0.14194768418491438,0.10636504768241291,180,180
29,-27.83927831546202,,0.52591477807733,0.5167163060415394,121,121
3,-117.73813862455292,,0.4356324667073271,0.43379416282642086,31,31
30,-30.142713457850423,,0.6876422109720657,0.6765119549929677,27,27
31,-0.8841261657810751,,0.2734073640729794,0.2068213783403657,180,180
32,-22.67431849814014,,0.6209379977896299,0.6076823398741208,148,148
33,0.0,,0.9407894736842106,0.9407894736842106,1,1
34,-44.178871326749544,,0.7119573781592653,0.7040339702760084,60,60
35,-6.480682107805355,,0.40503418197788366,0.3769913935176708,172,172
36,-3.5615763261284457,,0.381282160561579,0.33690708252111756,57,57
37,-0.6145004572613837,,0.2771985138483282,0.17101449275362315,90,90
38,-12.642613144403681,,0.696772559735241,0.67075,8,8
39,0.0,,0.9875259875259876,0.9875259875259876,1,1
4,-99.0444295302013,,0.7873466000368757,0.7834017327861378,17,17
40,-17.54069210292813,,0.6476356374626303,0.6299283154121864,8,8
41,-30.859056122448965,,0.8778322248039676,0.8639455782312925,3,3
42,-44.37543235393049,,0.573679875026029,0.5673231760188284,117,117
43,-6.586324886668761,,0.4293393663235979,0.4000429000429,37,37
44,-3.4506711494851396,,0.4068607550211021,0.35824887387387383,180,180
45,-7.865774196353513,,0.43704759169065033,0.4116623376623376,154,154
46,-5.988932540227815,,0.45669687718494334,0.4227633477633478,180,180
47,-2.29001443366875,,0.36404558066829423,0.30372180451127817,50,50
48,0.0,,1.0,1.0,1,1
49,-27.948395961914233,,0.47414446817802613,0.4658830174026617,142,142
5,-0.026413847831470383,,0.19886843705112908,0.1684809556006311,180,180
50,-9.889940738574774,,0.5086175212627703,0.48470266040688575,180,180
51,-22.35541474654378,,0.7896387856258745,0.7725490196078431,3,3
52,-113.95562500000004,,0.8001295597083026,0.7966417910447763,2,2
53,-447.38831332740125,,0.7108281379321171,0.710035047564552,31,31
54,-6.041061950936181,,0.37586319060032936,0.34815076838423137,66,66
55,-961.0,,0.9692539012044264,0.96875,2,2
56,-1.4156816299828905,,0.24858529576908484,0.19029982363315692,180,180
57,-3.988502527548503,,0.36634593285526157,0.3275753486279802,180,180
58,-5.559059541004654,,0.5873665571062757,0.5407407407407406,13,13
59,-9.512694490268238,,0.5762703217247378,0.548177248341993,78,78
6,-15.98339256698712,,0.46314771912020086,0.4493055555555556,180,180
60,-9.564554839364913,,0.3711518280125728,0.35314932767162077,180,180
61,-0.46211656850465,,0.21445937603491225,0.14976359338061465,180,180
62,-431.7506166360539,,0.6092668578081724,0.608562503828015,58,58
63,-337.32449297971937,,0.8529097751802015,0.8516483516483516,10,10
64,-19.667296786389414,,0.8364878959076455,0.8160000000000001,2,2
65,-185.8298676748584,,0.8853850344745641,0.8830123598735271,7,7
66,-34.38223140495867,,0.866639227039894,0.8543046357615893,2,2
67,0.0,,0.8177339901477834,0.8177339901477834,1,1
68,-60.746629328683944,,0.3611454464949375,0.35820909499550485,142,142
69,0.0,,1.0,1.0,1,1
7,-5.647930964373066,,0.4330021950119443,0.3991090146750523,53,53
70,-21.939961612284065,,0.49712981894598507,0.48617363344051445,75,75
71,-17.82462016987678,,0.8307433963678617,0.8083769633507855,5,5
72,-39.98130177514793,,0.874176804656258,0.8634453781512605,2,2
73,-68.11993475712319,,0.43984877705457603,0.43665540540540543,40,40
74,-1.381310223091878,,0.2952695223626938,0.22488280327813565,149,149
75,-3.3924586572892954,,0.2857955679735425,0.25116489020909777,177,177
76,-24.041499867383,,0.5036187148160888,0.49346058677978083,69,69
77,0.0,,1.0,1.0,1,1
78,-4.408135029652164,,0.27449288650101306,0.24781910009182737,180,180
79,-8.369150375921965,,0.5008202210871082,0.47333916083916083,44,44
8,-47.96819410721359,,0.7097252559231101,0.7024410774410775,16,16
80,-5.509466997591781,,0.4901721202628656,0.450952380952381,180,180
81,-7.810048616087856,,0.4460506925121688,0.41997354497354494,64,64
82,-3.689266446152468,,0.44643981866812654,0.3959865900383142,180,180
83,-7.783213257560156,,0.36422974635887495,0.34286895411326995,82,82
84,0.0,,1.0,1.0,1,1
85,-3.238750762280131,,0.32515156524405414,0.28422067901234566,180,180
86,-34.27147435062396,,0.207371625311097,0.20441083805923124,15,15
87,-22.434402211184768,,0.6913437177466129,0.6764322916666666,8,8
88,-15.447168799325716,,0.6695166398156281,0.6488439306358381,8,8
89,-25.454489616065946,,0.5291271235626167,0.5190300798035605,18,18
9,-6.378725406036331,,0.4217763119626663,0.39215563878485227,180,180
90,-0.9030380255765909,,0.19169393761858708,0.15252792475014695,180,180
91,-0.0895633939410958,,0.2410219409006762,0.18294711824123588,180,180
92,-12.093448471282262,,0.44838593077884126,0.4309233571528654,117,117
93,-24.71480693001885,,0.6251836295501885,0.6129069903139223,38,38
94,0.0,,1.0,1.0,1,1
95,-20.543919782317843,,0.6771002230281226,0.6611990950226245,8,8
96,-1.6502902789023075,,0.21163237741629282,0.16699964949176302,180,180
97,-3.0893659468953034,,0.38129924012320715,0.33141535741005235,169,169
98,-85.89592455372178,,84.6551829482401,84.16666666666667,6,6
