column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
0,-14.093122439185448,0.26627115182634276,0.5471415218114306,0.5294029755856174,213,213
1,-8.001217066302686,-0.16841462041982333,0.41725986209064825,0.39228168567458177,99,99
10,-2.8054198535651955,0.4151583364752808,0.3928027850493171,0.3383003192619488,283,283
11,-1.8576294648288716,0.03572436014615436,0.37555126849481385,0.3027937983310803,70,70
12,-88.55624432504521,0.2782558599723298,0.7450509731545425,0.7411676815677398,19,19
13,-44.57775443857458,-0.06479334963514996,0.7756972702203264,0.7669538215324642,8,8
14,-0.5897002249705219,0.6453953879259292,0.19919467851509381,0.16504018657711078,360,360
15,-8.82339272205682,0.1421408888214077,0.40210452406237357,0.38152413000410396,173,173
16,-4.379465755423733,0.15468166553468118,0.329815912415144,0.29777587179318543,128,128
17,-9.24296673221861,-0.39520260711024063,0.6715448611740553,0.6376973574439397,4,4
18,-56.846804983550925,0.3203836644876111,0.4211885368183552,0.4172526553872738,18,18
19,-2.478323439013455,0.20178804658410301,0.3378268497447794,0.28557053609627475,67,67
2,-9.875703851934809,-0.1967372131396965,0.5067043350954599,0.48158091463483677,360,360
20,-21.63087537089681,0.10794726054250524,0.6158395429213617,0.6021859376142082,23,23
21,-45.14352691795431,-0.011484441248369837,0.7489805303557912,0.7407516205248115,17,17
22,-1.6057048255208786,-0.03227410789002119,0.2743464512634092,0.21533156546413557,222,222
23,-93.88457265043239,-0.8917445878720712,0.7270407631242135,0.717962507374908,7,7
24,-2.7991821203332172,0.2646920235591108,0.2470214277893407,0.21457353737223678,360,360
25,-2.6403175431969954,0.5810565687253364,0.2484978751208859,0.22449294062828112,360,360
26,0.0,,0.9195844855833896,0.9195844855833896,1,1
27,-89.12167004761201,0.5770414983262689,0.5945622088247347,0.592196730577316,6,6
28,-0.6787897828245466,0.3165779339850704,0.18751103256409749,0.1615270997131042,360,360
29,-18.381327536107396,0.039191656255424624,0.4311366480864069,0.417803953476308,121,121
3,-147.93204639329477,0.09813998203412086,0.4878869474616443,0.4793277865395415,31,31
30,-24.013114354163527,0.24470418223050322,0.6162659708621767,0.604156250074067,27,27
31,-0.5208315460936366,0.6415811779615531,0.24535725516884171,0.19087001404255702,360,360
32,-16.572598497022387,0.031405447509499675,0.5349676086940003,0.5193164531051818,148,148
33,0.0,,0.9047720789329008,0.9047720789329008,1,1
34,-18.935892628736724,-0.11760486856082113,0.4729379336425334,0.45594573348910694,60,60
35,-5.539897853358174,0.12225313889055978,0.37870981320001007,0.34880437927589186,172,172
36,-3.383602427279331,0.22273310926196746,0.37377013061257247,0.32855744597998726,57,57
37,-0.6070476701370353,-0.7103412197405711,0.2765579778994002,0.16936401804838241,90,90
38,-12.57394624980317,-0.5287638630132415,0.6950168270243389,0.6674692513943196,8,8
39,0.0,,0.8609907731229595,0.8609907731229595,1,1
4,-54.43656498817018,-0.1007550193296966,0.586094514285426,0.5784875463562046,17,17
40,-14.748448728404789,-0.3722246633221954,0.5968794931444769,0.5759714840905863,8,8
41,-28.996440179012875,-0.6874020450720695,0.8517848788071339,0.8373573659534096,3,3
42,-21.10849110026766,-0.23720258660250815,0.4004412222984277,0.387007011797033,117,117
43,-5.979725889257588,0.004705564018402976,0.41181691013897154,0.3811732611236267,37,37
44,-2.026200200295176,0.7793224861971786,0.3420564448719558,0.31189559575375386,360,360
45,-5.573647071900535,-0.18186194470300154,0.3763341159496329,0.34511587802250054,154,154
46,-5.111456898189571,0.1853521332441493,0.4329630235493762,0.3963138919306824,228,228
47,-2.249780794335386,0.05098511479681737,0.3618127737867684,0.30121012260668995,50,50
48,0.0,,0.828381078459735,0.828381078459735,1,1
49,-17.09845365306061,0.04395393332077226,0.3749032202541317,0.36294866198553444,142,142
5,0.10440321076868142,0.7075827452811236,0.18549049075295734,0.14538232738759546,360,360
50,-7.581516299556849,0.029356741003640916,0.4448137722966676,0.41803403475755696,209,209
51,-20.182236723121502,-0.9657977193116778,0.7520047582953638,0.7329465622659054,3,3
52,-122.14170600488879,-1.0,0.8281286020525949,0.8227857124943291,2,2
53,-143.86067998391084,-0.12897798647550687,0.4040291764528662,0.3965824700274312,31,31
54,-5.168949851689163,0.032807052296914684,0.3518166048579622,0.32207500193250754,66,66
55,-945.3793629542733,1.0,0.9613524830336855,0.9610942071982111,2,2
56,-1.3751745733007024,0.003735640477833828,0.25942477108325146,0.19739852978394412,245,245
57,-3.48726596905027,-0.21818745322008506,0.34745389296118845,0.3056200556316062,180,180
58,-5.326028909271096,-0.07333384366763582,0.5768382026064374,0.5292347100034364,13,13
59,-7.451685952945136,0.24972776697026458,0.5167029101307665,0.48586006968620243,78,78
6,-16.50423331740604,0.3751215292257256,0.45805680742386107,0.4466356080514308,360,360
60,-7.649666355529222,-0.056051847430574495,0.34561551864037404,0.3219329848638489,360,360
61,-0.5340783723580484,0.41024478260053343,0.21535528948769012,0.1505311742254828,360,360
62,-157.5509091998659,-0.17191162908676544,0.36878485311949083,0.3573886320862907,58,58
63,-255.9611186122608,0.22306853820204237,0.7433101773094877,0.7400711927408002,10,10
64,-17.64070998022409,1.0,0.7944179486205399,0.773601004246355,2,2
65,-122.03435388604456,-0.5762862958338992,0.718492468798047,0.7138161039525343,7,7
66,-31.604271294214335,-1.0,0.8319227151551049,0.8190227910151053,2,2
67,0.0,,0.7667615098868727,0.7667615098868727,1,1
68,-70.42175091965298,0.09677637839751681,0.3884103216221218,0.38404222025742385,142,142
69,0.0,,0.9698643378904707,0.9698643378904707,1,1
7,-4.882711200306969,-0.00043371300841593165,0.40731988412691084,0.37106947637858645,53,53
70,-16.430681763559758,0.20084114608071002,0.43334187430879395,0.4211965891832084,75,75
71,-16.242738194425804,-0.35679628255264223,0.7950728138544384,0.770377320757861,5,5
72,-37.84989778298064,-1.0,0.8511406725165939,0.8398066628496956,2,2
73,-60.766683264748664,-0.0993553702377543,0.41579462385733906,0.40108996190873913,40,40
74,-1.3635679690605254,0.3129007157358087,0.2941674943002825,0.22349343899907237,149,149
75,-3.934130304667204,0.06851349489345025,0.3029053580728867,0.2705977888581443,177,177
76,-13.321703253537883,-0.07830347426292664,0.3808632132301764,0.3650633566014983,69,69
77,0.0,,0.9894910431163871,0.9894910431163871,1,1
78,-3.2580858977597584,-0.36950245478560095,0.24210950781851825,0.21028202905009022,186,186
79,-7.634117474090699,-0.10524653828961142,0.4807737279923411,0.4518881251820977,44,44
8,-20.53103440046506,-0.40727409686726607,0.4706148895628381,0.45667458016021834,16,16
80,-5.353105286671082,0.17880587358799405,0.4659539641349967,0.42787303402147875,275,275
81,-5.622270342893196,0.053058541102099954,0.3867216789349689,0.3564047582601969,64,64
82,-2.2325859977471727,0.5866453971731861,0.36656407645582706,0.32490562162386843,360,360
83,-6.458881745081316,0.10591634591921209,0.3356491552408417,0.31248972875654313,82,82
84,0.0,,0.9843205601538452,0.9843205601538452,1,1
85,-2.278280259372029,0.3666238882108083,0.2934765720661422,0.2475256913997746,360,360
86,-61.41161215223504,-0.08939480773452578,0.2758482449968745,0.2559805444632421,15,15
87,-19.155575653451226,-0.6411237319510543,0.6411574369712447,0.6237463390597133,8,8
88,-11.838821686725748,0.026975523823996927,0.5915321912416276,0.5674465291441331,8,8
89,-17.020468769206175,0.025724945231739252,0.4367102375496557,0.4215654439608498,18,18
9,-4.327623206651374,-0.3309032468620734,0.35046564497335714,0.31274894073542275,231,231
90,-2.3834140344357007,0.5361655632034231,0.2698146778937812,0.2408184455059993,360,360
91,0.4940474174350782,0.7924376450208829,0.1723642462595728,0.1267341838055313,360,360
92,-9.877843964870253,0.09513681818162976,0.40869221753991714,0.389198095725196,117,117
93,-19.826668704219678,0.06515287142519333,0.5626338636832997,0.5490176403622404,38,38
94,0.0,,0.9792349845816212,0.9792349845816212,1,1
95,-17.747742844767377,-0.09261204826467828,0.6316334032023583,0.6141817911872651,8,8
96,-1.3542988894735548,0.0237495614715292,0.21884443668433726,0.1659991823965043,335,335
97,-2.830211864836255,0.21407166130574795,0.36901952909453256,0.31746584319565513,169,169
98,-85.54300476621916,-0.682139695871755,84.48309843310946,83.99200686094306,6,6
