column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,-0.000327302488146497,-0.01115382540477193,0.011448326580162175,0.000256081650021942,7473,7473
V10,-0.14083762675456946,-0.15645825217981366,0.009409638761298326,0.004054969048247685,7202,7202
V11,-0.32087064939172527,-0.18451211006155616,0.014042945933488713,0.0077983320921671114,7413,7413
V12,-0.5600318791157566,-0.06350775342887564,0.014115710451111802,0.005356141391389188,7410,7410
V2,-0.31309357340692245,-0.24915924788144167,0.013381906528651951,0.007874101036568553,7304,7304
V3,-0.12913408145210514,-0.11717669249144985,0.010455639680675352,0.003780422097282563,7369,7369
V4,-4.951266971042756e-05,0.02968301284878322,0.011537281975980283,0.0001660595028975558,7473,7473
V5,-0.12196235013277557,-0.003411452687368935,0.009095772350597893,0.0037110254359690774,7480,7480
V6,-0.0002463360659497038,-0.015141448769917803,0.011532253172348768,0.00018762165031892733,7443,7443
V7,-0.00012888625447882163,0.012129084450267485,0.011634336400402161,0.0001779312384237751,7336,7336
V8,-0.47863444527527754,-0.12394186470699757,0.017143804857032235,0.008161971321724124,7304,7304
V9,-0.004403543859329284,0.266605093832414,0.00014418957592341228,5.658122853628291e-05,7443,7443
