column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,-0.11337228027020085,,0.000213844301925188,0.00011312092556199455,2996,2996
V10,-0.02014088215700016,,0.012684697099317193,0.0034357101318391223,2996,2996
V11,-0.00777687376053926,,0.01574817326639061,0.0057172294101025195,2996,2996
V12,-0.044990624011745695,,0.013698992113472114,0.00367623704531543,2996,2996
V2,-0.03662751019911692,,0.008362289410398543,0.0052464352974542754,2996,2996
V3,-0.10652386752243159,,0.0071236889206121295,0.0029183172764839023,2996,2996
V4,0.0,,8.687554759184116e-05,8.197649295778747e-05,2996,2996
V5,-0.03864176821540499,,0.01029719205584259,0.0033908798196596868,2996,2996
V6,-0.00037953656610856257,,0.018175766858706664,0.0003718177972686295,2996,2996
V7,0.0,,7.578347058206899e-05,6.939009391848434e-05,2996,2996
V8,-0.13864330762122634,,0.00852998725666325,0.005855416424682928,2996,2996
V9,0.0,,8.282370678118386e-05,6.434927728284639e-05,2996,2996
