column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,-0.09284884018760065,,0.00011043530294679959,7.291919157714351e-05,1498,1498
V10,-0.011623116997744987,,0.017296565200212645,0.003781871541934945,1498,1498
V11,-0.006793544429460896,,0.02069756626880386,0.005939555908100493,1498,1498
V12,-0.029243548873373992,,0.018783109661773986,0.004208308454541467,1498,1498
V2,-0.09894049203265975,,0.007217894867816873,0.0051147434325849745,1498,1498
V3,-0.04917839181910866,,0.009069512112631807,0.0029608539658800277,1498,1498
V4,0.0,,3.881126415125562e-05,2.6185308435970026e-05,1498,1498
V5,-0.21554863800924773,,0.005321776323302121,0.0033482295582546134,1498,1498
V6,0.0,,6.97887518745254e-05,4.17020414791701e-05,1498,1498
V7,0.0,,4.2609595358538055e-05,3.084487848983177e-05,1498,1498
V8,-0.22419490469611203,,0.008722299578393213,0.006086644613653861,1498,1498
V9,0.0,,8.640101454197395e-05,5.727824855571839e-05,1498,1498
