column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,-2614.1680081136988,0.6767660086875534,0.011827144630781203,0.00026258361244873473,4494,4494
V10,-4.078380355582958,-0.4521080124205673,0.02380733256183335,0.002442095465591293,4494,4494
V11,-746.9557076634683,0.81474604235837,0.37322520748257104,0.008743762842501595,4494,4494
V12,-170.1019083802996,0.5165393850316603,0.14676882121947224,0.00469573532777457,4494,4494
V2,-5107.790522144617,-0.2639060638032885,0.9853630077944254,0.018860439989602844,4494,4494
V3,-1145.324068878883,-0.7620401194908053,0.20451847410066454,0.004865113188057898,4494,4494
V4,0.0,0.5453699796753004,4.178499317865411e-05,3.332696773253418e-05,4494,4494
V5,-2359.212337963802,0.8367794477462608,0.42161052122321213,0.008399928404250398,4494,4494
V6,-0.02236190996688836,-0.9687455707463973,0.015003505218063169,0.00025463533654006103,4494,4494
V7,0.0,-0.6437553726549221,0.00018517695424587628,3.749711490465113e-05,4494,4494
V8,-612.1922402280832,0.168860009581117,0.41589551566568717,0.010287382469501302,4494,4494
V9,0.0,-0.1468582294455504,0.00023422816402946035,6.467880525098337e-05,4494,4494
