column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,-2.602293874946769,0.013215671180085545,0.024259698611211734,0.005371264455183173,5992,5992
V10,-11113.65151443353,0.41299179166716604,0.9930170772864045,0.2818377913214365,5992,5992
V11,-380.33022699533393,0.02660116751623042,0.25319722272187545,0.25190249287082633,5992,5992
V12,-1526.4771602195042,0.32319810002341476,0.3894117024566475,0.38753795965363713,5992,5992
V2,-305.9234142905837,-0.4118187058468503,0.21847985585573063,0.21646455404366496,5992,5992
V3,-15593.097804687151,-0.8509319629819992,1.1327648707442293,0.3427791528207194,5992,5992
V4,-0.014924996563666859,0.5799842245432001,0.012979651478537451,0.0025163251026118585,5992,5992
V5,-12011.949405276848,0.5848213781559797,1.0210068585974674,0.28514223634869046,5992,5992
V6,0.8166735973006722,0.9732602981317949,0.00550241289806666,0.0028812447629163007,5992,5992
V7,-0.13846933844076315,0.16377350199023533,0.013734435243719636,0.002334035727575382,5992,5992
V8,-1.4759773461815047,0.04679907668564683,0.023779839102639807,0.018278717675598955,5992,5992
V9,0.0,-0.15942949749787794,0.009798475456107555,0.00975695560644251,5992,5992
