column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,-26.32402132560122,0.26011530857289034,0.0005522048120019151,7.118964067489133e-05,1498,1498
V10,-0.03385880975043842,0.03244059487079698,0.01748562306753471,0.00248946774813268,1498,1498
V11,0.09114596491339655,0.3055864683948032,0.019665099155012775,0.0037213033336331424,1498,1498
V12,0.02211616771646918,0.1606723671141152,0.018308469891811847,0.002760224181455201,1498,1498
V2,0.510232596191242,0.715364253006326,0.004818572557021105,0.0035373906272731003,1498,1498
V3,0.08807398358683838,0.3055118962625,0.00845549543337388,0.002103568515097886,1498,1498
V4,0.0,-0.11532151595843969,0.0010875445733525492,0.0001205325986251417,1498,1498
V5,0.5025887153097424,0.767304589276453,0.003404303437970929,0.002134878774793835,1498,1498
V6,0.0,0.3780425960317903,0.0009234146027858595,9.373844441534661e-05,1498,1498
V7,0.0,0.3126319418112128,0.0010504347916516215,0.00011074521270429814,1498,1498
V8,0.5011629963105373,0.7277258930877756,0.0055678181985862425,0.003637814584744186,1498,1498
V9,0.0,0.4079959635398507,0.0010549578121873478,0.00011425832830140383,1498,1498
