column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,-72.39134972847579,-0.5967440784317298,0.0023330600730800525,0.0007268011807489692,1532,1532
V10,-5.3053425220200605,0.4078427188518484,0.03395562162217469,0.01918438088200517,1513,1513
V11,-0.5369317812766037,0.21793326258574205,0.008683620051191821,0.004781441978454904,1447,1447
V12,-30.257305825437328,0.1534330707205192,0.023023730052858765,0.009316347620625741,1531,1531
V2,-1.0925598007342,0.12011260478398246,0.008807073192225326,0.0054241310920341065,1505,1505
V3,-255.95439363548655,0.09775755653621611,0.05880457557679864,0.03963828471963002,1542,1542
V4,0.0,-0.03388854491212054,0.002966167416878871,0.001877553168539356,1497,1497
V5,-167.1057229192024,0.02389469757148435,0.05165556206476979,0.03197815165908161,1504,1504
V6,0.0,0.21560322751331207,0.004029252124933119,0.002403331425898038,1535,1535
V7,0.0,0.17164077746884165,0.002860287081851549,0.0018447497704866262,1472,1472
V8,-1.0710141742798398,-0.18792283084596997,0.01009279070031814,0.005729993216377955,1547,1547
V9,0.0,0.0700170232551799,0.0014190945264048497,0.0007158024684768669,1483,1483
