column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,-0.00010108504097927629,0.01042075860304734,0.012816450349164945,0.00025083465704515273,5960,5960
V10,0.06483702554339454,0.25647733857870847,0.00901017544067503,0.00260406501308165,5967,5967
V11,0.05771838526424533,0.2594151832051049,0.011462463125211786,0.0046169117017769365,5948,5948
V12,0.2882518705463539,0.5480383909821401,0.0035584709283329667,0.002563234795143832,5997,5997
V2,0.055449823902905204,0.30543987027027625,0.005967158828372183,0.004407812395038451,5951,5951
V3,0.04508145530156771,0.21447767697940667,0.009692492198779172,0.0023895103723710447,5935,5935
V4,0.0,0.2713382754201862,4.489782899275613e-05,2.286777466711873e-05,6079,6079
V5,0.10391835204174049,0.3341327124714696,0.006997230094260586,0.0022506407494742404,5987,5987
V6,-0.00020884645848928685,-0.008001572410618035,0.012879347536521334,0.00019673825471046798,5967,5967
V7,-0.0002319059477782215,-0.019869711311772467,0.01290066299375859,0.00019334566651983215,5967,5967
V8,0.27953465113234244,0.530971017424988,0.006481471322222723,0.004117477752727278,5987,5987
V9,0.0,0.4688906689798635,6.065457338074249e-05,4.4966646755314766e-05,6017,6017
