column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,-0.13984083032573102,,0.00022612497329152948,0.0001301668583049556,3035,3035
V10,-0.001007403069971602,,0.010112513677796352,0.003042922973336374,3000,3000
V11,-0.00015055397606777987,,0.015258753909882043,0.004869718258214201,2930,2930
V12,-0.0012341874909520545,,0.004202053649913877,0.0029436717924168003,3028,3028
V2,-0.00028902460480750847,,0.0060533697014027365,0.004483604667150313,3016,3016
V3,-0.0002295226068922407,,0.008979930693789379,0.0025360859886872076,2965,2965
V4,0.0,,0.00010329567420159305,8.730514056718298e-05,2999,2999
V5,-8.367790550911636e-06,,0.003951048987580851,0.002565860678893267,3003,3003
V6,0.0,,9.707168148948734e-05,8.989863871481441e-05,2987,2987
V7,0.0,,0.00011694002133439329,8.761849245844813e-05,2983,2983
V8,-0.0025412980132584195,,0.006812262806017314,0.004882007060429197,3025,3025
V9,0.0,,0.00010637562851425747,9.372358524424223e-05,2961,2961
