column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,-0.00018872790976809384,,0.011491133444800015,0.00021554986357299856,7416,7416
V10,-0.0023373811385454246,,0.010292802041182542,0.0029768982718210925,7474,7474
V11,-0.002405847549003637,,0.012716947150589828,0.004864301383421599,7430,7430
V12,-0.006626895449720394,,0.005136401281164706,0.0029554096323132027,7471,7471
V2,-0.006199616075423853,,0.010781658706253382,0.004555920474836079,7440,7440
V3,-0.0009229820043843429,,0.009008286770721094,0.0025475072353212274,7485,7485
V4,0.0,,4.408901973191197e-05,2.322424363309074e-05,7568,7568
V5,-0.010156960236469725,,0.006885908904805264,0.0025583272665381076,7436,7436
V6,-0.00014896408604014866,,0.011517525533134298,0.0001661662149610562,7462,7462
V7,-0.00013946871226400148,,0.011546698090819384,0.00016234982545596064,7448,7448
V8,-0.010619841460940194,,0.00763028540003706,0.004814006493449508,7494,7494
V9,0.0,,6.88336075851611e-05,4.753736294015353e-05,7583,7583
