column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,-0.2761870018090258,0.014625719384544099,0.01447781319358167,0.004676218322208195,5960,5960
V10,-1148.3904666367089,-0.009034246462886739,0.31588091757435277,0.20998412738679248,5967,5967
V11,-200.17725452079216,0.019015402082604705,0.16748542950583145,0.11197838055450474,5948,5948
V12,-4057.144069584214,-0.0008657643215246296,0.2686977225365136,0.17776677690582773,5997,5997
V2,-598.378635485307,0.008034968155027376,0.1503161730346606,0.09988182958734883,5951,5951
V3,-1227.5481425518722,0.02573451547751337,0.34765492505508233,0.22964798701451686,5935,5935
V4,0.0,0.01163704553732875,0.0016464908751577243,0.0010905467703990355,6079,6079
V5,-1898.3931507784876,-0.02317301831780678,0.3221512328215454,0.21210647159690646,5987,5987
V6,-0.0752840835411639,-0.015721558188276783,0.013353961670631668,0.0023524451474235737,5967,5967
V7,-0.03701304997223276,-0.01581842439555606,0.013135717177486843,0.0016450138472026725,5967,5967
V8,-2.1757186091951755,0.0024017693303660173,0.013607804515716764,0.009941125535940636,5987,5987
V9,0.0,0.004215033614358059,0.006785462887260429,0.004378417637967203,6017,6017
