column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,-8.47446271547818,0.1402027558208494,0.0008382639308085216,0.0001009960546097189,1532,1532
V10,0.09060188777909339,0.31654991075692995,0.01289538663500332,0.0021587598046199467,1513,1513
V11,0.6078792314819683,0.7853262013195688,0.004386149595242724,0.0030058514779218197,1447,1447
V12,0.6139783686583548,0.7956357265345166,0.002558619671283668,0.0017878830741738187,1531,1531
V2,0.4940027684380467,0.71723007091887,0.004330786127457986,0.003269267315520002,1505,1505
V3,0.628662528536182,0.794154012011792,0.0022354629877034595,0.0015970105144145392,1542,1542
V4,0.0,-0.10477111383542065,0.000786294244918005,7.855257787545723e-05,1497,1497
V5,0.6502334967720576,0.8071188723838809,0.002356215180754813,0.0016341159497801658,1504,1504
V6,0.0,0.4824323857893306,0.0009752309961754648,0.000103957070706468,1535,1535
V7,0.0,0.28058249021576526,0.0008073083977164057,8.115969304964063e-05,1472,1472
V8,0.6677226986625415,0.8186871266112256,0.004042686542759865,0.0028896527674488882,1547,1547
V9,0.0,0.40974424116318925,0.0009164780816686173,0.00010265001121087534,1483,1483
