column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.0,,0.9888139930850482,0.9888139930850482,1,1
V10,-317.46709821986275,1.0,0.843029963307522,0.8430212935539907,2,2
V11,-10.034898489119822,0.8219399498849891,0.6343095599620139,0.6239506228836442,3,3
V12,-77.74927479320701,0.843460308074204,0.03849291910449973,0.038419813429087374,4494,4494
V2,0.0,,0.9391076047892215,0.9391076047892215,1,1
V3,-26.735466429370316,1.0,0.5040334389545139,0.49105759850625474,2,2
V4,0.0,,0.9999288354853982,0.9999288354853982,1,1
V5,-374.9600784867764,-0.4724870283001892,0.15478331631686237,0.15430024482929017,4494,4494
V6,0.0,,0.998334570187845,0.998334570187845,1,1
V7,0.0,,0.9987525331784488,0.9987525331784488,1,1
V8,0.0,,0.9911190143477209,0.9911190143477209,1,1
V9,0.0,,0.9894129049444513,0.9894129049444513,1,1
