column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.0,,0.985143521794257,0.985143521794257,1,1
V10,-123.31557905474757,-1.0,0.526712353018019,0.5187052151627746,2,2
V11,-8.315182102236536,0.8137166867423304,0.582790897987729,0.5570065497570252,3,3
V12,-1.770466554518399,0.38358927909967316,0.007219947195937659,0.0022467979961093626,4494,4494
V2,0.0,,0.8117542748575048,0.8117542748575048,1,1
V3,-29.94293257467214,1.0,0.5323807555593015,0.5244617336499724,2,2
V4,0.0,,0.9974239954475373,0.9974239954475373,1,1
V5,-1.2552349766102089,0.14021081606649555,0.011988067533523529,0.0030602843121235236,4494,4494
V6,0.0,,0.9952024230189023,0.9952024230189023,1,1
V7,0.0,,0.9964961439522727,0.9964961439522727,1,1
V8,0.0,,0.8986124912863563,0.8986124912863563,1,1
V9,0.0,,0.9891588658447829,0.9891588658447829,1,1
