column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.0,,0.9893874446271195,0.9893874446271195,1,1
V10,-93.0611909790016,,0.4581587255964182,0.455716788854519,2,2
V11,-7.383743314199872,,0.5528866100289286,0.5188662002507813,3,3
V12,-7.506902353959788e-06,,0.004312363788626631,0.002956671947626691,2996,2996
V2,0.0,,0.7630116813424364,0.7630116813424364,1,1
V3,-13.552399586811124,,0.36509754982857207,0.35233007141178185,2,2
V4,0.0,,0.9973926434907303,0.9973926434907303,1,1
V5,-0.00029081081255699637,,0.006135989416664062,0.002649777898090086,2996,2996
V6,0.0,,0.9948528647468822,0.9948528647468822,1,1
V7,0.0,,0.9964843660185345,0.9964843660185345,1,1
V8,0.0,,0.9819423193241789,0.9819423193241789,1,1
V9,0.0,,0.9892409897961891,0.9892409897961891,1,1
