column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.0,,0.9880233676845103,0.9880233676845103,1,1
V10,-343.60953219904707,1.0,0.8769490632506665,0.8764677036355996,2,2
V11,-11.379182173942722,0.6309596557172001,0.671835676946371,0.6552860315822576,3,3
V12,-10.31685514928971,0.8378259846896209,0.014530580710741264,0.014337925205540331,5992,5992
V2,0.0,,0.9272427454375598,0.9272427454375598,1,1
V3,-29.057503534468154,1.0,0.5247084596370535,0.5080777591156205,2,2
V4,0.0,,0.9999999990109601,0.9999999990109601,1,1
V5,-8.04682306416744,-0.42521988297410773,0.021479999768837053,0.017445068690626227,5992,5992
V6,0.0,,0.9999999997628514,0.9999999997628514,1,1
V7,0.0,,0.9999999986666475,0.9999999986666475,1,1
V8,0.0,,0.99446099340283,0.99446099340283,1,1
V9,0.0,,0.9878581619269196,0.9878581619269196,1,1
