column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.0,,0.9888897766090577,0.9888897766090577,1,1
V10,-91.61030303472253,1.0,0.45461145860596536,0.45311474100421667,2,2
V11,-7.766000195774371,-0.9108893801225191,0.5653505561043766,0.5254087818246528,3,3
V12,0.5690909112460075,0.7561859262441832,0.002822222564188652,0.0018014424832825538,7490,7490
V2,0.0,,0.7798022555070728,0.7798022555070728,1,1
V3,-13.424243623060335,1.0,0.3634863757686466,0.35235673448719024,2,2
V4,0.0,,0.9974650161020522,0.9974650161020522,1,1
V5,0.20161603542592732,0.4651921949643557,0.005912782311081836,0.001641014973146316,7490,7490
V6,0.0,,0.9945727341292983,0.9945727341292983,1,1
V7,0.0,,0.996378709909446,0.996378709909446,1,1
V8,0.0,,0.9421312125928814,0.9421312125928814,1,1
V9,0.0,,0.9889799813143664,0.9889799813143664,1,1
