,model,R2,Pearson_r,RMSE,MAE,n_imputed,missingness_prop,dataset,missingness
0,missforest,-41.92385834423199,0.8559159452842596,0.0030240766899743,0.0008152072211346,1509.0,0.1,eeg,mcar
1,knn,0.3322766250068957,0.7280452088620301,0.0027619225891166,0.0013950947475275,1509.0,0.1,eeg,mcar
2,mice,-600.8615230910926,0.4711749068162474,0.0519477709047108,0.0026343532441599,1509.0,0.1,eeg,mcar
3,median,-0.0073296888252931,,0.0038389761344948,0.0020848345744841,1509.0,0.1,eeg,mcar
4,sudoku,-0.3934484779291613,0.5202410566408747,0.0030940735326244,0.0014008213592776,1509.0,0.1,eeg,mcar
5,mean,-0.0050959961160071,,0.003837618596335,0.0021309300397109,1509.0,0.1,eeg,mcar
6,softimpute,-468.5677308827095,0.0029642083277431,0.0672471900943796,0.0352612148026482,1509.0,0.1,eeg,mcar
7,factorization,-44.47621836557607,0.0549732904247754,0.0173859028736238,0.0103017474318632,1509.0,0.1,eeg,mcar
8,mice,-364.2581333415413,0.3829642382063022,0.0610617411904779,0.0025921880540537,2994.3333333333335,0.2,eeg,mcar
9,softimpute,-616.0533621009821,0.0127144950598455,0.0942157629659349,0.0462249644808088,2994.3333333333335,0.2,eeg,mcar
10,median,-0.0066192677000856,,0.0046673168335961,0.0021004242219352,2994.3333333333335,0.2,eeg,mcar
11,mean,-0.0121084323231859,,0.0046683117837678,0.002151048677868,2994.3333333333335,0.2,eeg,mcar
12,knn,0.1596842812466609,0.4994607765154021,0.0041749565386792,0.0017488610961563,2994.3333333333335,0.2,eeg,mcar
13,sudoku,-1.9456062484851804,0.4373548068732584,0.0043139410764515,0.0014912799235603,2994.3333333333335,0.2,eeg,mcar
14,factorization,-105.2799990792082,0.0696865652001889,0.0319437668987965,0.0209913289789998,2994.3333333333335,0.2,eeg,mcar
15,missforest,-26.721853061513688,0.5514571505682934,0.0046301481410836,0.0009122774863248,2994.3333333333335,0.2,eeg,mcar
16,sudoku,0.1558262709050266,0.3369816715817784,0.0066292496575472,0.0015922027984218,4479.916666666667,0.3,eeg,mcar
17,missforest,0.2644907704718969,0.4197939785859825,0.0063649277926838,0.0010274555382295,4479.916666666667,0.3,eeg,mcar
18,softimpute,-915.259324176951,0.0044588577147058,0.117237238760073,0.0670600598952677,4479.916666666667,0.3,eeg,mcar
19,mean,-0.0003852000720277,,0.0069390756422924,0.0021739421413428,4479.916666666667,0.3,eeg,mcar
20,factorization,-187.4672846214763,-0.0457721805786865,0.0522021535034849,0.0367522817012268,4479.916666666667,0.3,eeg,mcar
21,knn,0.0932531297979035,0.3019666532178197,0.0066319842960391,0.0019379418526682,4479.916666666667,0.3,eeg,mcar
22,median,-0.0054138689175535,,0.0069402595266825,0.0021303246747899,4479.916666666667,0.3,eeg,mcar
23,mice,-562.2998721393581,0.6176724332080622,0.0927326343835397,0.002946752777695,4479.916666666667,0.3,eeg,mcar
24,mean,-0.0003035815196267,,0.0079409498347998,0.0021863921697707,5980.166666666667,0.4,eeg,mcar
25,missforest,0.2435594190812976,0.375384964633127,0.0070710204506339,0.0011515086224713,5980.166666666667,0.4,eeg,mcar
26,softimpute,-761.0496601918248,0.0017542868246409,0.1362661375706517,0.0887874450255865,5980.166666666667,0.4,eeg,mcar
27,mice,-35.618085903222,0.2949486014904903,0.0280117247850689,0.001897697249842,5980.166666666667,0.4,eeg,mcar
28,factorization,-191.12851825707253,-0.0228562204509523,0.0722900424024011,0.0561181153464955,5980.166666666667,0.4,eeg,mcar
29,knn,0.0745208105237752,0.2643108840994,0.007655956268306,0.0019715338149426,5980.166666666667,0.4,eeg,mcar
30,median,-0.004434174386032,,0.0079436360555789,0.0021467695208238,5980.166666666667,0.4,eeg,mcar
31,sudoku,0.1060954067780964,0.2984286131887303,0.007760208266993,0.0016912400897064,5980.166666666667,0.4,eeg,mcar
32,knn,0.0702271014045728,0.2659463556132672,0.0077985172150244,0.001995947412744,7475.583333333333,0.5,eeg,mcar
33,mice,-22.05044382562268,-0.0279954999487067,0.0279293683698071,0.0019470137782335,7475.583333333333,0.5,eeg,mcar
34,missforest,0.1182290396572893,0.2667007771386804,0.0079878199721453,0.0012935570607489,7475.583333333333,0.5,eeg,mcar
35,softimpute,-808.5634015945888,0.0043072755516417,0.1514251128298252,0.1094755566821076,7475.583333333333,0.5,eeg,mcar
36,factorization,-312.9503160296531,-0.0229924278815869,0.0941121391097016,0.0789277619468518,7475.583333333333,0.5,eeg,mcar
37,median,-0.0033122237185466,,0.0080933808292353,0.0021572665223553,7475.583333333333,0.5,eeg,mcar
38,sudoku,0.0433241882856259,0.2045057759503784,0.0080748358748671,0.0019346875532513,7475.583333333333,0.5,eeg,mcar
39,mean,-0.0001571165525218,,0.0080957953306757,0.0021979240829071,7475.583333333333,0.5,eeg,mcar
0,missforest,0.7225115888192978,0.8967273024167689,0.065380209889621,0.0240075830104408,106.3,0.1,qsar,mcar
1,mice,0.2457734517889493,0.7760678092284646,0.0954662225208959,0.049155725995454,106.3,0.1,qsar,mcar
2,mean,-0.0138538171919812,,0.1941438185170275,0.1058941880894267,106.3,0.1,qsar,mcar
3,factorization,0.4605304002528773,0.7677133700309084,0.1404679768792388,0.0683774154258407,106.3,0.1,qsar,mcar
4,sudoku,0.6558100495174948,0.8475397652013725,0.0831162546221799,0.0335229643012191,106.3,0.1,qsar,mcar
