,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
knn,0.2697201673974543,0.5456621247730473,0.2251229666848893,0.1376562664731051,88.78787878787878,88.78787878787878,0.1
softimpute,0.1841223285832788,0.4653619824804275,0.245832858624977,0.1400217295386597,88.78787878787878,88.78787878787878,0.1
median,-0.4156163016028301,,0.3021465795694523,0.1677887284890243,88.78787878787878,88.78787878787878,0.1
mean,-0.2882479589109094,,0.280204420810533,0.2081247652345722,88.78787878787878,88.78787878787878,0.1
sudoku,0.4407724939659345,0.6159922043425741,0.2046604365056758,0.137284779449057,88.78787878787878,88.78787878787878,0.1
missforest,0.3234710666297451,0.6258784955855178,0.1941079875450328,0.1287838561623986,88.78787878787878,88.78787878787878,0.1
factorization,0.4306214839322825,0.6057061047996753,0.2084806735887717,0.1104594902505355,88.78787878787878,88.78787878787878,0.1
mice,0.5135385227981486,0.6104446453700008,0.191722244026105,0.1328341487416614,88.78787878787878,88.78787878787878,0.1
mean,-0.6134362350371689,,0.2836635017611942,0.2044217114493191,170.83838383838383,170.83838383838383,0.2
missforest,-0.1791492879146752,0.6235496022111413,0.2060299407246424,0.1293467554271594,170.83838383838383,170.83838383838383,0.2
median,-0.4377771333499168,,0.3032279039845498,0.1650167347862159,170.83838383838383,170.83838383838383,0.2
mice,-0.3351844685290553,0.5613939471989826,0.2095039226638243,0.1386427668547933,170.83838383838383,170.83838383838383,0.2
factorization,-0.0432198842947141,0.576481369757854,0.2159275822367882,0.1114004875965714,170.83838383838383,170.83838383838383,0.2
sudoku,0.2070748581073417,0.5859587360279819,0.2250195069180881,0.1423457286279896,170.83838383838383,170.83838383838383,0.2
knn,0.2487245761195069,0.5308183870795297,0.230287524910821,0.1375265015316466,170.83838383838383,170.83838383838383,0.2
softimpute,0.1087707175291557,0.4469198309651687,0.2498294646049506,0.1385377166209921,170.83838383838383,170.83838383838383,0.2
sudoku,0.3261196963703231,0.5814856225055983,0.2254827828127092,0.142419150044771,241.0909090909091,241.0909090909091,0.3
mice,0.0874841965487133,0.5545223308533287,0.2223836623095837,0.1446720833700586,241.0909090909091,241.0909090909091,0.3
factorization,0.1771999001813892,0.5583454588858473,0.2339323387795838,0.1221251514336285,241.0909090909091,241.0909090909091,0.3
mean,-0.5091620244659045,,0.2951089033496146,0.2095673503951647,241.0909090909091,241.0909090909091,0.3
knn,0.2275840775347091,0.5097652409007009,0.2402283776725942,0.1410083441962613,241.0909090909091,241.0909090909091,0.3
median,-0.4810494008700761,,0.3153694305971833,0.1718189601666771,241.0909090909091,241.0909090909091,0.3
missforest,-15.401091980565017,0.6159466570758433,0.2287643638060235,0.1426849242737336,241.0909090909091,241.0909090909091,0.3
softimpute,0.0812646730862369,0.438480775933138,0.2639079050222182,0.1457555331721092,241.0909090909091,241.0909090909091,0.3
mice,0.2394361581945414,0.5314939424284509,0.2320431586265899,0.1602767954497853,299.83838383838383,299.83838383838383,0.4
median,-0.5527612329937512,,0.3143078315282563,0.1742870229345702,299.83838383838383,299.83838383838383,0.4
mean,-0.4376237620717429,,0.2929413193504263,0.2108804856002788,299.83838383838383,299.83838383838383,0.4
knn,0.1694787949387649,0.5022873815508329,0.240781051598248,0.1461900778757931,299.83838383838383,299.83838383838383,0.4
factorization,0.1688509848503963,0.5207105164333184,0.2417071392946944,0.1297533539490304,299.83838383838383,299.83838383838383,0.4
softimpute,0.0144409611435,0.424599573711223,0.2652497316269392,0.1482775794701363,299.83838383838383,299.83838383838383,0.4
missforest,-0.7418426081512749,0.6028103348333707,0.2469508330871214,0.1654059773640454,299.83838383838383,299.83838383838383,0.4
sudoku,0.2852649374753778,0.5687397041728472,0.2303438031379628,0.1498611072483592,299.83838383838383,299.83838383838383,0.4
mean,-0.490751387233636,,0.2961256032126688,0.2137552533931614,346.3131313131313,346.3131313131313,0.5
factorization,-0.1060354108646362,0.440983350050851,0.2618632814029997,0.1442051288678472,346.3131313131313,346.3131313131313,0.5
softimpute,-0.1359745010694496,0.3880340416911332,0.2751604641073188,0.1542817664397862,346.3131313131313,346.3131313131313,0.5
missforest,-1.4945872693891236,0.5395597567290268,0.3979533413477563,0.2981223627781601,346.3131313131313,346.3131313131313,0.5
mice,-0.1334165919197056,0.4661609600904965,0.2584971953023841,0.1824732468045451,346.3131313131313,346.3131313131313,0.5
knn,0.051523648046232,0.4413788457616021,0.2531635463066882,0.1520348301976957,346.3131313131313,346.3131313131313,0.5
sudoku,0.1647520762166311,0.5082040286200937,0.2784641676405661,0.2097989383963519,346.3131313131313,346.3131313131313,0.5
median,-0.7044900799251543,,0.3205145640366635,0.1801787725742553,346.3131313131313,346.3131313131313,0.5
