,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
factorization,-187.2264331592729,0.0312763182958737,0.0829277126363323,0.0356910835589357,1498.0,1498.0,0.1
knn,0.1855752975631596,0.6003966684239891,0.0064861675439751,0.0018301216899584,1498.0,1498.0,0.1
mice,-478.4748649029364,0.5803401029878137,0.1892703274727875,0.0071411221088574,1498.0,1498.0,0.1
median,-0.060697623087109,,0.0072880641618172,0.0026390947619573,1498.0,1498.0,0.1
sudoku,-2.0535466426102857,0.3548391963341729,0.0068644948611075,0.0017412593324875,1498.0,1498.0,0.1
mean,-0.0617009599351064,,0.0072152133143725,0.0025598648002029,1498.0,1498.0,0.1
softimpute,-2340.0156378323873,-0.0354545901451687,0.2934974577312065,0.1377853271008809,1498.0,1498.0,0.1
missforest,0.3795717662358992,0.7629193518582583,0.005274894916869,0.0009246889507981,1498.0,1498.0,0.1
softimpute,-3235.4973943817145,0.1341303859505749,0.2584064978619374,0.1520619747830014,2996.0,2996.0,0.2
factorization,-304.2556190647495,0.1417183194456461,0.0852837324930392,0.0553985636112459,2996.0,2996.0,0.2
median,-0.0514495498004351,,0.0079856339533087,0.0026534643403642,2996.0,2996.0,0.2
knn,0.0435488002423947,0.347480166939775,0.0075583557707743,0.0024593535312601,2996.0,2996.0,0.2
mean,-0.0422580541936478,,0.0079233428340236,0.0025784066660439,2996.0,2996.0,0.2
sudoku,-2.3527961616353044,0.3587176037057291,0.007549690377056,0.0018345740532525,2996.0,2996.0,0.2
missforest,-8.184958320192303,0.535493421811872,0.0073595135514034,0.0010490516976102,2996.0,2996.0,0.2
mice,-1652.676995768231,0.2349678353189962,0.1882976689991539,0.0050664841331183,2996.0,2996.0,0.2
sudoku,-2.8048417712085367,0.2838741447957867,0.0082548819760482,0.0021035272611788,4494.0,4494.0,0.3
knn,0.0238907615931785,0.2614138129328793,0.0078765934783155,0.0025320844684245,4494.0,4494.0,0.3
factorization,-384.8013744542484,0.0943269767085068,0.1009842774359086,0.0785125439307359,4494.0,4494.0,0.3
mean,-0.0477377771708564,,0.0081850966410051,0.0026494388479832,4494.0,4494.0,0.3
softimpute,-2795.845181842405,0.1261121763772888,0.2468525690236,0.1666138442113215,4494.0,4494.0,0.3
missforest,-42.32016182855708,0.3911654829179334,0.0079222992461941,0.0011953294927337,4494.0,4494.0,0.3
mice,-1063.3204613032,0.0268039587098942,0.2165400600006803,0.0049122649603464,4494.0,4494.0,0.3
median,-0.0488665478820259,,0.0082215644978433,0.0027054713439711,4494.0,4494.0,0.3
missforest,0.0564822761807474,0.19806317417032,0.0103655783968013,0.0014338881396106,5992.0,5992.0,0.4
factorization,-420.6399606262566,-0.0070819662006929,0.1331852100954692,0.1053448867202838,5992.0,5992.0,0.4
mice,-45.49703535827965,0.2040809132826464,0.0472456060541237,0.0025797539423056,5992.0,5992.0,0.4
knn,-0.0316592792794692,0.0716856165016922,0.0110124322101767,0.0028761293373128,5992.0,5992.0,0.4
median,-0.0513703236096713,,0.0110851404274288,0.0028380774548872,5992.0,5992.0,0.4
mean,-0.0443595033752579,,0.0110470230407147,0.002777945416709,5992.0,5992.0,0.4
softimpute,-3411.2370431551485,0.1418720869639188,0.3414943417043865,0.1505668941991086,5992.0,5992.0,0.4
sudoku,0.0150520169178318,0.1720318470158345,0.0108414261513531,0.0023107250487012,5992.0,5992.0,0.4
mice,-36.83054795564774,0.1686360193123252,0.0415238464819225,0.0029247356401942,7387.5,7387.5,0.5
knn,-0.1724766822388955,-0.051337121373394,0.0111618171889727,0.0034651031411288,7387.5,7387.5,0.5
factorization,-744.4045663323462,-0.1027019047807088,0.155850279224966,0.1341000252901521,7387.5,7387.5,0.5
mean,-0.0784296661914041,,0.0105637605296432,0.002941665688409,7387.5,7387.5,0.5
softimpute,-4120.411829278734,0.0377079881042902,0.3208352646439268,0.1668445924119721,7387.5,7387.5,0.5
missforest,-134.62234220213523,0.1526810290288605,0.0110127445022263,0.0025557057025368,7387.5,7387.5,0.5
sudoku,-15.471440937223386,0.081314065313723,0.0105235885061135,0.0026250915928413,7387.5,7387.5,0.5
median,-0.0824533668154646,,0.0105674774187865,0.0029412433645683,7387.5,7387.5,0.5
