,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
missforest,0.5039469908369799,0.830862431026724,0.0802573438229385,0.0357751786034492,92.25,92.25,0.1
median,-0.3753294381671,,0.1688287039912061,0.0924899375565969,92.25,92.25,0.1
mean,-0.2390157576794643,,0.1592046629018023,0.1076023805569866,92.25,92.25,0.1
knn,0.1309416559946848,0.6384019797274373,0.0996579516703323,0.0537572721212528,92.25,92.25,0.1
sudoku,0.2314589099270509,0.7401308370763967,0.076931502247087,0.0413089804431213,92.25,92.25,0.1
factorization,-0.0717056063831312,0.7118685959040972,0.116955456646186,0.0758109769464442,92.25,92.25,0.1
softimpute,0.2344758304410727,0.732240603313991,0.1129971299657242,0.0675870882330738,92.25,92.25,0.1
mice,-4.339009118635313,0.7172973404573542,0.1563313666071334,0.1229279350907909,92.25,92.25,0.1
factorization,-0.2222552814104164,0.6393272565143753,0.1363648552231393,0.0845899441668708,169.1,169.1,0.2
knn,-0.0515717638529447,0.5764317301336436,0.1121274930443266,0.0618229750819259,169.1,169.1,0.2
softimpute,0.1775464238881607,0.686271372910153,0.126720200469417,0.074354558156071,169.1,169.1,0.2
missforest,0.3702021934207994,0.7644131495908394,0.0898632167899416,0.0428031592817578,169.1,169.1,0.2
mice,-1.3408202731961212,0.6520435817527751,0.1558021084533098,0.1206138282022629,169.1,169.1,0.2
sudoku,0.1333066800516386,0.6958292053679329,0.0934461901770893,0.04959306196212,169.1,169.1,0.2
mean,-0.2577826774010503,,0.1634929831013139,0.1104307593093342,169.1,169.1,0.2
median,-0.3890548320445836,,0.1728942064361989,0.0951310631102274,169.1,169.1,0.2
sudoku,-0.0993770158785875,0.6574806367180007,0.1066237074912203,0.0562297060059479,237.7,237.7,0.3
factorization,-0.651273728480582,0.5709903357433216,0.1540964415447559,0.0932733710507748,237.7,237.7,0.3
mice,-1.6675951136446934,0.5865668883569082,0.159881142986363,0.1112443903464345,237.7,237.7,0.3
missforest,-0.2680449353364201,0.7114468570534281,0.1243190566272205,0.0656560264104354,237.7,237.7,0.3
softimpute,-0.1270995167454251,0.6310243111099613,0.1438801614957696,0.0831180078622489,237.7,237.7,0.3
median,-0.397786482701036,,0.178306255282099,0.0984977940894988,237.7,237.7,0.3
knn,-0.4315488721264319,0.5060568552827598,0.1296226585568048,0.0710688806077429,237.7,237.7,0.3
mean,-0.2838254692978578,,0.1687722752883435,0.1132400018314761,237.7,237.7,0.3
knn,-0.9626683746364666,0.4717473573759921,0.135271717909422,0.0758396837690566,296.425,296.425,0.4
missforest,-1.5185017906083176,0.6715654266755982,0.1414916931587443,0.0774951107062139,296.425,296.425,0.4
softimpute,-0.5443165471664366,0.5956689642921065,0.151684042478393,0.0895561254025209,296.425,296.425,0.4
factorization,-1.428419980799649,0.5307620157930547,0.1669594546432235,0.1020803954707122,296.425,296.425,0.4
mean,-0.3110460573409455,,0.1690847802720356,0.1138526006190157,296.425,296.425,0.4
median,-0.4173690463955591,,0.1783123851650738,0.0987980911017409,296.425,296.425,0.4
mice,-2.075246064796331,0.5831754602523601,0.1548393883933099,0.1066947225528197,296.425,296.425,0.4
sudoku,-0.7854873811382042,0.636100146586102,0.1111596721822829,0.0615808770346427,296.425,296.425,0.4
median,-0.4462099294896863,,0.1794169348139286,0.099982467878337,345.925,345.925,0.5
mean,-0.3571890347358865,,0.1709090726187695,0.1153299546652446,345.925,345.925,0.5
missforest,-6.734758534977504,0.6126250328333548,0.1732179426681665,0.1025289488296627,345.925,345.925,0.5
softimpute,-1.3478211112438696,0.5210770180010683,0.1670034320670153,0.1001145052573105,345.925,345.925,0.5
knn,-2.027494503990414,0.4090410484078329,0.1449096824275009,0.0828334317622319,345.925,345.925,0.5
mice,-4.803497077322487,0.4913201249371099,0.1781284018112551,0.1234741942926324,345.925,345.925,0.5
sudoku,-1.952875153483536,0.5655260747857997,0.1307326109908423,0.0713092403901997,345.925,345.925,0.5
factorization,-3.750692056641924,0.4750394510876435,0.1895598849114942,0.1206220849635725,345.925,345.925,0.5
