,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
median,-0.1712710671685229,,0.2749864836305178,0.1396444608884557,90.04040404040404,90.04040404040404,0.1
softimpute,0.3009516873999695,0.4890853808108429,0.219798057360622,0.1164155277781869,90.04040404040404,90.04040404040404,0.1
mean,-0.0113042177157717,,0.2593946208563373,0.1878754589673833,90.04040404040404,90.04040404040404,0.1
knn,0.4035194863646886,0.5847948505169034,0.1908596740218919,0.1199846005454835,90.04040404040404,90.04040404040404,0.1
sudoku,0.4819759286274775,0.6314000925286506,0.1846057910999529,0.1197296084138103,90.04040404040404,90.04040404040404,0.1
mice,0.553904362526546,0.6369255638106497,0.1739154624005959,0.1161916574640128,90.04040404040404,90.04040404040404,0.1
factorization,0.4776770750223283,0.6169383802206128,0.1836624026125665,0.0895883550470537,90.04040404040404,90.04040404040404,0.1
missforest,0.4640872884443531,0.6386380176341862,0.1701736243831546,0.1140768604714787,90.04040404040404,90.04040404040404,0.1
factorization,0.4730323537841649,0.6072762867300359,0.1890654647637473,0.0970135864721854,179.67676767676767,179.67676767676767,0.2
mean,-0.0073206727990776,,0.2589006991606619,0.1900881018864578,179.67676767676767,179.67676767676767,0.2
softimpute,0.2817208516910678,0.4793984434029009,0.2257325710979233,0.1249456022589928,179.67676767676767,179.67676767676767,0.2
missforest,0.414174418245728,0.6228111811923694,0.1862137192398208,0.1223359402036755,179.67676767676767,179.67676767676767,0.2
mice,0.5034850704911619,0.6052923952486399,0.1813062628691444,0.124061310348735,179.67676767676767,179.67676767676767,0.2
sudoku,0.4703675554744738,0.6174407350201278,0.1898305822417607,0.121414163387332,179.67676767676767,179.67676767676767,0.2
knn,0.3842868223415012,0.5802159939749204,0.2037768300998824,0.1292157866732351,179.67676767676767,179.67676767676767,0.2
median,-0.1722604525148703,,0.2779942792262445,0.1467455287746123,179.67676767676767,179.67676767676767,0.2
sudoku,0.4385739170552293,0.5977543699174678,0.2005991463098311,0.1294984690395705,269.8989898989899,269.8989898989899,0.3
median,-0.1710530242207109,,0.2844095067991076,0.1501070159787805,269.8989898989899,269.8989898989899,0.3
mice,0.4804973306881879,0.5942209040088077,0.1913157140036596,0.131358963049249,269.8989898989899,269.8989898989899,0.3
factorization,0.46832714837422,0.5971308986356136,0.2000843802611095,0.1030501657457282,269.8989898989899,269.8989898989899,0.3
knn,0.3862478337357953,0.5634109888458009,0.2196500823791364,0.1373982618209471,269.8989898989899,269.8989898989899,0.3
missforest,0.4566947897968046,0.6114508907935923,0.1988899238957616,0.1316584661010312,269.8989898989899,269.8989898989899,0.3
mean,-0.0055398099070351,,0.2640966487925548,0.1941622755759909,269.8989898989899,269.8989898989899,0.3
softimpute,0.2538086128078125,0.4603332165727035,0.2362377228775253,0.1309020529634163,269.8989898989899,269.8989898989899,0.3
softimpute,0.2278989005543177,0.452942137281647,0.2444889068960175,0.135696649462721,359.44444444444446,359.44444444444446,0.4
factorization,0.4428994077105569,0.5807869370292991,0.2105741525794492,0.109689622833133,359.44444444444446,359.44444444444446,0.4
mean,-0.0050537823055215,,0.267742793992927,0.1951317936338444,359.44444444444446,359.44444444444446,0.4
mice,0.4425058225827678,0.5725250073834014,0.200592052409494,0.1367220827842338,359.44444444444446,359.44444444444446,0.4
knn,0.3852105340250782,0.5622716068288045,0.2196621612185789,0.1373601699762038,359.44444444444446,359.44444444444446,0.4
median,-0.1710853359106941,,0.2889035568521877,0.1527767185708299,359.44444444444446,359.44444444444446,0.4
missforest,0.4256618324477777,0.5986067956091947,0.2228364891200067,0.1450348653264716,359.44444444444446,359.44444444444446,0.4
sudoku,0.4179806731212736,0.5813848526134123,0.2184704613356893,0.1408159469108669,359.44444444444446,359.44444444444446,0.4
median,-0.1718775036091968,,0.2930603486926535,0.1565176908555241,449.1313131313131,449.1313131313131,0.5
mean,-0.0041571193422677,,0.270336905048493,0.1959967675202873,449.1313131313131,449.1313131313131,0.5
missforest,0.372876178227207,0.5810196841426812,0.245677059913088,0.1529614409763603,449.1313131313131,449.1313131313131,0.5
softimpute,0.1898347649622181,0.4375650803619287,0.2533552697359272,0.1422716759807279,449.1313131313131,449.1313131313131,0.5
factorization,0.3867570617692906,0.5518496108314542,0.2246903294917469,0.119795499862733,449.1313131313131,449.1313131313131,0.5
knn,0.3433771606775109,0.5311836916200492,0.2320169320451167,0.1419808705304977,449.1313131313131,449.1313131313131,0.5
sudoku,0.3307145848210917,0.5248578955113049,0.2334785560731292,0.1510651128511439,449.1313131313131,449.1313131313131,0.5
mice,0.3848651975948919,0.5478229266890207,0.2284395079703056,0.1576141236818541,449.1313131313131,449.1313131313131,0.5
