column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.9116308818832457,0.9584672219398801,0.04032079426735037,0.026417137826332728,105,105
V10,0.7201199293697504,0.8535991807539921,0.07737019737355624,0.05014779910037332,105,105
V11,0.7763721805614354,0.8964998623672237,0.04957119624799253,0.019709656248971193,105,105
V12,0.37183091973027305,0.6249827093059198,0.05556249028905047,0.04115220013626308,105,105
V13,0.9010666136717852,0.9549763031805617,0.03739618508718159,0.02650246336600633,105,105
V14,0.7365219575022729,0.8833580667154519,0.07632204202810776,0.05993819118306796,105,105
V15,0.937164710584187,0.9698081123882611,0.02315057959744835,0.016015397060561397,105,105
V16,0.6691870248693734,0.8194959053410102,0.05531134505178501,0.03902142235434792,105,105
V17,0.3377564368604089,0.8978944393960475,0.06482972054944626,0.05279215835726936,63,63
V18,0.033036846193005065,0.6559005701532218,0.049496492205097706,0.03885644128323924,102,102
V19,0.0,,0.022052520471397878,0.013519885678308143,105,105
V2,-0.2069442957565102,0.7682295090023598,0.06883523979807532,0.061397499337015306,63,63
V20,0.3995385027901186,0.6917629893984447,0.12309748809313878,0.0679698576060118,105,105
V21,0.12000125511941084,0.4293794613135364,0.030370164356144196,0.016276201214139842,105,105
V22,0.8041717765878922,0.8982471491402209,0.05773076340569567,0.04115467258387887,105,105
V23,0.09342824276085382,0.5558702901124621,0.09178570081432869,0.011548206644320413,105,105
V24,0.0,,0.04682508912900355,0.030658925876648,8,8
V25,0.0913269724133201,0.3779545602898887,0.3139641848797103,0.1761842182130369,105,105
V26,-0.09747344694108584,0.2286326955935486,0.0668462639488729,0.03404902085335517,105,105
V27,0.8737691247501083,0.9543630633670472,0.044791429799960085,0.0327555721470442,102,102
V28,-3.7018246075538794,-0.12497548748334888,0.04172401980648759,0.029130379355497643,105,105
V29,-0.015301092419875983,0.5616262831747334,0.09786441340696361,0.035855460142287514,105,105
V3,0.725362535934742,0.8597074231365842,0.06957925268688975,0.045782678193948136,105,105
V30,0.6661259707704837,0.8203338253520518,0.10146262840758215,0.07621870459775473,105,105
V31,0.734208702336024,0.8612467246125186,0.05279949894949801,0.03588506485426448,105,105
V32,-6.383944382850333,0.038448548016433576,0.04642998384401029,0.033076942176308265,105,105
V33,0.6226695118019212,0.8496550662667824,0.1135780270992477,0.09146016450725646,105,105
V34,0.007347959676078819,0.7303142977237479,0.28971288940075923,0.23268189102270811,33,33
V35,-1.0490356085192203,0.5341754301680225,0.17694477061560365,0.14335368350858596,28,28
V36,0.8413406932133713,0.9419569316999503,0.054608340015180286,0.024098134358945145,105,105
V37,0.9258042535604706,0.9624573675349835,0.045827194292280826,0.03265901386407408,105,105
V38,0.720037625215012,0.854076141884788,0.06031915044494693,0.04268586466457224,105,105
V39,-7.846155212195336,0.6366762056618082,0.21832891245925315,0.1788985941395018,22,22
V4,0.04035329297844381,0.38184318535057626,0.055171207202334725,0.03236887337792222,102,102
V40,0.08586146540231943,0.6812567284702654,1.5182353780633693,0.8795152265258847,105,105
V5,0.8573100497206839,0.9279229580183542,0.030497133536170732,0.021298524755851728,105,105
V6,0.8581209423684785,0.9279957481328761,0.05246342244819,0.03431004888760988,105,105
V7,-0.6428072962539755,0.6023562635760632,0.12195032052713044,0.10296352014375339,61,61
V8,0.6734440647372515,0.8328292728332173,0.08646444503873023,0.06636604366239651,105,105
V9,0.5403512438022453,0.7516816404662097,0.048627390209467804,0.037763338048454005,61,61
