column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.11925927138998382,0.3786772139875484,0.12483410426385329,0.09034870076082951,232,232
V10,0.3211744440761034,0.5782375267953204,0.14053432854279765,0.08868388683886838,271,271
V11,0.09154071435227862,0.4267262222175176,0.08747010090262597,0.036958771778506115,527,527
V12,-0.01986617338451424,0.23974345395080424,0.08413513910939881,0.04581696430439187,527,527
V13,-1.5213287386606926,0.24583856500940385,0.17348268002901227,0.13787046288946336,527,527
V14,0.43415233153721744,0.6637672568078774,0.11059082425605066,0.07439363872229604,273,273
V15,0.7929638605892972,0.9096750334533209,0.048081720027648,0.03353479943736299,421,421
V16,0.3027156965528385,0.6140669657526662,0.08813667797117763,0.061034155597722975,527,527
V17,-2.161102772295423,0.18857803117938793,0.1416395650735978,0.11983678593848097,63,63
V18,0.3965761782459344,0.6878311180086899,0.03910035356522829,0.027467550400441795,102,102
V19,0.0,,0.019691498217271747,0.0014285714285714286,490,490
V2,-2.6117937805601557,-0.032919645282605325,0.11907722064852333,0.09930601997813236,63,63
V20,0.15613493332254103,0.4137494190177394,0.12940995731055457,0.050697084917617236,526,526
V21,-0.3006172839506174,0.06390438579908518,0.034206257135367554,0.006122448979591835,490,490
V22,0.3235185776341123,0.6696044086825832,0.10491191038102606,0.06921654805051634,527,527
V23,0.010581281849292967,0.13506405637174093,0.05545256136435024,0.008535845107273687,325,325
V24,0.0,,0.0,0.0,8,8
V25,0.3051980676328503,0.5978737995706722,0.2374785034565453,0.08475247524752474,505,505
V26,0.09143740010655288,0.34097912215835535,0.08259955244232732,0.018089816571790006,527,527
V27,0.6590705779180299,0.8653645201915143,0.07361128012097476,0.049190477697265034,102,102
V28,-0.42454883726684756,-0.1783533906339146,0.02438023666588945,0.008999257749861713,526,526
V29,-0.3545727332028705,0.5977961991485561,0.08865620214620254,0.009727626459143969,514,514
V3,-0.11458085425852804,0.4269826223275487,0.1611187737641373,0.08257142857142857,525,525
V30,0.22740245406602133,0.5234698609989409,0.14664694369273176,0.09999558422547328,505,505
V31,0.26763100966168163,0.5824662939766259,0.09234699114419756,0.05620514020584226,325,325
V32,-76.47806187314596,-0.004242056248671088,0.19286086305935687,0.1265625,480,480
V33,-0.3313688696755719,-0.05512780512809869,0.22499467852370347,0.16048850574712642,232,232
V34,-1.0331380304350741,0.13543526404007086,0.41462236998199636,0.31313131313131315,33,33
V35,0.2425212947189097,0.5531619713498026,0.10758412533140568,0.08673469387755098,28,28
V36,0.7389066020657445,0.8868704562127083,0.048235071427360714,0.02796702924169195,490,490
V37,0.1277956046390235,0.40249662877377124,0.1389689207625036,0.07352528543284756,526,526
V38,0.3382560179854144,0.637646263319692,0.12862803770613163,0.06725621414913957,523,523
V39,0.47627106165215616,0.804053212741157,0.05312357083512563,0.04366944514138624,22,22
V4,-0.5523232323232328,0.03634610814471513,0.07016941838641996,0.021568627450980385,102,102
V40,0.46766457453577837,0.7308867400693115,1.4159346202097354,0.6354243542435424,271,271
V5,0.07391049373621139,0.3948952233933505,0.08107704547069965,0.034727503168567805,526,526
V6,-0.1153761719643267,0.08736346255974822,0.1188819462682846,0.04145380236461829,527,527
V7,-1.960014660069635,0.3492800030921271,0.16369543396871525,0.15009107468123856,61,61
V8,-0.1408384316267104,0.2548616268264228,0.16029614405927015,0.11858675978229949,527,527
V9,0.055069834935606576,0.3905097008621647,0.06972166887783962,0.05136612021857921,61,61
