column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,-0.1570128120697274,,0.14184137671078828,0.10765345871007645,211,211
V10,-0.0012124726829794152,,0.161725427289741,0.12209547179982479,211,211
V11,-0.04728260112223848,,0.0885856379028954,0.053955513332829635,211,211
V12,-0.003948825020051894,,0.07506083031992103,0.04431673943136254,211,211
V13,-1.4623825627818143,,0.17291748903346527,0.13672962169787875,211,211
V14,-0.0010294592392741109,,0.14902930910327317,0.10779148973008222,211,211
V15,-0.0015963573986401691,,0.09819344211968645,0.07035999489101719,211,211
V16,-0.039745576398460436,,0.1060509938736456,0.07365007524538981,211,211
V17,-2.516164269291457,,0.14938254525280167,0.12732069089709888,63,63
V18,-0.10950720220438992,,0.05301936498197651,0.03898252382844274,102,102
V19,0.0,,0.0053317535545023,0.0053317535545023,211,211
V2,-0.4906173831070686,,0.07649803985938503,0.06944223297206087,63,63
V20,-0.033575129533678805,,0.1577723781832088,0.06239752027133258,211,211
V21,-0.2011904761904717,,0.025090647984626485,0.013315813511226822,211,211
V22,-0.16938800088448058,,0.13517653481640715,0.10437714641927737,211,211
V23,-0.022078963265018903,,0.06948158546934001,0.012324498092851391,211,211
V24,0.0,,0.0401146131805157,0.0401146131805157,8,8
V25,-0.040742481203007275,,0.3054046418085393,0.22763976550391946,211,211
V26,-0.0004573170731703158,,0.055417652893780055,0.01953572471417979,211,211
V27,-0.09205261705512213,,0.13174493002368148,0.09736181133245898,102,102
V28,-0.021415940629655017,,0.023741539110570337,0.007311875253439452,211,211
V29,-0.1574404761904764,,0.0738884446808951,0.03642663012960173,211,211
V3,-0.08971066748746837,,0.1390244640763769,0.09285318538816885,211,211
V30,-0.05138998560367192,,0.17891449127827486,0.12930271555809758,211,211
V31,-0.0028412134790791743,,0.09655994251201991,0.06885990622362832,211,211
V32,-0.4331492130750605,,0.02882559523099868,0.022036651243233524,211,211
V33,-0.38235957433220014,,0.23241892049099128,0.16185152325119984,211,211
V34,-1.4708876019791228,,0.4570837616723215,0.357057199522953,33,33
V35,-0.2550846009398964,,0.13848396190124712,0.11623412753611664,28,28
V36,-2.0738052095570225e-06,,0.10328450296346778,0.05438524331563609,211,211
V37,-0.0024567874947472035,,0.15953849768202552,0.10913864389699342,211,211
V38,-0.004370654012403774,,0.13695288791346824,0.1053470553222075,211,211
V39,-1.313037214165837,,0.11164140257345644,0.0841148144876712,22,22
V4,-0.0075281363784345245,,0.05653083362192057,0.02363022858671271,102,102
V40,-7.157814130631657e-05,,1.8206490537778224,1.1136373846050178,211,211
V5,-0.043306075266515975,,0.07689417828784616,0.04603757527658604,211,211
V6,-0.09453757623064063,,0.16095136529625548,0.06618268302080432,211,211
V7,-0.44192054624800226,,0.11425107622168984,0.09893239216721086,61,61
V8,-0.1324252413293605,,0.15989978049864323,0.13330890403717818,211,211
V9,-0.01738743273187282,,0.07234542990008455,0.05588517443458565,61,61
