column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,-0.08085500825874736,,0.13709372391346053,0.10110619655596972,211,211
V10,-0.19561375225402755,,0.17673014448732505,0.1267772511848341,211,211
V11,-0.3038606368022392,,0.09884323703629919,0.04771650150797069,211,211
V12,-0.09859316954169217,,0.07851922847614862,0.03524198734846996,211,211
V13,-1.6956859991144984,,0.18092384482911442,0.14589848448400297,211,211
V14,-0.04799096945975467,,0.15248496661354072,0.10357840483494635,211,211
V15,-0.00698459722862288,,0.09845721112194693,0.06917015257460875,211,211
V16,-0.3040208896260477,,0.11876636829071952,0.07867298578199053,211,211
V17,-3.9241334002832193,,0.1767788000596608,0.15781095865841643,63,63
V18,-0.05617867941089938,,0.05172948528478667,0.0382767191383595,102,102
V19,0.0,,0.0,0.0,211,211
V2,-0.581122993140373,,0.0787861799395618,0.07196521645504164,63,63
V20,-0.09326424870466332,,0.1622641278370785,0.04739336492890995,211,211
V21,-0.004761904761904301,,0.022947613027383806,0.001579778830963665,211,211
V22,-0.20277894197056434,,0.13709288020731603,0.1056634461920832,211,211
V23,-0.0252897668881229,,0.06959063614032966,0.012219105651739375,211,211
V24,0.0,,0.0,0.0,8,8
V25,-0.11052631578947358,,0.31547752114962313,0.0995260663507109,211,211
V26,-0.029268292682926855,,0.05620994273193427,0.009478672985781991,211,211
V27,-0.019673594941702177,,0.1273041952084315,0.09388876583446719,102,102
V28,-0.008731649628620719,,0.023593663324379108,0.006659509657598216,211,211
V29,-0.004761904761904745,,0.06884283908215143,0.004739336492890996,211,211
V3,-0.4733444727816374,,0.16165449213943076,0.09162717219589256,211,211
V30,-0.7893423550565455,,0.23340508903792317,0.15502305937233138,211,211
V31,-0.18590166504522498,,0.1050038568103157,0.06725626715073907,211,211
V32,-0.021791767554479646,,0.024339619175561773,0.0035545023696682463,211,211
V33,-0.7518481263272181,,0.26164304438507846,0.17140600315955765,211,211
V34,-2.0119662130455174,,0.504654727081083,0.4124579124579124,33,33
V35,-0.28790459965928483,,0.14028292943742365,0.11734693877551017,28,28
V36,-0.05160089745477925,,0.10591566263434132,0.04972957440443389,211,211
V37,-0.041787554514433944,,0.16263808433259058,0.10876983876685899,211,211
V38,-0.46323999248261627,,0.16530346931272993,0.09300947867298578,211,211
V39,-1.7471426295225214,,0.12166749823097348,0.0970282400825178,22,22
V4,-0.03030303030303072,,0.05716619504750294,0.00980392156862745,102,102
V40,-0.15247414716127028,,1.954457779863802,0.7109004739336493,211,211
V5,-0.27891302087474545,,0.08513499143204409,0.03975776724591889,211,211
V6,-0.15288244477139212,,0.16518546878622192,0.06015311702515494,211,211
V7,-0.06193879420927284,,0.09804814417003113,0.07103825136612014,61,61
V8,-0.14817449661827276,,0.16100784789365394,0.1343722916682933,211,211
V9,-0.11754035915109795,,0.07582274891605827,0.0546448087431694,61,61
