column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.8775573102666386,0.9491119400455252,0.04746191407355947,0.034490225362140366,105,105
V10,0.7396122798700219,0.8857711222572315,0.07462734083740383,0.05017873158907623,105,105
V11,0.6412085322991266,0.8808414515108358,0.06278957423493546,0.026672711311349913,105,105
V12,0.2939693475788083,0.6045212384837035,0.058905412656020936,0.0435465782777043,105,105
V13,0.7909136770805243,0.9423103158268363,0.054364910304091615,0.04044137792412087,105,105
V14,0.6417997168493288,0.8694292174867881,0.0889899022833431,0.06479168521568783,105,105
V15,0.8029118539190907,0.9537959691450777,0.04100060930392673,0.03298610392859363,105,105
V16,0.6538294957324957,0.8215985052434539,0.05658065653611262,0.036237676894545684,105,105
V17,-0.3932173778588539,0.8437400085145136,0.09403179317320048,0.08096421003443101,63,63
V18,0.1739297632275062,0.5445121324197261,0.04574861454628452,0.033739384051506824,102,102
V19,0.0,,0.015691489944161287,0.008388184413344369,105,105
V2,-0.5873195034783207,0.7784937797633862,0.07894041272074168,0.071186066891086,63,63
V20,0.351485002713118,0.7258894316831223,0.12792829755081145,0.05989942342891807,105,105
V21,0.4047561903455624,0.639543089483471,0.02497776410052431,0.011060011183741912,105,105
V22,0.7974456436003483,0.9042730625086023,0.05871383561045612,0.040981522612854274,105,105
V23,0.04636352293661994,0.448832120136774,0.09413808576958194,0.01242567282488538,105,105
V24,0.0,,0.03374585421174849,0.02788786703603465,8,8
V25,0.2115722533868437,0.4603625754484747,0.2924537810567021,0.16926548038335923,105,105
V26,0.1329921342875695,0.3675360785248166,0.05941439066903028,0.026356368690916697,105,105
V27,0.7027674567903444,0.9372237511980877,0.06873220992687926,0.052966839989569484,102,102
V28,-2.526407883172116,-0.15378302143780276,0.036134263103131226,0.023359691591888807,105,105
V29,0.2803014863786305,0.5756624290299428,0.08239534441673908,0.02507022085947981,105,105
V3,0.7099046010808371,0.8811017608793356,0.07151057829515603,0.045106107020979905,105,105
V30,0.6345231857662412,0.8444192694509014,0.10615603886469398,0.07822422287809457,105,105
V31,0.6282387259155164,0.8376131078816912,0.06244411234692702,0.04347094194109358,105,105
V32,-3.50293668532443,0.05551922029487516,0.036257866399134774,0.02647000283636305,105,105
V33,0.5387357107450141,0.855620148700896,0.1255764750988966,0.09924605957536103,105,105
V34,-0.17850618724933787,0.8352326288633909,0.3156713962414896,0.25109801482191824,33,33
V35,0.35538508790706735,0.6030016980850296,0.09924603227267993,0.07561093691595212,28,28
V36,0.6442762660951646,0.8879582643809588,0.08176785779413798,0.030398026589168344,105,105
V37,0.8876807585268491,0.9518595904712638,0.056384644386840495,0.040920867948202225,105,105
V38,0.7053458567439809,0.8910197022139908,0.06188161762474387,0.0447111415648347,105,105
V39,0.40909284455003325,0.8051717971652268,0.05642786237016049,0.03827998207010157,22,22
V4,0.250267681152741,0.5031653049596619,0.04876518929761054,0.02109361010370196,102,102
V40,0.19081420313830288,0.8641471736112634,1.4284242829855183,0.652064605195139,105,105
V5,0.7588304930907506,0.9198972167940724,0.039648204596047176,0.025280401827318517,105,105
V6,0.7885929421953205,0.8972561954729072,0.06404086831725524,0.037543654859915884,105,105
V7,-0.5366303135891,0.5672234165494195,0.11794358728144759,0.10170988908118948,61,61
V8,0.577900211977989,0.8345203701442313,0.09830290103717647,0.07712957546135334,105,105
V9,0.4810469321666824,0.8107508627399749,0.05166922638966652,0.04222945413703027,61,61
