column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.8605668844438985,0.9361615430459466,0.04923986114875443,0.03344177524558076,211,211
V10,0.7685933096221227,0.882616143850927,0.07775049043392943,0.04676448486075007,211,211
V11,0.7790254588214539,0.8829735380842092,0.040691386964885376,0.015700988420327383,211,211
V12,0.09397057758130112,0.3371136202597919,0.07130643544875821,0.043445094059287065,211,211
V13,0.8656662614246404,0.9304590776727724,0.040388126484410404,0.02739760817866586,211,211
V14,0.6355678443790431,0.8282201704666505,0.08992006326519367,0.05737321124123609,211,211
V15,0.9676592128475212,0.9838698034620262,0.017644583410780557,0.011789607401959725,211,211
V16,0.7327442367068702,0.8708555980493872,0.053766868378580315,0.03288356990544759,211,211
V17,0.42898370083587944,0.7633098516149631,0.06019903495576974,0.044223539516271164,63,63
V18,0.3860212823312116,0.6518542651466119,0.039440836535718414,0.027088861260298178,102,102
V19,0.0,,0.009451104659810163,0.0033227442141494303,211,211
V2,0.25523169026106884,0.5263364071011325,0.05407266952580334,0.03800772149276289,63,63
V20,0.5791153891759124,0.764516379584891,0.10067959733386204,0.04201192945877967,211,211
V21,-1.1753409055967627,0.4010275583555467,0.03376522131010352,0.013391967318597915,211,211
V22,0.7599026435480247,0.8949716665946865,0.061251352364075175,0.046099912390176405,211,211
V23,0.06714312563452973,0.37576365918899146,0.06637965688076325,0.008828671119280347,211,211
V24,0.0,,0.0018333099022627513,0.0008464377295752636,8,8
V25,0.6862499712047185,0.8337820687922182,0.16768564268391706,0.06470244191488735,211,211
V26,-0.01192147076959027,0.3750348641967874,0.055734261520596635,0.02572549456216784,211,211
V27,0.9218326739653431,0.9734850615991669,0.03524721089402681,0.021759538760930352,102,102
V28,-0.04043950737582147,0.2597331837248018,0.02396160869177548,0.009602251839447401,211,211
V29,-1.180313262550671,0.3758536063001389,0.10141136779571028,0.01923344964463146,211,211
V3,0.8278510614235259,0.9122194524970169,0.05525706367649575,0.03140112424634409,211,211
V30,0.5706585619875681,0.7571607741858482,0.11433126353905262,0.07814907494192988,211,211
V31,0.4439418220161342,0.7375071883583773,0.07190200945328701,0.043625551777858214,211,211
V32,-7.018986708770463,0.1440941220090095,0.06818554655508519,0.03533740890761871,211,211
V33,0.6198129559946247,0.8618349855726186,0.12188762750162237,0.06924579200760003,211,211
V34,0.058750717213976844,0.6329584704669604,0.28211204354168357,0.19700265520865123,33,33
V35,0.10901498420833955,0.4545348821050392,0.11668047257749048,0.07992685560743802,28,28
V36,0.9671642948274992,0.9851151469476892,0.018715778096723687,0.010134428697777479,211,211
V37,0.8943219520292479,0.9479903661871238,0.051799439336139064,0.03543906593690213,211,211
V38,0.8389694996264262,0.9199169099897498,0.05483757714634173,0.02438657435653765,211,211
V39,0.7176327984497759,0.9462593923278109,0.039006869625370685,0.022961503772051143,22,22
V4,-1.3015967170007712,-0.01661999760502737,0.08544200142527814,0.02479754363235237,102,102
V40,0.7354812529487209,0.860137421089076,0.9363515328221178,0.40677315047732315,211,211
V5,0.7790724124846269,0.886748148125061,0.035384459590953064,0.01933853984391596,211,211
V6,0.4559628783543932,0.7328869908882949,0.11347327626019219,0.04530142796512249,211,211
V7,-2.155661767058635,0.5365775967737952,0.16901873955311375,0.11688894930544134,61,61
V8,0.8009484568282734,0.8969103162484191,0.06703874438073071,0.050594056736768665,211,211
V9,-0.3913303699884123,0.39733957072293874,0.08460247141240819,0.05877747452795997,61,61
