column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.11215411269050002,0.6787046324163198,0.10950589142560294,0.0755254886960903,419,419
V10,0.6652323211356341,0.8225689969047087,0.08353568108063464,0.060359695963687336,437,437
V11,0.5482219117422251,0.8007270258852234,0.057992377248428095,0.02506932789521962,443,443
V12,-0.8124471829562692,0.08850869205497677,0.12464098691181708,0.08648627642288015,434,434
V13,0.7417749205244901,0.8773529309694477,0.07219478351966671,0.04838407382371127,427,427
V14,0.3473879874105338,0.6254382730280217,0.1331172156312284,0.10113803812848748,416,416
V15,0.05439481484590425,0.7538384333733557,0.09981448948058796,0.06820695017127011,423,423
V16,0.5783991326054967,0.7641440107804113,0.0698350143913597,0.04558376429421328,417,417
V17,0.6493234663462499,0.8124095719152062,0.07951567776452811,0.048131731406339605,420,420
V18,0.3182659891247851,0.6401787303160205,0.07397997087175379,0.050919652782648886,431,431
V19,0.07513988100689684,0.28022173488677,0.060955446480423565,0.015702287551842806,432,432
V2,0.2593492668867089,0.5978219728579277,0.08821663972439855,0.06569093842359285,448,448
V20,0.15011828323468035,0.40576549567038567,0.08465403932768059,0.0484021856812885,415,415
V21,0.41236668014801825,0.6460114346371642,0.05696595793738175,0.024228060469553534,436,436
V22,0.13809371555333894,0.6631239966887816,0.11510990370848188,0.08125811711892017,430,430
V23,0.08717596487018153,0.3570087597934363,0.048287322199324065,0.006803214790487023,405,405
V24,0.565392508268048,0.761570787560387,0.1257666325754118,0.05543824252833243,423,423
V25,0.15514326711559656,0.45463322341390966,0.3247195590912513,0.19522293195665244,431,431
V26,0.049132962363227284,0.30168777951643105,0.05311807070045799,0.026606755490005247,437,437
V27,0.09122537836657729,0.7025011310419835,0.11195787946602362,0.07373503064299997,429,429
V28,-1.8971444999736402,-0.054043136745722364,0.11243614627400816,0.07801621202520423,419,419
V29,0.39443421675782575,0.6297781540531833,0.1314797037469955,0.05336943555118345,408,408
V3,0.6159094230497095,0.7980832683581304,0.0849314679223281,0.0486147482294671,402,402
V30,0.5866793755850965,0.7820292618911504,0.10807469377556181,0.0789206954242482,443,443
V31,0.5942980955604753,0.8030364183508009,0.08626998997954352,0.053725215565066535,442,442
V32,0.14782681963697386,0.4492046479203269,0.0876962894953827,0.034491275800432146,428,428
V33,0.4859762663389383,0.7026305403994515,0.09271165793046023,0.06147570011284044,394,394
V34,0.4884364386013407,0.7513787540686498,0.10356459231161232,0.0631837261577263,400,400
V35,0.203563434339599,0.4976330171847683,0.1698839928465455,0.12349435146000669,415,415
V36,0.6171609063208047,0.7956990680207949,0.07386497091225104,0.033579067428410755,422,422
V37,0.5892165293440668,0.7935232669001899,0.09559936195724515,0.06625327764522149,432,432
V38,0.5247604231341341,0.7558169033232099,0.10018932829390918,0.06412406407389146,424,424
V39,0.7654768233527902,0.8851384222656404,0.06032528658798417,0.03201673535723027,416,416
V4,0.18952440107464674,0.43560966221911646,0.07946952368619706,0.03634470431599935,414,414
V40,0.0037957179027900967,0.44733928833017816,2.1065923995926865,0.7422581638386874,410,410
V5,0.44132014155900423,0.701472964964091,0.05646638989371583,0.02571451837884072,429,429
V6,0.18512402172896048,0.5880209764028206,0.04908500918911759,0.03318393764732412,392,392
V7,0.615450974440981,0.7901313727774465,0.07674518741604923,0.054507216237993907,400,400
V8,-0.17614441558338867,0.6094801520232691,0.16880339921043816,0.13334566417818086,448,448
V9,0.3272647961838051,0.6027972043050425,0.0743354506394605,0.048409802533793345,399,399
