column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.7386000326013357,0.8812315247673012,0.06124248056768148,0.042456633486341044,207,207
V10,0.6478928543889723,0.8223452371358577,0.09145826706544692,0.053978978978978964,222,222
V11,0.3203937438044925,0.6253358143957379,0.07359177532512222,0.022548630408892413,229,229
V12,0.35690152472362213,0.6414525940655076,0.07923944624296408,0.037732615277840324,227,227
V13,0.7345633695344941,0.8898011242043182,0.07468226993128058,0.047696352507514396,198,198
V14,0.6706424240456016,0.8234716965492697,0.09210145118479952,0.06562441121559358,208,208
V15,0.7680346069425473,0.9016689292946873,0.044751955058657665,0.029358016810298978,195,195
V16,0.6592742475469326,0.8368181761299693,0.0686881518237093,0.038157894736842106,209,209
V17,0.6453013398924698,0.8493045291172858,0.08700582485378763,0.04397410782727195,199,199
V18,0.6881416677820742,0.8434302936869362,0.037025788376152315,0.018601886548649683,218,218
V19,-0.024826254826255,-0.009161597379472764,0.07795226118544249,0.00813397129186603,209,209
V2,0.5727521514800034,0.7829673783808953,0.06878240573254914,0.04421858702715421,242,242
V20,0.6522812667740205,0.812091140446054,0.058527551245055064,0.016910569105691053,205,205
V21,0.4423762376237623,0.7432921896488844,0.044038550605054426,0.006666666666666665,220,220
V22,0.7710963775388273,0.8831364609316844,0.058554092490976845,0.038406169665809765,215,215
V23,0.5904486692015198,0.7693679189412148,0.0059666221447538395,0.0030509173366316117,198,198
V24,0.5651282051282052,0.840808959847424,0.10295630140987,0.019,200,200
V25,0.6365313283208018,0.805955956217489,0.2264114306353151,0.10097087378640777,206,206
V26,0.45157232704402517,0.675033712751111,0.04038550218769218,0.007951070336391435,218,218
V27,0.8345890893558778,0.9204833572046394,0.044983667303872515,0.031359195366351005,215,215
V28,-0.21962200558668,-0.3254602205049157,0.07687760720523835,0.029405937831352202,198,198
V29,0.5929508196721314,0.7923095767479406,0.12780875765780456,0.025130890052356025,191,191
V3,0.5767972536348946,0.8025420905779257,0.08979346021329185,0.03464912280701754,190,190
V30,0.6635245393795424,0.8258952226479159,0.09813744784892207,0.059358850370927876,230,230
V31,0.6951905496514725,0.8647442714123357,0.0789761002144818,0.043725551670324395,234,234
V32,0.351674555010308,0.6170833633462163,0.08050888792228321,0.023275862068965515,232,232
V33,0.6522061744966443,0.8123357673454454,0.06914425381079432,0.036340206185567006,194,194
V34,0.4709496744858943,0.7619108705171165,0.12045710420875308,0.05056116722783389,198,198
V35,0.3541845905047939,0.6280246134741991,0.15858432827090463,0.1043594902749832,213,213
V36,0.5882654773427733,0.801042419919114,0.07965895074518392,0.027142689351991683,198,198
V37,0.6954175968945503,0.8512731806135226,0.08292109785340364,0.04983108969455917,216,216
V38,0.5216853356135102,0.7490416340599666,0.09396019150650821,0.05238693467336684,199,199
V39,0.5018541426618386,0.7551209917976153,0.09537105540553037,0.04006491320367573,218,218
V4,0.12719298245614075,0.36563782042239124,0.05787990801732326,0.010720268006700165,199,199
V40,0.9116228561578902,0.9548892548688253,0.6885045109064003,0.1971153846153846,208,208
V5,0.5178147536563991,0.7894272585269982,0.04291344528243137,0.019000507356671737,219,219
V6,0.28165553394774656,0.6241877245291461,0.051953882776507455,0.015544041450777193,193,193
V7,0.6677551020408163,0.822010174570876,0.06404520952962545,0.034580498866213144,196,196
V8,0.7299331210860378,0.8631175949549588,0.07904195118916427,0.05557338299548743,230,230
V9,0.27339548984747797,0.5630773881203752,0.08826171806660223,0.04178685897435897,208,208
