column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,-0.0016608190726894456,,0.11631320808806259,0.08827750523343363,419,419
V10,-0.010412887027462459,,0.14512749383556978,0.11335192138218066,437,437
V11,-0.012124750085277691,,0.08680112476065979,0.047486885854964446,443,443
V12,-0.0039059541339334647,,0.0927629848060873,0.05020346877305961,434,434
V13,-0.008576790557722092,,0.1426793406003066,0.11165351160150164,427,427
V14,-0.008979986834336762,,0.16551904400937376,0.1257740056440744,416,416
V15,-0.007931204300796413,,0.10305145135340937,0.07844360654756562,423,423
V16,-0.0015598920290769147,,0.10763684054231241,0.0823676168782842,417,417
V17,-2.2426929737751067e-06,,0.13427646506013077,0.0910238444770675,420,420
V18,-4.013529876445432e-06,,0.08959990455360212,0.05337711018326027,431,431
V19,-0.0016527241116199853,,0.06343560389729062,0.00893786041257949,432,432
V2,-0.01728287987044408,,0.10338669452319738,0.07240924416469796,448,448
V20,-0.00671340487070804,,0.09213430583595064,0.044890813253011995,415,415
V21,-0.0002024073815796168,,0.07432007616674191,0.019030398245171994,436,436
V22,-9.6624430392378e-06,,0.12398945902037532,0.09499770670173972,430,430
V23,-0.002341030509525721,,0.0505996301980293,0.00972092692727612,405,405
V24,-0.0003017997636500791,,0.19080175000244165,0.07585211120088577,423,423
V25,-6.584930697206559e-05,,0.3532898923598444,0.2516397465643405,431,431
V26,-0.0015921045579132542,,0.05451648450006888,0.019858108758599703,437,437
V27,-0.00532599902072084,,0.11775518143943332,0.09002173948201134,429,429
V28,-0.0016794270980005077,,0.0661127542887541,0.02706965459184845,419,419
V29,-0.0007679836039955479,,0.16902259082781998,0.05268660787344301,408,408
V3,-0.012057772531779865,,0.13786513687226798,0.08782942104180472,402,402
V30,-1.3701052587133944e-05,,0.16810609131879992,0.13337239865851325,443,443
V31,-0.017587491902103958,,0.1366287529502965,0.0865468472871497,442,442
V32,-0.009080028847450183,,0.09542893847580572,0.03229385592272943,428,428
V33,-0.00016600905504970953,,0.12932390413807104,0.09318835738293257,394,394
V34,-0.0034552871564283993,,0.14504758809539423,0.09504877014418998,400,400
V35,-0.004753064442816646,,0.19081237364894893,0.1398537005163511,415,415
V36,-0.00027191099628676163,,0.11939590399905296,0.06208208650585127,422,422
V37,-0.0015705884979935192,,0.14927576146435242,0.11279501335758457,432,432
V38,-0.00259762809429942,,0.14552194847296887,0.10544527255329965,424,424
V39,-0.0011014455829014835,,0.12463658873221775,0.08282770149809553,416,416
V4,-0.0012353026691585,,0.08832806470485616,0.028161512933947277,414,414
V40,-0.006159530426966153,,2.1170920117909127,1.0868254868595197,410,410
V5,-0.001699446042771502,,0.07560965077421997,0.03966189709001205,429,429
V6,-0.01699065396661803,,0.05483547374135491,0.03580219069876466,392,392
V7,-0.00010167045209108494,,0.12376486422637843,0.0963539016115352,400,400
V8,-0.01151900747902257,,0.1565445261607425,0.12966277097663836,448,448
V9,-0.007863852776668567,,0.09098605516637034,0.05699509826395255,399,399
