column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,-0.014687555832358035,,0.12066079310785849,0.09162465401344405,207,207
V10,-0.009970757979275602,,0.15489590938027623,0.11899399399399398,222,222
V11,-0.18511619743552332,,0.09718093267189426,0.03840809845176656,229,229
V12,-0.05733333548804942,,0.10160349664965186,0.045026370791070754,227,227
V13,-9.065506415240066e-05,,0.14496286591886245,0.10975037845377034,198,198
V14,-0.03157841822644025,,0.16299856018196152,0.11361826216535638,208,208
V15,-3.394904973719193e-05,,0.09291969724035742,0.07236544921192224,195,195
V16,-0.1523670962462076,,0.12632077342639675,0.08325358851674643,209,209
V17,-0.03262939288563671,,0.14845362132056855,0.09137495386537209,199,199
V18,-0.0007658711643965255,,0.06632723325635673,0.04716371624240854,218,218
V19,-0.008687258687258836,,0.07733602811121824,0.007177033492822967,209,209
V2,-0.025782488634621403,,0.1065773849322685,0.07145899114651558,242,242
V20,-0.04535695115405258,,0.10147956927889383,0.021138211382113824,205,205
V21,-0.01650165016501659,,0.05945883900105631,0.007575757575757575,220,220
V22,-0.0011759159123485574,,0.12245770570500128,0.09396783643211574,215,215
V23,-0.021727322107551572,,0.00942414302260355,0.005840720126434395,198,198
V24,-0.02564102564102555,,0.15811388300841897,0.025,200,200
V25,-0.20467836257309946,,0.4121928100068695,0.16990291262135923,206,206
V26,-0.028301886792452935,,0.0553001263609331,0.009174311926605505,218,218
V27,-0.09560056312176113,,0.11577076567610027,0.08465291416990878,215,215
V28,-6.109968252898668e-06,,0.06961271279528951,0.026168685008464018,198,198
V29,-0.043715846994535124,,0.20465780403866035,0.041884816753926704,191,191
V3,-0.2584814216478193,,0.1548438186920437,0.07017543859649121,190,190
V30,-0.5811217146479126,,0.21273586475916148,0.12897086522148457,230,230
V31,-0.10988851589890447,,0.15070274042820855,0.08615087597712065,234,234
V32,-0.04416504544266675,,0.10217199410459965,0.02101293103448276,232,232
V33,-0.3020134228187916,,0.13378360397248656,0.06443298969072163,194,194
V34,-0.24811408494368115,,0.18501675842438586,0.08249158249158249,198,198
V35,-0.0013977128335451727,,0.19747374519707095,0.14419852448021458,213,213
V36,-0.053387686809396095,,0.1274148534466456,0.0624451683421783,198,198
V37,-0.016573615430018673,,0.1514893338308256,0.11270672921659612,216,216
V38,-0.36126549807610053,,0.15851065623706034,0.08165829145728644,199,199
V39,-0.003961803514840989,,0.1353932216274193,0.08695527815992359,218,218
V4,-0.018274853801169444,,0.06251744591799506,0.008375209380234505,199,199
V40,-0.06841334137722987,,2.3939025107069902,0.6057692307692307,208,208
V5,-0.20573987328974863,,0.06785990316885739,0.02803145611364788,219,219
V6,-0.10150503086158791,,0.06433464034586499,0.019529693104822634,193,193
V7,-0.08163265306122458,,0.1155572998298495,0.086734693877551,196,196
V8,-0.004779418688817261,,0.15246050539423844,0.12742640212019196,230,230
V9,-0.06423130906709118,,0.10681723897730667,0.05909455128205127,208,208
