column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.7983638493705723,0.8945260641041162,0.052185865446816755,0.03605348148452098,419,419
V10,0.7299325050628492,0.8610582294250039,0.07503025376689546,0.05312125725579197,437,437
V11,0.5867384135618643,0.8105297886442113,0.055465233993689786,0.023249831478242576,443,443
V12,0.24850114248390265,0.5046714161045298,0.08025874449285587,0.0457333523106438,434,434
V13,0.8994206254785725,0.9503032932576716,0.04505687569449328,0.029160371580518204,427,427
V14,0.5347967322066994,0.754875073004988,0.11239010362519519,0.08242764788088433,416,416
V15,0.8825227331228094,0.939980186657938,0.035181599823677516,0.021859152301807905,423,423
V16,0.5520060175802817,0.7472385302391606,0.07198774496007955,0.04643317822459545,417,417
V17,0.7182077155371542,0.8492661923107616,0.07127938788073675,0.04667513859106297,420,420
V18,0.7701371168339495,0.8934480041113477,0.04295770787787384,0.025360600135388774,431,431
V19,0.09890279666117718,0.3175151059043022,0.06016727066907332,0.01853147445937475,432,432
V2,0.4806976710248064,0.7051225594849677,0.0738675878955754,0.052870208555636365,448,448
V20,0.16409612437092103,0.5034030517898931,0.08395500885510535,0.05640801940493927,415,415
V21,0.3197136794410075,0.5904735628148262,0.06129260325685808,0.03229059645572774,436,436
V22,0.6869390807769782,0.8309718347657187,0.06937405735204748,0.04730501951367372,430,430
V23,0.10246857344079252,0.3781671060417473,0.047881133245404744,0.006628497820480452,405,405
V24,0.5362563568728598,0.7334716726817184,0.12991395769320419,0.060247523056354925,423,423
V25,0.12441826840560977,0.4672384104906362,0.33057138683651677,0.23151453520840706,431,431
V26,-0.1739840404303199,0.2663284639278281,0.05902194170882244,0.03132269591348558,437,437
V27,0.860323303597051,0.9287647092391216,0.04389232095405271,0.02996524415577096,429,429
V28,-0.3990113100864907,-0.03460308176343647,0.07813245781237978,0.04721792908548737,419,419
V29,0.35984441575180526,0.6189074509403281,0.13518260839553833,0.06080581484345899,408,408
V3,0.7156110287111197,0.8480230706257508,0.07308162225295065,0.04576343348527338,402,402
V30,0.6118749205565077,0.7871613968297864,0.10472884849682527,0.07306402303821025,443,443
V31,0.7236685702863601,0.85092408663613,0.07119858563385627,0.04809454119277512,442,442
V32,0.33651972295371413,0.5965816163197499,0.07738045803262313,0.03995693616369593,428,428
V33,0.5605575066178237,0.7497803577953432,0.08572229440555362,0.05614564013258212,394,394
V34,0.5994593413552567,0.774397565097927,0.09163994136069366,0.05279004313526711,400,400
V35,0.3083538585860457,0.559612870559903,0.15831382558225413,0.11584056382485096,415,415
V36,0.69358594394049,0.8359939764171288,0.06608223655669382,0.03023208846012307,422,422
V37,0.6885438571459026,0.839428652816592,0.08324285449301486,0.058800249893342794,432,432
V38,0.6651146914867634,0.8162324243133972,0.0841033340096644,0.05180604186719806,424,424
V39,0.8238972769518789,0.9099598581081272,0.05227445882531081,0.02618452817247643,416,416
V4,0.015677595259086297,0.40507301609587454,0.08757886715214777,0.045011217849769095,414,414
V40,0.7832221314078416,0.8879423429190832,0.982683766620067,0.6332517666475979,410,410
V5,0.4991033007196447,0.7255785093602845,0.05346660400907418,0.024594791832526424,429,429
V6,0.3402348625702777,0.7041980985317533,0.04416698976333981,0.031302768833885546,392,392
V7,0.7441869423395027,0.8630251051484168,0.06259456818710402,0.044759605909743254,400,400
V8,0.733977025504838,0.8646693006762153,0.08028056770667853,0.05924345367480832,448,448
V9,0.5323272990746026,0.7407794925087374,0.06197904943263928,0.04331112527155359,399,399
