column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.6450582276519469,0.866296139785358,0.06923843581037954,0.05110462432574509,419,419
V10,0.6600426732380771,0.8522570243430733,0.08418068590282039,0.05955469992778306,437,437
V11,0.47281534278935855,0.8053941988773906,0.0626454757024252,0.027660263254383578,443,443
V12,-0.24300735125008122,0.1521841667274656,0.10322028358105019,0.06945074355844,434,434
V13,0.8253815202252595,0.9313388739705097,0.05936790314627609,0.041987864486288495,427,427
V14,0.5051859415444184,0.770981160223006,0.11591181555258083,0.08641942321893176,416,416
V15,0.6583393003834555,0.8953245372542225,0.059997918023839525,0.04667923142918607,423,423
V16,0.6021300421670552,0.799395985935652,0.06784112686124691,0.043455719839490856,417,417
V17,0.6486043547210694,0.8301428176847975,0.07959716505916377,0.04818592342952079,420,420
V18,0.3669893025514419,0.6532989268737883,0.07128730558483704,0.04568147420173788,431,431
V19,0.05293677358167026,0.3116159695769073,0.061682785455566755,0.01003628206556502,432,432
V2,0.3779986965206108,0.6926312061243194,0.08084244313860081,0.06018359491130752,448,448
V20,0.24667852524838507,0.5071281364379323,0.07970005412447233,0.042484535080786735,415,415
V21,0.43370782316933576,0.6740290920558549,0.05592197220642118,0.02080214799127323,436,436
V22,0.5399757209118052,0.7870802540339936,0.08409555549818731,0.057177679109247474,430,430
V23,0.06739917803929985,0.3546794852416453,0.048807603689075565,0.006801826596802721,405,405
V24,0.5278542670722526,0.7734393688906894,0.13108556282840297,0.046574141091273724,423,423
V25,0.22976110538597316,0.5519523056719606,0.31004850141076057,0.19850495124892595,431,431
V26,0.1364382827890872,0.3709318698371731,0.050620809629962564,0.021267860129979853,437,437
V27,0.6575878453038874,0.8800071660343141,0.0687228489533475,0.05073860375588703,429,429
V28,-0.7941576146491056,-0.10319493100057528,0.08848123376124943,0.05225225384121697,419,419
V29,0.42222402612974097,0.6637532960074892,0.1284274300545408,0.046346258827229404,408,408
V3,0.6128205698297038,0.8066840953744571,0.08527229314480356,0.04681258755702764,402,402
V30,0.5641105417205673,0.807510682280357,0.11098611724681086,0.08170968557401234,443,443
V31,0.6010504817303379,0.8421542028297189,0.08554905112941762,0.05244581045130193,442,442
V32,0.16540587359691528,0.5444906142253186,0.08678705459418386,0.032372221102613084,428,428
V33,0.5321358543702182,0.7580921179218361,0.08845097894730476,0.05727123129027692,394,394
V34,0.4825746014681256,0.7808162476865955,0.10415625836543806,0.06242079721732329,400,400
V35,0.21595399960128692,0.6162747074066988,0.16855732724761804,0.12234924655464341,415,415
V36,0.5934807097035699,0.8119893917658043,0.076115126025041,0.026455305842613238,422,422
V37,0.5845822768704909,0.811156116766711,0.0961371015393111,0.06819571787033549,432,432
V38,0.5679535111975749,0.8291416807792945,0.09552793826895764,0.06132199911331926,424,424
V39,0.757695078311153,0.8954497331548962,0.061317950080073395,0.030325974524622348,416,416
V4,0.16739505681370326,0.4150693179020608,0.08054714111495548,0.0299789338936528,414,414
V40,0.09099580055767309,0.8216247937458836,2.012283914740685,0.6854079343476369,410,410
V5,0.4194062115473488,0.7381623159689839,0.057563170721250195,0.02477994472003209,429,429
V6,0.40879884421039026,0.6795500904094609,0.04180909396263977,0.027803868493456566,392,392
V7,0.6514839169958067,0.8435165471176357,0.0730611839377851,0.05224379667379663,400,400
V8,0.41180575630799876,0.749310521634617,0.11937441254495562,0.09357361188962952,448,448
V9,0.3419413725522046,0.6805876112436873,0.07352011791131341,0.0461325289580345,399,399
