column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.6239362321669251,0.792027884028355,0.07167809079883303,0.05095701205432644,516,516
V10,0.5621927631287063,0.7616230082269045,0.09259905730759735,0.06322352428138808,556,556
V11,0.5114677282030369,0.7264067901697082,0.05621290056669613,0.022685543740082064,545,545
V12,0.014626923788374269,0.20192860846360214,0.08928457225525331,0.05333133358198723,517,517
V13,0.7687093462029762,0.8785200357757063,0.06953174354493376,0.04650031016161945,534,534
V14,0.36312085348786116,0.6173430008566955,0.13168233584240002,0.094366962114035,524,524
V15,0.791000277849469,0.8895620604852383,0.04561917240989067,0.031003795584814236,521,521
V16,0.5435362054654327,0.7434707956371087,0.07163728413245013,0.04407044684065276,513,513
V17,0.4621730755788175,0.6835593330948644,0.09444927939340016,0.05954716345009299,522,522
V18,0.24812585889202088,0.5160240172871503,0.07514341554747828,0.04803777472262315,540,540
V19,-0.0358802175705939,0.05927048914142603,0.06483293068388546,0.011823504096770836,549,549
V2,0.1885322226319195,0.4425762317088171,0.09507662989347516,0.0655783032796179,557,557
V20,0.3364175867678547,0.580996683180069,0.08654188627888346,0.03476114198288781,536,536
V21,0.5087646128081167,0.7550461882808588,0.052782786092130156,0.015319433273414776,558,558
V22,0.36711510754894483,0.6162175967777105,0.09851701990190041,0.0720048724052924,528,528
V23,0.051272320066401256,0.25337008485139734,0.0442424477412397,0.007760262312790529,508,508
V24,0.19666691805908132,0.44392532523767075,0.1632405502281513,0.05449692315883456,524,524
V25,0.44812740712144383,0.6709579141349327,0.26410826024307277,0.1374011605284819,539,539
V26,0.07767675856263989,0.28717076593483387,0.07339849297354202,0.0205802957676722,536,536
V27,0.8120800541445751,0.9025357048786187,0.04971609035619668,0.033254770120431015,535,535
V28,-0.017431811696199784,0.14279325967187637,0.07350817086592105,0.03195789682182503,511,511
V29,0.052725344487053016,0.44612478267854644,0.16982578375148913,0.05440352667700008,509,509
V3,0.5816188927006403,0.7654954847918009,0.08247591140940172,0.044435720854713354,513,513
V30,0.29662555875445795,0.5650751141507742,0.14003085747076846,0.10224539010839946,535,535
V31,0.5101097631849592,0.7194244027529926,0.09299280885188478,0.05988862122810322,535,535
V32,0.10545239518774263,0.34104259236384626,0.0877184563691501,0.032422353323435266,528,528
V33,0.2590621242399259,0.5688098207559322,0.10691000270622693,0.06391077602245071,521,521
V34,0.049239896561702134,0.29264244167451403,0.13277531476461382,0.08791432330629227,491,491
V35,-0.18260478313695394,0.10373365090233752,0.20700984095643593,0.14941550728637812,527,527
V36,0.15006294571775913,0.4038041784055012,0.11998886034616697,0.05817032789436077,545,545
V37,0.42808152782903275,0.6603224421833827,0.11475403818341642,0.07797970273731032,539,539
V38,0.33139324694882955,0.5800179190690873,0.11564211211044012,0.067001741813548,542,542
V39,0.5157553805012047,0.7199705345438789,0.08716760718474102,0.049072966541261615,541,541
V4,-0.07770113143546675,0.15432235441836936,0.09379397828231445,0.03154715213741277,527,527
V40,0.13588919644071673,0.45938864655722395,1.8842423400642967,0.688635865893363,502,502
V5,0.3588044942010613,0.6088143931242787,0.05942517297199721,0.024475405287211996,529,529
V6,0.5184119024210707,0.724240071302753,0.04918913001802883,0.019045962583813303,492,492
V7,0.501731528793085,0.7177179150389665,0.08774510056014108,0.048891255181509094,504,504
V8,0.5402658419536661,0.7397485392732446,0.10308194001431203,0.0754781455208152,553,553
V9,0.337199416100858,0.5861887424402203,0.07239625161875715,0.047233377199758515,496,496
