column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.8884883034889451,0.9476495816965602,0.03173504031743606,0.02371948499215528,105,105
V10,0.09358366643323046,0.5682124645625215,0.11166565901638707,0.07073810629018096,105,105
V11,-6.061228098439853,-0.7200074036444573,0.5476826645432226,0.4661509968178292,5,5
V12,0.039656041552139865,0.521639156623937,0.05559978417255146,0.04214739077142154,105,105
V13,0.8802066148557495,0.941859219554248,0.04922102168484739,0.03081212829754011,105,105
V14,-9.756121006895944,0.31838555231918647,0.3683431815882841,0.3510047778156091,87,87
V15,0.9534037299203687,0.9821414628302753,0.019934285016813078,0.013885729860754144,105,105
V16,-2.2529336748332778,0.6818817409943118,0.2671709053207441,0.2439776241874284,16,16
V17,-2432.192179828239,-1.0,0.5573717272533384,0.41849528911284034,2,2
V18,0.5845862357324427,0.7660784960196816,0.06359923350209212,0.033884253442607676,105,105
V19,-11.571428571428568,0.43272203048783425,0.5863019699779286,0.5624999999999998,8,8
V2,0.0,,0.6238873189791005,0.6238873189791005,1,1
V20,0.0,,0.5388015886305914,0.5384557017501168,2,2
V21,-5.968944099378885,-0.09334158393081267,0.5075192189225524,0.4696969696969698,22,22
V22,-9.899732274452335,0.032864980593998325,0.2424482657683894,0.2082737013368487,21,21
V23,0.0,,0.9677813011932207,0.9677813011932207,1,1
V24,0.0,,1.0000000000000004,1.0000000000000007,42,42
V25,0.0,,0.7868154660566532,0.7739176072451822,105,105
V26,-19.986796565718503,0.5978378091905071,0.7198558937700787,0.7053604252986068,3,3
V27,0.9435597108500848,0.9732590155131317,0.02999306233665386,0.021436602439303454,105,105
V28,-0.630003756684951,-0.46367285177376644,0.07892330965792564,0.03626312524942723,105,105
V29,0.0,,1.0000000000000002,1.0000000000000002,28,28
V3,-20.997123493892893,0.23320166730526698,0.3384794698806595,0.3308392793667202,4,4
V30,0.0,,0.49308643377743133,0.49308643377743133,1,1
V31,-2467.199332357804,-1.0,0.6147268665792219,0.6145894865812355,2,2
V32,-32.32016114244733,0.9460550667257206,0.624876498508349,0.619481122647614,4,4
V33,0.0,,0.607871380092766,0.6063017764599837,2,2
V34,-5.870666619488893,-0.48972134059520345,0.47401141398488444,0.41653543039280544,15,15
V35,-48.752113187204905,-0.1268321969685465,0.5610332139033527,0.5520970562391845,20,20
V36,-1.7690540058662765,-0.3604665269193641,0.35070415763920354,0.26851894649018565,97,97
V37,-252.37787185089454,-0.46476988988887075,0.30431999171771273,0.1700874728585054,7,7
V38,-21.895134348150965,-0.45908101535198725,0.47179612539777877,0.43146381135842143,15,15
V39,-12.101385085191513,0.4717387283571982,0.3697481434428965,0.3567870822844665,54,54
V4,0.0,,0.8917577344533635,0.8917577344533635,1,1
V40,-171.29983047904145,-0.14240740690563597,24.751194304134827,24.67777498999807,3,3
V5,0.0,,0.9659523657075498,0.9659523657075498,1,1
V6,-2.350527814809819,0.39422904488337634,0.42199353249603455,0.36151734944148345,26,26
V7,-2.7985338365421355,0.2448935432764804,0.2884397506185099,0.24766976527378032,33,33
V8,0.7038088426637252,0.8427381600606494,0.076564784959077,0.05783273179629101,105,105
V9,-55.18404671863797,0.7454292060073453,0.7650166577614366,0.7609984410482364,3,3
