column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.7197379852295629,0.8580764199985524,0.0503107698293074,0.03624089137434335,105,105
V10,-0.33519230769230823,0.4964204027938585,0.13552757973093477,0.09222222222222227,105,105
V11,-7.0533073929961105,-0.6263340885057025,0.5848924461417835,0.5200000000000001,5,5
V12,-0.04701645937541876,0.4284356622950099,0.0580545757843747,0.030697820920310395,105,105
V13,0.7553324488735598,0.8815763019476953,0.070343244049992,0.044892722544875543,105,105
V14,-7.309361839998218,-0.04607901396314444,0.3237491455742946,0.29052536746545454,87,87
V15,0.8968655438310148,0.9528449534997706,0.029656983663634364,0.021990233437773427,105,105
V16,-4.702180685358257,0.09482245035461721,0.35373012311647994,0.3206250000000001,16,16
V17,-674.2162500000113,-1.0,0.29361495495427037,0.2471751412429377,2,2
V18,0.7034737536298581,0.887927242884715,0.053733237777446353,0.020619718309859123,105,105
V19,-11.571428571428571,,0.5863019699779287,0.5625,8,8
V2,0.0,,0.427328747492118,0.427328747492118,1,1
V20,0.0,,0.33333333333333337,0.33333333333333337,2,2
V21,-5.96894409937888,,0.5075192189225521,0.4696969696969697,22,22
V22,-17.776388482891615,-0.4105617918633344,0.3182124722729476,0.27496633614885546,21,21
V23,0.0,,0.9836734693877552,0.9836734693877552,1,1
V24,0.0,,1.0,1.0,42,42
V25,0.0,,0.47729395953596965,0.4,105,105
V26,-18.259999999999994,-0.32732683535398877,0.6896053621859067,0.6444444444444444,3,3
V27,0.767415193936283,0.8836454247681559,0.06088591896563046,0.03947744563129178,105,105
V28,-0.4211940376094543,-0.5660291759135029,0.07369494089738544,0.024155923879680786,105,105
V29,0.0,,1.0,1.0,28,28
V3,-93.2399999999999,-0.9999999999999998,0.7005949852327901,0.675,4,4
V30,0.0,,0.7449126701982661,0.7449126701982661,1,1
V31,-699.2836356320173,,0.32743799171688487,0.3272041186450594,2,2
V32,-47.373333333333335,-0.9999999999999996,0.7529110173187799,0.7374999999999999,4,4
V33,0.0,,0.6666666666666667,0.6666666666666667,2,2
V34,-8.517197986577184,-0.26085284885125437,0.5578840093614752,0.508888888888889,15,15
V35,-43.05161290322578,0.05503568156792406,0.5279146498734625,0.5142857142857142,20,20
V36,-1.8425267663389446,0.05090640387747052,0.3553264058022289,0.2858630289804726,97,97
V37,-795.6464134013818,0.40386280465609276,0.539608701104969,0.4999606634760375,7,7
V38,-31.070000000000007,-0.39254554345066817,0.5583830823607273,0.5316666666666667,15,15
V39,-13.787828349781552,0.4005154642668823,0.3928254317288756,0.3812130642346323,54,54
V4,0.0,,0.7333333333333334,0.7333333333333334,1,1
V40,-33.31249999999999,-0.5,11.045361017187261,10.666666666666666,3,3
V5,0.0,,1.0,1.0,1,1
V6,-2.697206851119894,0.18830637910760537,0.4432880824907079,0.38106508875739653,26,26
V7,-5.4911956521739125,-0.016523780255906496,0.3770591302821658,0.33434343434343433,33,33
V8,0.6031160732503253,0.8139545990772049,0.08862878143937195,0.05860829999215501,105,105
V9,-55.68666666666667,-0.13206763594884344,0.7684309410162445,0.7527777777777779,3,3
