column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.9173380234974148,0.9584439942765156,0.027821901498562184,0.020295666672108224,211,211
V10,0.3312223171665173,0.6878326346611048,0.0971910352724298,0.062181238442953556,211,211
V11,-4.538674198963191,-0.6724426031444395,0.48505589166466334,0.3587807808733322,5,5
V12,0.05227758802428362,0.533955197765829,0.053308409636959216,0.03527837762458342,211,211
V13,0.8722821622415943,0.9342290321084988,0.0477337618537314,0.025023740134238096,211,211
V14,-0.42671878491536885,0.7697021979906249,0.13415102182567124,0.11497691313360649,87,87
V15,0.9708092168827065,0.986232504058634,0.016653203466378743,0.012011978659036426,211,211
V16,-0.945424459091581,0.8940790539607564,0.20661352337821828,0.1946246483328699,16,16
V17,-771.4568352525811,-1.0,0.3140464146138023,0.23756491522048628,2,2
V18,0.9153855127071142,0.957903247409259,0.024429198647989626,0.01495646406838253,211,211
V19,-11.571428571428571,,0.5863019699779287,0.5625,8,8
V2,0.0,,0.44079152336416705,0.44079152336416705,1,1
V20,0.0,,0.5231360748771577,0.5231016702861992,2,2
V21,-5.96894409937888,,0.5075192189225521,0.4696969696969697,22,22
V22,-1.7558298256754132,0.6507821536939941,0.12190944795881116,0.09544204468655483,21,21
V23,0.0,,0.9645747597496199,0.9645747597496199,1,1
V24,0.0,,1.0,1.0,42,42
V25,0.0,,1.0,1.0,156,156
V26,-19.6598772661501,0.425110995547093,0.7142271531695599,0.6983515301514958,3,3
V27,0.9644634076575623,0.9821334695916388,0.022640638450901023,0.016046411443869174,211,211
V28,-0.08127800149526498,-0.2775740962120113,0.058733485421850265,0.02100209231024011,211,211
V29,0.0,,1.0,1.0,28,28
V3,-0.971368383641739,0.4561359291488837,0.10132888859945487,0.078356116596344,4,4
V30,0.0,,0.20818159844780204,0.20818159844780204,1,1
V31,-1233.2369451541008,-1.0,0.43470171162791243,0.433051132875373,2,2
V32,-15.395355042489733,0.8990698292915621,0.4383298608401857,0.4315866556984656,4,4
V33,0.0,,0.43246264451461475,0.43213569838266247,2,2
V34,-2.167566930331168,0.5010786646986796,0.3218490721848493,0.2808099768712846,15,15
V35,-30.232108744263076,-0.14665457041670205,0.44451197065494424,0.41959586805729493,20,20
V36,-1.3138003256511084,-0.26607338876632297,0.32058126659594105,0.2294336690890331,97,97
V37,-89.56611002869191,-0.08274099597190901,0.18194033858833944,0.11049268837461401,7,7
V38,-9.995441303541748,-0.211209458716196,0.3269558437838872,0.23883560172960522,15,15
V39,-7.919208114433083,0.5957832587224232,0.3050777571006204,0.29242617373159524,54,54
V4,0.0,,0.8222897362588416,0.8222897362588416,1,1
V40,-47.7640734363993,-0.463967233065962,13.167511998031696,12.599176636865993,3,3
V5,0.0,,0.9044438734604404,0.9044438734604404,1,1
V6,-1.8049962581516739,0.3976151216967174,0.3861138003322117,0.31993065826704903,26,26
V7,-1.1495462795994174,0.3939518953504196,0.21698040309142183,0.16777765302608794,33,33
V8,0.8989592818921069,0.9513232086108707,0.046299858229349164,0.03425046902326523,211,211
V9,-43.34774788083802,0.762514795095142,0.6796732355272368,0.6758219336157133,3,3
