column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.7157981511781131,0.9139838043903871,0.05066316207813403,0.03789046296440777,105,105
V10,-0.18228270070392738,0.5930509479823467,0.1275311980054689,0.08601852755702034,105,105
V11,-6.203823805543348,-0.6640247218182425,0.5531850254668568,0.48693243377561635,5,5
V12,-0.16935470559385912,0.4882462526225044,0.061352580687621214,0.04618997878034625,105,105
V13,0.8401369387295757,0.9454128120162799,0.05686018495040418,0.03831220305809945,105,105
V14,-11.776658670508258,0.33877080845073576,0.401451829741524,0.38691695217524424,87,87
V15,0.8834562565346386,0.9722653221203084,0.031526050610732916,0.02530448084028039,105,105
V16,-3.295793496092064,0.7590263498536631,0.3070246577809929,0.2883209567881819,16,16
V17,-2761.0298657249787,-1.0,0.5938420057894281,0.4777949629720214,2,2
V18,0.5382694911135006,0.769644883915261,0.06705107208133365,0.032959557586286,105,105
V19,-11.571428571428571,0.35632977712712466,0.5863019699779287,0.5625,8,8
V2,0.0,,0.6537669883009084,0.6537669883009084,1,1
V20,0.0,,0.7238403883455912,0.7238390112398732,2,2
V21,-5.96894409937888,0.12408362100905612,0.5075192189225521,0.4696969696969697,22,22
V22,-11.677827852813708,0.11380077480137352,0.2614770591596949,0.23540423446599615,21,21
V23,0.0,,0.9740580017363277,0.9740580017363277,1,1
V24,0.0,,1.0,1.0,42,42
V25,0.0,,0.828311482576252,0.8234534354763426,105,105
V26,-21.02496301287023,0.3089927900384367,0.7374457588401766,0.7214509662785676,3,3
V27,0.8537531793328775,0.9546686221033935,0.048280239064477724,0.035100663530564596,105,105
V28,-0.7963923236598465,-0.46293923473614207,0.08285363786017304,0.037265639294966395,105,105
V29,0.0,,1.0,1.0,28,28
V3,-22.744759953908464,-0.36335852674543245,0.35166834483635295,0.3432215528229569,4,4
V30,0.0,,0.5865129664258124,0.5865129664258124,1,1
V31,-2832.031323425456,-1.0,0.6585939960771918,0.6584731735766884,2,2
V32,-39.23463113023447,0.929142832532653,0.6866582727655985,0.6804393146018615,4,4
V33,0.0,,0.6651341617798048,0.6650140460596363,2,2
V34,-7.160360551996126,-0.4535363290929315,0.5165876689368911,0.4722357459115718,15,15
V35,-54.12312907849053,-0.130715010463684,0.5905405689347663,0.5833765594871345,20,20
V36,-1.8244847934257997,-0.05377077073328588,0.35419695392619466,0.2817222881949174,97,97
V37,-355.719577645774,-0.5161587176044441,0.3610851383223637,0.2841474294949254,7,7
V38,-24.457483011678878,-0.4269269277368263,0.49749704226054353,0.4707644114437146,15,15
V39,-13.439403643907115,0.46796649401924606,0.38817005091570267,0.3761268134358187,54,54
V4,0.0,,0.8928130064263801,0.8928130064263801,1,1
V40,-171.50023511084765,-0.4712712264844817,24.76558437192658,24.68211416020486,3,3
V5,0.0,,0.9548130186389137,0.9548130186389137,1,1
V6,-2.370700272273674,0.30799897359766115,0.42326197026161805,0.3611656107232253,26,26
V7,-3.620916302586732,0.2306733788608743,0.31813478883188945,0.2826327806964834,33,33
V8,0.675472878737104,0.8509616448037781,0.08014353996121953,0.06324657798392988,105,105
V9,-59.78186929474731,0.5521446182274541,0.7957037588325724,0.7904740114186865,3,3
