column,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored
V1,0.9470137591292735,0.9733733341302322,0.021875621354006735,0.013407655039362592,105,105
V10,0.3444337035309992,0.6834821901787573,0.09496511113234053,0.06453077075386432,105,105
V11,-5.6645500095150965,-0.7190578268841141,0.5320767595846914,0.43824059364941553,5,5
V12,0.025253079219222374,0.428078960943997,0.05601516730115561,0.03995259630863792,105,105
V13,0.858112309505824,0.9283426534828164,0.053568139788801906,0.026583712403456014,105,105
V14,-4.165469576325195,-0.09206881554696741,0.2552581981794089,0.21798113136779437,87,87
V15,0.9832409439328837,0.9918686968235131,0.011955007790390828,0.008591230004402267,105,105
V16,-3.205163092192107,-0.06975025390039102,0.30376867014631,0.26057901065806965,16,16
V17,-3363.7832992490835,-1.0,0.6554435275333135,0.6029567371783906,2,2
V18,0.2530339443499,0.5339153499397387,0.08528288308164003,0.03682660652632189,105,105
V19,-11.571428571428571,,0.5863019699779287,0.5625,8,8
V2,0.0,,0.7071807744440215,0.7071807744440215,1,1
V20,0.0,,0.6698905557180244,0.668542355698047,2,2
V21,-5.96894409937888,,0.5075192189225521,0.4696969696969697,22,22
V22,-12.428534060861859,-0.022935280773491988,0.2691072939531,0.24010295567625453,21,21
V23,0.0,,0.9414391045751361,0.9414391045751361,1,1
V24,0.0,,1.0,1.0,42,42
V25,0.0,,0.4149476724747702,0.2668199617217227,105,105
V26,-16.327011208897037,0.4656789491973312,0.6540851911308779,0.6389309737392638,3,3
V27,0.9713465928864364,0.9863315068788847,0.021370482627720396,0.013444355598220745,105,105
V28,0.11412475603090277,0.37033093268834466,0.05818315525026389,0.016090028608071065,105,105
V29,0.0,,1.0,1.0,28,28
V3,-23.706125695519404,0.7018252679994925,0.35871679358164577,0.3549732732017987,4,4
V30,0.0,,0.557587378651718,0.557587378651718,1,1
V31,-802.5578131057972,1.0,0.35075239339331066,0.35061413061163627,2,2
V32,-24.535265175182605,-0.5099477717962846,0.5470296050230473,0.5346772433861691,4,4
V33,0.0,,0.6928544551491904,0.679296704941801,2,2
V34,-5.6545755851890105,-0.143507397987687,0.46649773831214997,0.415167340803106,15,15
V35,-43.70055170308662,-0.0071179841512703165,0.5317888760907034,0.5097744340838768,20,20
V36,-1.4575307186537105,-0.35415554172377145,0.3303883150415008,0.24630601822063514,97,97
V37,-536.4062968160939,-0.675377267379269,0.4431977192141475,0.4021393413863809,7,7
V38,-17.004995582461177,-0.5887072914366487,0.4183880592976059,0.36900995971436334,15,15
V39,-9.861135044584168,0.5735670927168447,0.3366549487498432,0.32604355781441496,54,54
V4,0.0,,0.6790091895422411,0.6790091895422411,1,1
V40,-83.21904612688779,-0.5,17.304493559189922,16.160541632830427,3,3
V5,0.0,,0.9273548602639854,0.9273548602639854,1,1
V6,-2.0952204895990434,0.10302927207944805,0.40559722686146044,0.33420294056532696,26,26
V7,-2.66323056384075,0.13812663034332262,0.28325607876918135,0.24226520231589302,33,33
V8,0.8339925651033434,0.9146175062929689,0.057320080580125395,0.04146197133357587,105,105
V9,-55.05456372950647,-0.887331538906523,0.7641346121696703,0.7562579039201021,3,3
