,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
sudoku,0.2852649374753778,0.5687397041728472,0.23034380313796285,0.14986110724835922,299.83838383838383,299.83838383838383,0.4
median,-0.5527612329937512,,0.3143078315282563,0.1742870229345702,299.83838383838383,299.83838383838383,0.4
mean,-0.43762376207174297,,0.2929413193504263,0.21088048560027883,299.83838383838383,299.83838383838383,0.4
knn,0.16947879493876494,0.5022873815508329,0.24078105159824809,0.14619007787579313,299.83838383838383,299.83838383838383,0.4
factorization,0.16885098485039637,0.5207105164333184,0.2417071392946944,0.12975335394903045,299.83838383838383,299.83838383838383,0.4
softimpute,0.014440961143500061,0.42459957371122303,0.26524973162693927,0.1482775794701363,299.83838383838383,299.83838383838383,0.4
missforest,-0.7418426081512749,0.6028103348333707,0.24695083308712146,0.16540597736404541,299.83838383838383,299.83838383838383,0.4
mice,0.2394361581945414,0.5314939424284509,0.2320431586265899,0.16027679544978532,299.83838383838383,299.83838383838383,0.4
sudoku,0.1647520762166311,0.5082040286200937,0.27846416764056614,0.20979893839635191,346.3131313131313,346.3131313131313,0.5
mean,-0.490751387233636,,0.29612560321266884,0.2137552533931614,346.3131313131313,346.3131313131313,0.5
factorization,-0.10603541086463623,0.44098335005085104,0.2618632814029997,0.14420512886784728,346.3131313131313,346.3131313131313,0.5
softimpute,-0.13597450106944964,0.38803404169113326,0.2751604641073188,0.15428176643978628,346.3131313131313,346.3131313131313,0.5
missforest,-1.4945872693891236,0.5395597567290268,0.39795334134775634,0.2981223627781601,346.3131313131313,346.3131313131313,0.5
mice,-0.13341659191970562,0.46616096009049657,0.25849719530238413,0.18247324680454519,346.3131313131313,346.3131313131313,0.5
knn,0.051523648046232044,0.4413788457616021,0.25316354630668825,0.15203483019769576,346.3131313131313,346.3131313131313,0.5
median,-0.7044900799251543,,0.3205145640366635,0.18017877257425535,346.3131313131313,346.3131313131313,0.5
sudoku,0.4407724939659345,0.6159922043425741,0.20466043650567584,0.137284779449057,88.78787878787878,88.78787878787878,0.1
mean,-0.2882479589109094,,0.28020442081053304,0.20812476523457227,88.78787878787878,88.78787878787878,0.1
median,-0.41561630160283014,,0.3021465795694523,0.16778872848902437,88.78787878787878,88.78787878787878,0.1
knn,0.2697201673974543,0.5456621247730473,0.22512296668488932,0.13765626647310517,88.78787878787878,88.78787878787878,0.1
factorization,0.43062148393228256,0.6057061047996753,0.20848067358877176,0.11045949025053557,88.78787878787878,88.78787878787878,0.1
mice,0.5135385227981486,0.6104446453700008,0.19172224402610505,0.13283414874166144,88.78787878787878,88.78787878787878,0.1
softimpute,0.18412232858327887,0.46536198248042754,0.24583285862497709,0.14002172953865974,88.78787878787878,88.78787878787878,0.1
missforest,0.3234710666297451,0.6258784955855178,0.19410798754503283,0.1287838561623986,88.78787878787878,88.78787878787878,0.1
sudoku,0.20707485810734177,0.5859587360279819,0.22501950691808817,0.14234572862798966,170.83838383838383,170.83838383838383,0.2
factorization,-0.04321988429471412,0.576481369757854,0.2159275822367882,0.11140048759657144,170.83838383838383,170.83838383838383,0.2
mice,-0.3351844685290553,0.5613939471989826,0.20950392266382434,0.13864276685479338,170.83838383838383,170.83838383838383,0.2
median,-0.4377771333499168,,0.3032279039845498,0.1650167347862159,170.83838383838383,170.83838383838383,0.2
softimpute,0.10877071752915578,0.4469198309651687,0.2498294646049506,0.13853771662099212,170.83838383838383,170.83838383838383,0.2
missforest,-0.1791492879146752,0.6235496022111413,0.20602994072464242,0.12934675542715945,170.83838383838383,170.83838383838383,0.2
mean,-0.6134362350371689,,0.28366350176119426,0.20442171144931917,170.83838383838383,170.83838383838383,0.2
knn,0.24872457611950696,0.5308183870795297,0.230287524910821,0.13752650153164664,170.83838383838383,170.83838383838383,0.2
sudoku,0.3261196963703231,0.5814856225055983,0.22548278281270923,0.14241915004477104,241.0909090909091,241.0909090909091,0.3
mice,0.08748419654871337,0.5545223308533287,0.2223836623095837,0.14467208337005869,241.0909090909091,241.0909090909091,0.3
factorization,0.17719990018138926,0.5583454588858473,0.23393233877958386,0.1221251514336285,241.0909090909091,241.0909090909091,0.3
mean,-0.5091620244659045,,0.2951089033496146,0.20956735039516478,241.0909090909091,241.0909090909091,0.3
knn,0.2275840775347091,0.5097652409007009,0.24022837767259422,0.14100834419626132,241.0909090909091,241.0909090909091,0.3
median,-0.48104940087007614,,0.31536943059718336,0.17181896016667716,241.0909090909091,241.0909090909091,0.3
softimpute,0.08126467308623697,0.43848077593313806,0.2639079050222182,0.1457555331721092,241.0909090909091,241.0909090909091,0.3
missforest,-15.401091980565017,0.6159466570758433,0.22876436380602352,0.14268492427373367,241.0909090909091,241.0909090909091,0.3
