,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
sudoku,0.07185983460947286,0.038293192723078254,0.1294661739977753,0.08485487467167839,9.186266302129273,9.186266302129273,0.4
median,0.09122659401026414,,0.12528653475262327,0.04804633658603397,9.186266302129273,9.186266302129273,0.4
mean,0.10039350450985643,,0.11579261053426657,0.07408826257361172,9.186266302129273,9.186266302129273,0.4
knn,0.07777823188234083,0.03769865142969492,0.12592985998950137,0.0738050856474148,9.186266302129273,9.186266302129273,0.4
factorization,0.07660786557917428,0.03845689461118589,0.12558325607915471,0.04801795013371357,9.186266302129273,9.186266302129273,0.4
softimpute,0.06501359512961832,0.034673149426188495,0.12419776974980497,0.04962451257452355,9.186266302129273,9.186266302129273,0.4
missforest,0.5168253341943815,0.035091196078734906,0.13380617371073145,0.08926477090853002,9.186266302129273,9.186266302129273,0.4
mice,0.07983439549696952,0.03987456140134735,0.12425945477685357,0.08331733339878027,9.186266302129273,9.186266302129273,0.4
sudoku,0.07280200406046147,0.03867272405929516,0.16636633983330423,0.1356932020022566,12.619338773612862,12.619338773612862,0.5
mean,0.10979357872968484,,0.11584815615731327,0.07436533080960778,12.619338773612862,12.619338773612862,0.5
factorization,0.10955620987315384,0.03782845012479127,0.1252361069764569,0.04711707714339076,12.619338773612862,12.619338773612862,0.5
softimpute,0.08994119562732268,0.035503857939904904,0.12429120029404489,0.0483785032661417,12.619338773612862,12.619338773612862,0.5
missforest,0.5184768111064185,0.03490891227547318,0.25227842271297213,0.1942974170601,12.619338773612862,12.619338773612862,0.5
mice,0.14551617973882813,0.039952826083575595,0.13326277213619786,0.09192653336850633,12.619338773612862,12.619338773612862,0.5
knn,0.0792298249736687,0.037958114929340224,0.12730481012997671,0.07080093619260829,12.619338773612862,12.619338773612862,0.5
median,0.1409817919096747,,0.12497277362452712,0.04732298154326445,12.619338773612862,12.619338773612862,0.5
sudoku,0.05480122043121067,0.04189611850620587,0.11945667174487498,0.08469944383304465,0.7882711548567578,0.7882711548567578,0.1
mean,0.07950656580113862,,0.10812971642132087,0.07653750848857793,0.7882711548567578,0.7882711548567578,0.1
median,0.0660564331214019,,0.11851716090400331,0.0485512261295817,0.7882711548567578,0.7882711548567578,0.1
knn,0.0860032896532782,0.039155770522598374,0.12036397628535976,0.07369043994895598,0.7882711548567578,0.7882711548567578,0.1
factorization,0.05026492467295885,0.0407294174531957,0.1187410823691913,0.049208654185952445,0.7882711548567578,0.7882711548567578,0.1
mice,0.041185461637966575,0.04265539724074834,0.10882506821315488,0.0769786559209871,0.7882711548567578,0.7882711548567578,0.1
softimpute,0.04000525517072292,0.036624999009969114,0.11643798572327357,0.051816351382378494,0.7882711548567578,0.7882711548567578,0.1
missforest,0.15380338549419162,0.04270750288159293,0.1111601553462216,0.07859514569261078,0.7882711548567578,0.7882711548567578,0.1
sudoku,0.16283763539863602,0.041676429775787886,0.13512279550085685,0.08579187173147651,2.8358771028787264,2.8358771028787264,0.2
factorization,0.4121351973579161,0.04002119215469335,0.12168521971579692,0.04588370069329571,2.8358771028787264,2.8358771028787264,0.2
mice,0.6274307029321292,0.04141861638659985,0.11444645489433732,0.07182977139787525,2.8358771028787264,2.8358771028787264,0.2
median,0.06695637577547597,,0.1213943101929597,0.04557176539191453,2.8358771028787264,2.8358771028787264,0.2
softimpute,0.05635412445262607,0.035372960066709654,0.119818442023846,0.04829156288348938,2.8358771028787264,2.8358771028787264,0.2
missforest,0.47408230344811836,0.039317724355655406,0.11996555282831244,0.07628617570313846,2.8358771028787264,2.8358771028787264,0.2
mean,0.2893515226082399,,0.11261775053673309,0.072293796389969,2.8358771028787264,2.8358771028787264,0.2
knn,0.07816704286198231,0.038644519027034266,0.12466459504746324,0.0721397206862227,2.8358771028787264,2.8358771028787264,0.2
sudoku,0.06858148779058715,0.0399497196238678,0.1308396320879639,0.08226720058058919,5.711039678848049,5.711039678848049,0.3
mice,0.2589284375953895,0.04060094900294258,0.12328977652411352,0.0750129633387837,5.711039678848049,5.711039678848049,0.3
factorization,0.15037470879524825,0.03935730622230402,0.13073939553152397,0.0498914327293305,5.711039678848049,5.711039678848049,0.3
mean,0.15684951003292513,,0.1206153553684857,0.07496449730378985,5.711039678848049,5.711039678848049,0.3
knn,0.07457294402916453,0.0385861426815106,0.13042770407503682,0.07270725581595075,5.711039678848049,5.711039678848049,0.3
median,0.07610750991078609,,0.13041399750595964,0.0497160592998206,5.711039678848049,5.711039678848049,0.3
softimpute,0.052010872668096675,0.035289903697616566,0.12906189235639812,0.05178593572292756,5.711039678848049,5.711039678848049,0.3
missforest,15.629219245984364,0.037170373254122605,0.12879233046830368,0.07746245906471616,5.711039678848049,5.711039678848049,0.3
