,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
sudoku,0.4179806731212736,0.5813848526134123,0.21847046133568937,0.1408159469108669,359.44444444444446,359.44444444444446,0.4
factorization,0.44289940771055697,0.5807869370292991,0.21057415257944928,0.10968962283313309,359.44444444444446,359.44444444444446,0.4
mean,-0.0050537823055215965,,0.267742793992927,0.19513179363384447,359.44444444444446,359.44444444444446,0.4
mice,0.4425058225827678,0.5725250073834014,0.20059205240949404,0.13672208278423387,359.44444444444446,359.44444444444446,0.4
knn,0.38521053402507827,0.5622716068288045,0.21966216121857896,0.13736016997620387,359.44444444444446,359.44444444444446,0.4
median,-0.17108533591069414,,0.2889035568521877,0.1527767185708299,359.44444444444446,359.44444444444446,0.4
missforest,0.4256618324477777,0.5986067956091947,0.22283648912000675,0.1450348653264716,359.44444444444446,359.44444444444446,0.4
softimpute,0.22789890055431772,0.452942137281647,0.24448890689601752,0.13569664946272106,359.44444444444446,359.44444444444446,0.4
sudoku,0.3307145848210917,0.5248578955113049,0.23347855607312926,0.15106511285114396,449.1313131313131,449.1313131313131,0.5
median,-0.17187750360919682,,0.2930603486926535,0.15651769085552417,449.1313131313131,449.1313131313131,0.5
mean,-0.004157119342267743,,0.270336905048493,0.19599676752028738,449.1313131313131,449.1313131313131,0.5
missforest,0.372876178227207,0.5810196841426812,0.24567705991308803,0.15296144097636039,449.1313131313131,449.1313131313131,0.5
softimpute,0.18983476496221818,0.4375650803619287,0.2533552697359272,0.1422716759807279,449.1313131313131,449.1313131313131,0.5
factorization,0.38675706176929064,0.5518496108314542,0.22469032949174694,0.11979549986273302,449.1313131313131,449.1313131313131,0.5
knn,0.3433771606775109,0.5311836916200492,0.2320169320451167,0.1419808705304977,449.1313131313131,449.1313131313131,0.5
mice,0.3848651975948919,0.5478229266890207,0.2284395079703056,0.1576141236818541,449.1313131313131,449.1313131313131,0.5
sudoku,0.48197592862747757,0.6314000925286506,0.18460579109995298,0.11972960841381032,90.04040404040404,90.04040404040404,0.1
knn,0.40351948636468865,0.5847948505169034,0.19085967402189197,0.11998460054548354,90.04040404040404,90.04040404040404,0.1
mean,-0.011304217715771704,,0.2593946208563373,0.18787545896738334,90.04040404040404,90.04040404040404,0.1
median,-0.1712710671685229,,0.2749864836305178,0.13964446088845575,90.04040404040404,90.04040404040404,0.1
factorization,0.4776770750223283,0.6169383802206128,0.18366240261256653,0.08958835504705373,90.04040404040404,90.04040404040404,0.1
missforest,0.4640872884443531,0.6386380176341862,0.17017362438315464,0.1140768604714787,90.04040404040404,90.04040404040404,0.1
softimpute,0.3009516873999695,0.4890853808108429,0.219798057360622,0.11641552777818692,90.04040404040404,90.04040404040404,0.1
mice,0.553904362526546,0.6369255638106497,0.17391546240059594,0.1161916574640128,90.04040404040404,90.04040404040404,0.1
sudoku,0.4703675554744738,0.6174407350201278,0.1898305822417607,0.12141416338733206,179.67676767676767,179.67676767676767,0.2
mice,0.5034850704911619,0.6052923952486399,0.1813062628691444,0.12406131034873506,179.67676767676767,179.67676767676767,0.2
missforest,0.41417441824572804,0.6228111811923694,0.18621371923982086,0.12233594020367551,179.67676767676767,179.67676767676767,0.2
softimpute,0.28172085169106786,0.4793984434029009,0.22573257109792338,0.12494560225899283,179.67676767676767,179.67676767676767,0.2
median,-0.1722604525148703,,0.2779942792262445,0.14674552877461233,179.67676767676767,179.67676767676767,0.2
mean,-0.007320672799077617,,0.25890069916066194,0.1900881018864578,179.67676767676767,179.67676767676767,0.2
factorization,0.4730323537841649,0.6072762867300359,0.18906546476374733,0.09701358647218543,179.67676767676767,179.67676767676767,0.2
knn,0.38428682234150124,0.5802159939749204,0.20377683009988246,0.12921578667323516,179.67676767676767,179.67676767676767,0.2
sudoku,0.4385739170552293,0.5977543699174678,0.20059914630983114,0.12949846903957057,269.8989898989899,269.8989898989899,0.3
median,-0.17105302422071098,,0.28440950679910765,0.1501070159787805,269.8989898989899,269.8989898989899,0.3
mice,0.4804973306881879,0.5942209040088077,0.19131571400365965,0.13135896304924902,269.8989898989899,269.8989898989899,0.3
factorization,0.46832714837422,0.5971308986356136,0.20008438026110958,0.10305016574572824,269.8989898989899,269.8989898989899,0.3
knn,0.38624783373579535,0.5634109888458009,0.21965008237913647,0.13739826182094717,269.8989898989899,269.8989898989899,0.3
missforest,0.4566947897968046,0.6114508907935923,0.19888992389576166,0.13165846610103124,269.8989898989899,269.8989898989899,0.3
softimpute,0.2538086128078125,0.46033321657270354,0.23623772287752537,0.13090205296341637,269.8989898989899,269.8989898989899,0.3
mean,-0.005539809907035167,,0.26409664879255484,0.19416227557599094,269.8989898989899,269.8989898989899,0.3
