,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
sudoku,0.04848882649656193,0.040727833677599225,0.12310781603158527,0.08215258807977042,1.5931997200003385,1.5931997200003385,0.4
factorization,0.04214918592394148,0.03966591165046305,0.11429924396763917,0.04470361320115812,1.5931997200003385,1.5931997200003385,0.4
mean,0.000777005629324936,,0.10500351755236059,0.07139254307209138,1.5931997200003385,1.5931997200003385,0.4
mice,0.04356094702236529,0.040850446595861685,0.10553259960857983,0.07172764597591944,1.5931997200003385,1.5931997200003385,0.4
knn,0.04382571288405606,0.03802722512667058,0.11707810377973907,0.07584584486590677,1.5931997200003385,1.5931997200003385,0.4
median,0.014143057302982586,,0.11385811958261732,0.044500244770712086,1.5931997200003385,1.5931997200003385,0.4
missforest,0.05296440268137646,0.041272963656669506,0.1327839720689809,0.09215836326797108,1.5931997200003385,1.5931997200003385,0.4
softimpute,0.028380525653664307,0.03505232909089278,0.1123084894284982,0.046676940522457466,1.5931997200003385,1.5931997200003385,0.4
sudoku,0.042804241795223824,0.03755581587929065,0.12175981446012005,0.0817160020580452,1.6420348318227243,1.6420348318227243,0.5
median,0.014023028932136632,,0.11753927597680727,0.04811452023598941,1.6420348318227243,1.6420348318227243,0.5
mean,0.0005205000464967315,,0.1072482866775384,0.07228604380978344,1.6420348318227243,1.6420348318227243,0.5
missforest,0.05532801764055729,0.04024889741397255,0.14864828223955764,0.09615110585328748,1.6420348318227243,1.6420348318227243,0.5
softimpute,0.029602665492372438,0.03391118750226796,0.1161212996832354,0.049835030167540255,1.6420348318227243,1.6420348318227243,0.5
factorization,0.03978709762615739,0.03817288005958835,0.11794661524757505,0.04819493005214755,1.6420348318227243,1.6420348318227243,0.5
knn,0.043016614499799564,0.037302612970360034,0.1232394264197999,0.07701893187113652,1.6420348318227243,1.6420348318227243,0.5
mice,0.043744907673314716,0.039409046568541,0.12490970845166287,0.08647462171042783,1.6420348318227243,1.6420348318227243,0.5
sudoku,0.054288146946446736,0.042428576656592984,0.10713897305961272,0.07108727845106932,0.8396383855044577,0.8396383855044577,0.1
knn,0.05291296300027661,0.041364673293082334,0.09779666471037658,0.06298988796813242,0.8396383855044577,0.8396383855044577,0.1
mean,0.0018017733307378035,,0.09836721384721123,0.0642945780108552,0.8396383855044577,0.8396383855044577,0.1
median,0.014996858573666,,0.10206247098277985,0.03264127382504226,0.8396383855044577,0.8396383855044577,0.1
factorization,0.05035714542534539,0.04185991640231726,0.10239116948440584,0.033235922583835224,0.8396383855044577,0.8396383855044577,0.1
missforest,0.0873146982307567,0.04367484700393174,0.09778324159265316,0.06922130532000052,0.8396383855044577,0.8396383855044577,0.1
softimpute,0.03174666229767387,0.03812799869889054,0.10037883181328586,0.03595286790492232,0.8396383855044577,0.8396383855044577,0.1
mice,0.04206879392073681,0.04142779416585292,0.0990051748009777,0.06478344731659264,0.8396383855044577,0.8396383855044577,0.1
sudoku,0.05153245646706571,0.04213038328996669,0.10703056063406556,0.0704790537830763,1.1959896813255548,1.1959896813255548,0.2
mice,0.041936107096727605,0.04108130004157795,0.09728748884313959,0.06659110131800475,1.1959896813255548,1.1959896813255548,0.2
missforest,0.1026904253380883,0.04232529860054685,0.10705367592389745,0.07496771248296624,1.1959896813255548,1.1959896813255548,0.2
softimpute,0.028627833930151617,0.036339957372194955,0.101455374796061,0.0410546791451945,1.1959896813255548,1.1959896813255548,0.2
median,0.014491052204222086,,0.10325537676067832,0.03840886179447122,1.1959896813255548,1.1959896813255548,0.2
mean,0.0011012596223073554,,0.09668132783469832,0.06620641370769535,1.1959896813255548,1.1959896813255548,0.2
factorization,0.047623685939925504,0.04084045904206101,0.10360543364221492,0.03880873408783052,1.1959896813255548,1.1959896813255548,0.2
knn,0.060482771710860604,0.040631940766233644,0.10813057029818257,0.0713642544297484,1.1959896813255548,1.1959896813255548,0.2
sudoku,0.049816798820345023,0.04107801145169805,0.11044969811239208,0.0743951923037444,1.4006282235603706,1.4006282235603706,0.3
median,0.013753400151612924,,0.10927862276326075,0.04190868533132813,1.4006282235603706,1.4006282235603706,0.3
mice,0.041395420467286545,0.040265848481760985,0.10192369585502944,0.07072287503167693,1.4006282235603706,1.4006282235603706,0.3
factorization,0.04354600465177267,0.04010669298029656,0.10969402476001691,0.04222799027632314,1.4006282235603706,1.4006282235603706,0.3
knn,0.04768618920290458,0.039788489233331156,0.11960659007168276,0.07723147611959202,1.4006282235603706,1.4006282235603706,0.3
missforest,0.056125759543425566,0.041480518005601666,0.11402303922540856,0.08138816290128517,1.4006282235603706,1.4006282235603706,0.3
softimpute,0.02819408960455332,0.03590623057129158,0.10759588915945537,0.044446576963331236,1.4006282235603706,1.4006282235603706,0.3
mean,0.0008900421519040463,,0.10135513605878456,0.07035538433888913,1.4006282235603706,1.4006282235603706,0.3
