,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
sudoku,-16.84253390507836,0.11812087158155855,1.1885486017123452,1.1523943470151337,115.91919191919192,115.91919191919192,0.4
mean,-38.49844939569094,,1.335396865256299,1.3065988448956551,115.91919191919192,115.91919191919192,0.4
knn,-22.792443631329288,0.07737421618473271,1.2496322626004268,1.2101166174850957,115.91919191919192,115.91919191919192,0.4
factorization,-20.861967587427365,0.1100520195583839,1.2698390317655868,1.236313270997795,115.91919191919192,115.91919191919192,0.4
mice,-18.080087533505463,0.2585236231548286,1.1878362959427617,1.153908667675394,115.91919191919192,115.91919191919192,0.4
median,-44.021259225286975,,1.4110367333459224,1.3830866310093315,115.91919191919192,115.91919191919192,0.4
missforest,-15.244956304010657,0.16631073568334692,1.175614181659034,1.1409255334219037,115.91919191919192,115.91919191919192,0.4
softimpute,-33.51673645878942,0.01569049295646846,1.353974581883343,1.3244501437072382,115.91919191919192,115.91919191919192,0.4
sudoku,-18.60109282771281,0.10898191092187762,1.1878152372340107,1.1498028798627389,127.9090909090909,127.9090909090909,0.5
knn,-23.131585237327666,0.06999395459496344,1.2506044616213483,1.2107935775929297,127.9090909090909,127.9090909090909,0.5
factorization,-20.948789196321684,0.04571398044275059,1.2840153867725297,1.2496891399790784,127.9090909090909,127.9090909090909,0.5
mean,-38.714013576207094,,1.3404728733239637,1.3120271116391047,127.9090909090909,127.9090909090909,0.5
median,-44.358279319524534,,1.41921409890642,1.3919415773199069,127.9090909090909,127.9090909090909,0.5
missforest,-15.752369832320975,0.1372509738349792,1.1899148015863497,1.1550058476512113,127.9090909090909,127.9090909090909,0.5
softimpute,-34.54030465699585,-0.016295920977555754,1.3655874323315125,1.336112482691228,127.9090909090909,127.9090909090909,0.5
mice,-18.806162105901738,0.2042297471491768,1.1966596221814143,1.162511591618464,127.9090909090909,127.9090909090909,0.5
sudoku,-15.895597097169755,0.2721056329534069,1.124032927447062,1.08823444711142,51.121212121212125,51.121212121212125,0.1
factorization,-17.795588499866337,0.33299467124176624,1.1990558823327933,1.1666418180142686,51.121212121212125,51.121212121212125,0.1
mean,-37.767710026484714,,1.3157049181588678,1.2854890244202382,51.121212121212125,51.121212121212125,0.1
knn,-21.450677025454937,0.18440047960186848,1.2089786301093353,1.1670528141691465,51.121212121212125,51.121212121212125,0.1
missforest,-14.343368400635665,0.3294463567532343,1.1187179860424858,1.0867019205771895,51.121212121212125,51.121212121212125,0.1
softimpute,-30.62736025301263,0.07216997990403065,1.307427215089579,1.2762981983848096,51.121212121212125,51.121212121212125,0.1
mice,-16.070294597971365,0.3756150572168242,1.1427941108731616,1.109705941278549,51.121212121212125,51.121212121212125,0.1
median,-43.45661149651209,,1.3966542209956367,1.3681592176350768,51.121212121212125,51.121212121212125,0.1
sudoku,-16.48375663925002,0.15887111738261178,1.15103334219119,1.1157684237760948,82.31313131313131,82.31313131313131,0.2
knn,-22.178620971981058,0.11902197618463721,1.2249433009916766,1.1871931676243561,82.31313131313131,82.31313131313131,0.2
mice,-18.00897339109324,0.28067141433864556,1.1694360523752478,1.1368076854374904,82.31313131313131,82.31313131313131,0.2
factorization,-19.74845879793907,0.2446898926715071,1.238354665341743,1.2055583942633632,82.31313131313131,82.31313131313131,0.2
missforest,-16.621517931870752,0.2372797399319608,1.1511972666042352,1.1177210062763479,82.31313131313131,82.31313131313131,0.2
softimpute,-32.03192880167956,0.056598282719102624,1.3303975409185007,1.300403485538935,82.31313131313131,82.31313131313131,0.2
mean,-38.14166777734457,,1.3245766234967953,1.2952618498350572,82.31313131313131,82.31313131313131,0.2
median,-43.617502528479264,,1.4010623067882662,1.372876171859709,82.31313131313131,82.31313131313131,0.2
sudoku,-17.531995265817784,0.16592347147325465,1.1746678617177615,1.138255253719504,101.44444444444444,101.44444444444444,0.3
median,-43.820644673664866,,1.4065112533798574,1.3782902397898418,101.44444444444444,101.44444444444444,0.3
knn,-22.4601294421992,0.10157101820320337,1.2372664685988406,1.1971274364608802,101.44444444444444,101.44444444444444,0.3
mice,-18.186346509101845,0.2348624397506734,1.1804304913767358,1.1468343143467268,101.44444444444444,101.44444444444444,0.3
missforest,-15.183764341654662,0.19191854731688407,1.1622920376963621,1.126629360338087,101.44444444444444,101.44444444444444,0.3
softimpute,-32.71983655171307,0.026014455094242345,1.3437094043711366,1.3141211841537777,101.44444444444444,101.44444444444444,0.3
mean,-38.308629304526406,,1.330639723756034,1.3014921281183536,101.44444444444444,101.44444444444444,0.3
factorization,-20.344914688121733,0.12253943496816798,1.2555478040436174,1.222469024681278,101.44444444444444,101.44444444444444,0.3
