,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
sudoku,0.01098051910845639,0.034239618127263734,0.0010101020839964124,0.0006060298825754343,0.0,0.0,0.4
factorization,186.9306042939744,0.10615283983464642,0.042751164928215075,0.035990352735125124,0.0,0.0,0.4
mice,24.747795644918668,0.1719882982943676,0.018515916398748306,0.0006673161232351495,0.0,0.0,0.4
knn,0.017343090367950613,0.02647699535799922,0.001148577159782564,0.0008023411714592198,0.0,0.0,0.4
median,0.016260922319637768,,0.00112852433184586,0.0007233454936643762,0.0,0.0,0.4
mean,0.014581986990878554,,0.0011263143783274056,0.0007088324224924791,0.0,0.0,0.4
softimpute,1682.9690620976116,0.14056466544093754,0.12843447539270544,0.044988819170345175,0.0,0.0,0.4
missforest,0.07269972937184625,0.09703382927410535,0.0009349954114077344,0.0003642662823782757,0.0,0.0,0.4
sudoku,15.444585031955068,0.04715702888448491,0.0009076149379999013,0.0006917909664339766,24.900255566413918,24.900255566413918,0.5
mice,12.610169340624005,0.18086643442737044,0.012440618387112858,0.000735538290686077,24.900255566413918,24.900255566413918,0.5
knn,0.057612798925788106,0.038393419279534595,0.0011919820374818133,0.0009483138588617943,24.900255566413918,24.900255566413918,0.5
factorization,270.2891739380043,0.0872090099949717,0.048550390734057834,0.043904357981216835,24.900255566413918,24.900255566413918,0.5
mean,0.020998023859131455,,0.0010421163823419986,0.0007488654959874268,24.900255566413918,24.900255566413918,0.5
softimpute,1664.2318293570866,0.1590669140650979,0.1166634178473855,0.050284701377256824,24.900255566413918,24.900255566413918,0.5
missforest,134.50062131788417,0.08653837113336166,0.0006102055622133346,0.0006533184020664083,24.900255566413918,24.900255566413918,0.5
median,0.022402492964224734,,0.001041899322892001,0.0007489609027216156,24.900255566413918,24.900255566413918,0.5
sudoku,2.2073075093937153,0.07885642579184773,0.0021392231407440974,0.000444356997702256,0.0,0.0,0.1
median,0.023737712900312645,,0.00227262496394335,0.000711964830390879,0.0,0.0,0.1
mice,251.7469938081401,0.14043644254832297,0.08700387364967926,0.0028586102966507102,0.0,0.0,0.1
factorization,108.95919447117808,0.08718259201288439,0.04905212235694745,0.015274775043945619,0.0,0.0,0.1
softimpute,1173.5401807102023,0.10612587730435097,0.16021603198629608,0.04527720482636926,0.0,0.0,0.1
missforest,0.1372346523595931,0.1140385278276563,0.0021872110888210704,0.0002498169100757602,0.0,0.0,0.1
knn,0.07532620207123754,0.07712718276302513,0.002195587043244207,0.0005229252535072801,0.0,0.0,0.1
mean,0.03202076066396657,,0.0022640973600047795,0.0006853636122462048,0.0,0.0,0.1
sudoku,2.4507532892981025,0.05673966215549634,0.0017689377757049937,0.0004619088712281579,0.0,0.0,0.2
mean,0.014386139492495863,,0.0018931867515669756,0.0006754331445154164,0.0,0.0,0.2
knn,0.021510109801043686,0.05213160698454605,0.0018603828044224098,0.0006716199575199929,0.0,0.0,0.2
median,0.018820297957437615,,0.00190312793679756,0.0007005833272986747,0.0,0.0,0.2
mice,839.0541262177483,0.20293367938428022,0.08544926887119554,0.0018497368427785696,0.0,0.0,0.2
factorization,137.12775353729634,0.12739538909834466,0.033716053814785665,0.021603739044195953,0.0,0.0,0.2
softimpute,1748.956143494875,0.15711964140441592,0.1148440530069798,0.04973935058235817,0.0,0.0,0.2
missforest,8.38892261516734,0.09674886225925992,0.0016747488387366697,0.0002622758200324104,0.0,0.0,0.2
sudoku,2.8375315711261977,0.03372612781102131,0.0016593253787329219,0.0005524413350284637,0.0,0.0,0.3
knn,0.014426017518120622,0.043182945988959366,0.0018533717582105479,0.0007377531826690387,0.0,0.0,0.3
factorization,183.53494978150158,0.10990827254562406,0.034450748189991276,0.028696108455360376,0.0,0.0,0.3
mean,0.017332838831701603,,0.0018879702850961339,0.0006971139884352418,0.0,0.0,0.3
softimpute,1280.388299881059,0.1348889070222084,0.09726503011328796,0.053678506562448866,0.0,0.0,0.3
missforest,42.4524330796368,0.12829170470239368,0.0014327713473808628,0.000318528977494443,0.0,0.0,0.3
median,0.016809887809210455,,0.001900843091733068,0.0007189338245583689,0.0,0.0,0.3
mice,453.8965732137492,0.18739373402796872,0.08539513384752469,0.001676075033284774,0.0,0.0,0.3
