,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
sudoku,0.10609540677809642,0.2984286131887303,0.007760208266993023,0.0016912400897064776,5980.166666666667,5980.166666666667,0.4
missforest,0.2435594190812976,0.37538496463312704,0.0070710204506339485,0.0011515086224713918,5980.166666666667,5980.166666666667,0.4
softimpute,-761.0496601918248,0.001754286824640949,0.13626613757065179,0.08878744502558654,5980.166666666667,5980.166666666667,0.4
mice,-35.618085903222,0.29494860149049035,0.028011724785068994,0.001897697249842023,5980.166666666667,5980.166666666667,0.4
factorization,-191.12851825707253,-0.022856220450952314,0.07229004240240115,0.056118115346495544,5980.166666666667,5980.166666666667,0.4
knn,0.07452081052377524,0.2643108840994,0.007655956268306068,0.0019715338149426096,5980.166666666667,5980.166666666667,0.4
median,-0.004434174386032053,,0.00794363605557895,0.0021467695208238504,5980.166666666667,5980.166666666667,0.4
mean,-0.00030358151962674623,,0.007940949834799814,0.002186392169770722,5980.166666666667,5980.166666666667,0.4
sudoku,0.043324188285625946,0.20450577595037842,0.008074835874867169,0.001934687553251399,7475.583333333333,7475.583333333333,0.5
knn,0.07022710140457288,0.2659463556132672,0.007798517215024444,0.001995947412744091,7475.583333333333,7475.583333333333,0.5
mice,-22.05044382562268,-0.02799549994870677,0.027929368369807136,0.0019470137782335807,7475.583333333333,7475.583333333333,0.5
missforest,0.11822903965728937,0.2667007771386804,0.007987819972145323,0.0012935570607489819,7475.583333333333,7475.583333333333,0.5
softimpute,-808.5634015945888,0.004307275551641786,0.1514251128298252,0.10947555668210766,7475.583333333333,7475.583333333333,0.5
factorization,-312.9503160296531,-0.022992427881586938,0.0941121391097016,0.0789277619468518,7475.583333333333,7475.583333333333,0.5
median,-0.003312223718546651,,0.008093380829235388,0.0021572665223553397,7475.583333333333,7475.583333333333,0.5
mean,-0.00015711655252181878,,0.008095795330675754,0.002197924082907158,7475.583333333333,7475.583333333333,0.5
sudoku,-0.3934484779291613,0.5202410566408747,0.0030940735326244044,0.0014008213592776118,1509.0,1509.0,0.1
median,-0.00732968882529315,,0.003838976134494824,0.0020848345744841185,1509.0,1509.0,0.1
mice,-600.8615230910926,0.4711749068162474,0.051947770904710845,0.0026343532441599755,1509.0,1509.0,0.1
missforest,-41.92385834423199,0.8559159452842596,0.0030240766899743044,0.0008152072211346932,1509.0,1509.0,0.1
softimpute,-468.56773088270955,0.0029642083277431814,0.06724719009437963,0.03526121480264829,1509.0,1509.0,0.1
factorization,-44.47621836557607,0.054973290424775494,0.0173859028736238,0.010301747431863281,1509.0,1509.0,0.1
knn,0.33227662500689575,0.7280452088620301,0.0027619225891166127,0.0013950947475275376,1509.0,1509.0,0.1
mean,-0.005095996116007158,,0.00383761859633502,0.002130930039710944,1509.0,1509.0,0.1
sudoku,-1.9456062484851804,0.43735480687325845,0.0043139410764515655,0.0014912799235603155,2994.3333333333335,2994.3333333333335,0.2
knn,0.15968428124666093,0.49946077651540216,0.0041749565386792805,0.0017488610961563227,2994.3333333333335,2994.3333333333335,0.2
mean,-0.012108432323185961,,0.0046683117837678185,0.0021510486778680833,2994.3333333333335,2994.3333333333335,0.2
median,-0.006619267700085696,,0.004667316833596146,0.002100424221935232,2994.3333333333335,2994.3333333333335,0.2
missforest,-26.721853061513688,0.5514571505682934,0.004630148141083658,0.0009122774863248492,2994.3333333333335,2994.3333333333335,0.2
softimpute,-616.0533621009821,0.012714495059845574,0.09421576296593492,0.04622496448080887,2994.3333333333335,2994.3333333333335,0.2
mice,-364.2581333415413,0.38296423820630227,0.061061741190477976,0.0025921880540537554,2994.3333333333335,2994.3333333333335,0.2
factorization,-105.27999907920821,0.06968656520018891,0.031943766898796584,0.02099132897899987,2994.3333333333335,2994.3333333333335,0.2
sudoku,0.15582627090502665,0.33698167158177844,0.00662924965754724,0.001592202798421878,4479.916666666667,4479.916666666667,0.3
missforest,0.2644907704718969,0.4197939785859825,0.006364927792683891,0.0010274555382295005,4479.916666666667,4479.916666666667,0.3
softimpute,-915.259324176951,0.004458857714705896,0.11723723876007303,0.06706005989526775,4479.916666666667,4479.916666666667,0.3
mean,-0.00038520007202771006,,0.006939075642292404,0.002173942141342893,4479.916666666667,4479.916666666667,0.3
factorization,-187.4672846214763,-0.045772180578686546,0.0522021535034849,0.036752281701226845,4479.916666666667,4479.916666666667,0.3
knn,0.09325312979790351,0.30196665321781974,0.0066319842960391485,0.0019379418526682716,4479.916666666667,4479.916666666667,0.3
mice,-562.2998721393581,0.6176724332080622,0.0927326343835397,0.002946752777695001,4479.916666666667,4479.916666666667,0.3
median,-0.005413868917553577,,0.006940259526682591,0.0021303246747899404,4479.916666666667,4479.916666666667,0.3
