,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
sudoku,0.03653175237242678,0.06033270580610636,0.0012489515242824526,0.00042835544450496403,11.130652008818448,11.130652008818448,0.4
missforest,0.09005765931572392,0.15092757267551526,0.0013771177794616898,0.00029534361513808494,11.130652008818448,11.130652008818448,0.4
softimpute,351.8109360195934,0.004387563888126372,0.0413085021436398,0.02772811991885939,11.130652008818448,11.130652008818448,0.4
mice,27.73943282122195,0.16031632283451472,0.013647651877180283,0.0005440593227203668,11.130652008818448,11.130652008818448,0.4
factorization,79.36128872812115,0.04812509244723714,0.02367593502379601,0.021071257960324555,11.130652008818448,11.130652008818448,0.4
knn,0.02990261359966223,0.056543054134702654,0.0013454860649228064,0.0005172990904983425,11.130652008818448,11.130652008818448,0.4
median,0.0015161000164249934,,0.0013347954041392713,0.0005578331751641114,11.130652008818448,11.130652008818448,0.4
mean,9.539412515265705e-05,,0.0013290539206554392,0.0005604192495191216,11.130652008818448,11.130652008818448,0.4
sudoku,0.01938511735454944,0.05237364671346048,0.0011526828640080079,0.0005187467237658645,15.059708603831726,15.059708603831726,0.5
knn,0.026088339390963496,0.05559213426213461,0.0012588962283033899,0.0005302795300461752,15.059708603831726,15.059708603831726,0.5
mice,14.09529443646578,0.18333871645293245,0.013316176391265016,0.0005436274671689724,15.059708603831726,15.059708603831726,0.5
missforest,0.07118496576112594,0.12762763519948567,0.0011240574609207418,0.00034041079124685864,15.059708603831726,15.059708603831726,0.5
softimpute,354.78312252203074,0.0034877322127091336,0.04633801653986424,0.03430387213619617,15.059708603831726,15.059708603831726,0.5
factorization,136.8115136846869,0.04925017713854995,0.030721102861938486,0.028392931076584006,15.059708603831726,15.059708603831726,0.5
median,0.0011639358320375416,,0.0012585291756285703,0.0005672991713680399,15.059708603831726,15.059708603831726,0.5
mean,5.993083664982266e-05,,0.0012493194428975195,0.0005678276620615358,15.059708603831726,15.059708603831726,0.5
sudoku,0.7396841344225658,0.09040937834230747,0.00097936325265335,0.00036564169663382023,8.838620487452335,8.838620487452335,0.1
median,0.0020812437492567803,,0.0012005483719704007,0.0005673120982075346,8.838620487452335,8.838620487452335,0.1
mice,597.0735310062411,0.14043091650985973,0.04927194596549944,0.001425925338945944,8.838620487452335,8.838620487452335,0.1
missforest,42.28488594530664,0.055418898714671753,0.0011935142144938093,0.00022430401161128408,8.838620487452335,8.838620487452335,0.1
softimpute,224.915561554557,0.010021710907076887,0.020968679456092723,0.010874914947843773,8.838620487452335,8.838620487452335,0.1
factorization,23.976970332827122,0.07277386573621548,0.005824206047885194,0.003767866258269343,8.838620487452335,8.838620487452335,0.1
knn,0.09268065888690945,0.05688359647382089,0.0010760825469138548,0.0003970676836217646,8.838620487452335,8.838620487452335,0.1
mean,0.00472567208044883,,0.0011938635234794521,0.0005687596949660734,8.838620487452335,8.838620487452335,0.1
sudoku,2.1584944768192424,0.07370038451769424,0.0012956592335738929,0.0003918535612377392,8.969082698049139,8.969082698049139,0.2
knn,0.0526199243085371,0.0572766453971023,0.0013715544538663832,0.0004911222895875272,8.969082698049139,8.969082698049139,0.2
mean,0.011614138279895042,,0.00143185752560371,0.0005715197720018936,8.969082698049139,8.969082698049139,0.2
median,0.0024090800568673737,,0.0014378337164929118,0.0005711401275197178,8.969082698049139,8.969082698049139,0.2
missforest,26.95876392985655,0.17333901397898702,0.0013930115604759007,0.00024713162762704646,8.969082698049139,8.969082698049139,0.2
softimpute,293.75661385133037,0.0066519666866760845,0.029512360827955064,0.014355857125631777,8.969082698049139,8.969082698049139,0.2
mice,340.5388273604095,0.1485120657352733,0.037372542498147476,0.0009394328610259264,8.969082698049139,8.969082698049139,0.2
factorization,53.23912505609352,0.06751005580407919,0.011933983854875896,0.008426380555521838,8.969082698049139,8.969082698049139,0.2
sudoku,0.0593086573026005,0.07447777700483582,0.0015369613403444283,0.0004023520878167376,11.644649137494591,11.644649137494591,0.3
missforest,0.11036091483091305,0.14724172613884617,0.0015601558768307392,0.0002621578063697877,11.644649137494591,11.644649137494591,0.3
softimpute,469.1188633059937,0.0045494857319145696,0.0356360946659264,0.0208970479387114,11.644649137494591,11.644649137494591,0.3
mean,0.0001506553254744177,,0.0015890834642152776,0.0005602284792352696,11.644649137494591,11.644649137494591,0.3
factorization,110.91339060202942,0.05597029314939313,0.017330770576311456,0.014306289186475918,11.644649137494591,11.644649137494591,0.3
knn,0.03509578843776025,0.05755865827616915,0.0015979287046933906,0.0005124471843573602,11.644649137494591,11.644649137494591,0.3
mice,384.9548947008534,0.07923093702777939,0.04992095093362478,0.0010380289405111087,11.644649137494591,11.644649137494591,0.3
median,0.002220492840045608,,0.0015937740764500811,0.0005584097991453621,11.644649137494591,11.644649137494591,0.3
